label,n,exact_max_abs_err,exact_rank_rho,interaction_ratio,additive_vs_realized_rho,AIA_shapley,AIA_lime_binary,AIA_lime_bounded,AIA_lime_continuous,AIA_finite_diff,AIA_ig,prospective_share,AIA_prospective
Amazon ItemKNN,250,0.00010598100810088818,0.7827538244709906,0.0775926101728609,0.8416146275762382,0.6687600877480047,0.7385496554024626,0.7378832932029988,0.7337598322462215,1.0,0.9667272360883914,0.992,0.7269823369162443
Amazon SASRec,200,0.01289042793449751,0.39542985749882303,0.7816093458219464,0.45327388401998225,0.13995053334178723,0.7600949267450815,0.941556271772603,0.8274784219908059,0.7344181055013098,0.7221476054904847,0.995,0.7980041635377136
ML-1M ItemKNN,250,0.0020972938178305833,0.9815462315462316,0.07135044922721129,0.9049651345314739,0.6966165408078191,0.9054200655131086,0.9358706392180995,0.9382076636948338,0.9579173658140747,0.9528126516183602,0.908,0.7959209290533416
ML-1M SASRec,200,0.01841619138976886,0.6875957375957377,0.20591766828658936,0.7846293286344134,0.24076134817195186,0.8564025818093155,0.9361713510947256,0.9498108464033386,0.9505369179324287,0.9435021950443776,0.995,0.8696186809182126
