metric,method,method_label,mean,ci95_low,ci95_high,n_seeds
Joint effect B=2,shapley_mc,Monte Carlo Shapley,0.00010854577141853182,8.898760305974111e-05,0.00012810393977732255,5
Joint effect B=2,loo_oracle,LOO oracle,-0.00027340729184949827,-0.0003093222772512431,-0.0002374923064477534,5
Joint effect B=2,lime,LIME,-0.0003607819215694605,-0.0004060710888219983,-0.00031549275431692273,5
