mask_a,mask_b,crn_variance,independent_variance,crn_mean,independent_mean,n,variance_ratio
0,1,1.7912253633692374e-06,1.7912253633692374e-06,0.30320914093591106,0.30320914093591106,5,1.0
1,5,1.23651241168408e-07,1.23651241168408e-07,-0.076364199628648,-0.076364199628648,5,1.0
