seed,family,fraction,DeletionDelta_HitRate@20,DeletionDelta_NDCG@20,Insertion_HitRate@20,Insertion_NDCG@20
42,loo-marginal,0.05,0.000404476217227,0.001458586892113,0.06215450912714,0.0249323137104511
42,loo-marginal,0.1,0.000404476217227,0.001664247829467,0.0620196834206581,0.0250088982284069
42,loo-marginal,0.2,0.0010786032071337,0.002467316109687,0.0628286376595497,0.0257623083889484
42,loo-marginal,0.3,0.0012134285643696,0.0031762106809765,0.0632331147789955,0.0265448205173015
42,uniform,0.05,0.0010786032071337,0.0011108996113762,0.0632331147789955,0.0248844325542449
42,uniform,0.1,0.0013482540380209,0.0011831505689769,0.0632331147789955,0.0248943623155355
42,uniform,0.2,0.0014830793952569,0.0015937678981572,0.0633679404854774,0.0250248536467552
42,uniform,0.3,0.0017527302261441,0.0021426493767648,0.0639072433114051,0.0255737099796533
42,random,0.05,0.0012134285643696,0.0015639245975762,0.0630982890725135,0.0250416155904531
42,random,0.1,0.0014830793952569,0.0016379444859921,0.0630982890725135,0.0251002497971057
42,random,0.2,0.0012134285643696,0.001750613679178,0.0625589862465858,0.0250482130795717
42,random,0.3,0.0017527302261441,0.0023955234792083,0.0633679404854774,0.0256292317062616
43,loo-marginal,0.05,0.0005393016035668,0.0017030772287398,0.0663340985774993,0.0266029015183448
43,loo-marginal,0.1,0.000404476217227,0.0017858997453004,0.0663340985774993,0.0266258865594863
43,loo-marginal,0.2,0.0013482540380209,0.0027369856834411,0.0666037499904632,0.0271935705095529
43,loo-marginal,0.3,0.0016179048689082,0.0034059924073517,0.0674127042293548,0.0280819199979305
43,uniform,0.05,0.000404476217227,0.0009777805535122,0.0663340985774993,0.0261609014123678
43,uniform,0.1,0.000404476217227,0.0010703663574531,0.0661992728710174,0.026172561571002
43,uniform,0.2,0.0010786032071337,0.0016544954851269,0.0663340985774993,0.0263694673776626
43,uniform,0.3,0.0012134285643696,0.0020391102880239,0.0671430528163909,0.0269238669425249
43,random,0.05,0.0006741270190104,0.0011622126912698,0.0664689242839813,0.0263185128569602
43,random,0.1,0.0006741270190104,0.0013545606052502,0.0664689242839813,0.0264245402067899
43,random,0.2,0.0013482540380209,0.0022105630487203,0.0668734014034271,0.0270513538271188
43,random,0.3,0.0017527302261441,0.0027642729692161,0.0671430528163909,0.0274089444428682
44,loo-marginal,0.05,-0.0001348254008917,0.0015243532834574,0.0645813643932342,0.0257671941071748
44,loo-marginal,0.1,0.0001348254008917,0.0017425098922103,0.0645813643932342,0.025875860825181
44,loo-marginal,0.2,0.0012134285643696,0.0026358806062489,0.0659296214580535,0.0268178191035985
44,loo-marginal,0.3,0.0018875555833801,0.0035572224296629,0.0664689242839813,0.0276679843664169
44,uniform,0.05,0.0008089524344541,0.0011023733532056,0.0656599700450897,0.0257833413779735
44,uniform,0.1,0.0010786032071337,0.0012220657663419,0.0656599700450897,0.0258119422942399
44,uniform,0.2,0.0012134285643696,0.0015173674328252,0.0656599700450897,0.0258482862263917
44,uniform,0.3,0.0021572064142674,0.0022817712742835,0.0660644471645355,0.0263965036720037
