HitRate@5,NDCG@5,HitRate@10,NDCG@10,HitRate@20,NDCG@20,Coverage@20,ILD@20,seed,family,lambda_attr,backbone,dataset
0.037738986313343,0.0236401613801717,0.0645054057240486,0.032216727733612,0.1153782233595848,0.0449839569628238,0.623956326268465,0.7302438020706177,42,uniform,0.0,lightgcn,ml1m
0.0379052385687828,0.0234207361936569,0.0655029118061065,0.0322341844439506,0.1167082265019416,0.0451033115386962,0.6178548490687219,0.7257046103477478,42,uniform,0.05,lightgcn,ml1m
0.0385702401399612,0.0237558968365192,0.0658354088664054,0.0324639491736888,0.1187032386660575,0.0457300134003162,0.6091843288375081,0.7215089797973633,42,uniform,0.1,lightgcn,ml1m
0.0395677462220191,0.0244703479111194,0.0673316717147827,0.0333604887127876,0.121030755341053,0.0467851683497428,0.5950545921644188,0.713932454586029,42,uniform,0.2,lightgcn,ml1m
0.0400664992630481,0.0247654076665639,0.0701579377055168,0.034359723329544,0.12269327044487,0.0474438406527042,0.5716120745022479,0.7016618847846985,42,uniform,0.4,lightgcn,ml1m
0.037738986313343,0.0236401613801717,0.0645054057240486,0.032216727733612,0.1153782233595848,0.0449839569628238,0.623956326268465,0.7302438020706177,42,additive-pref,0.0,lightgcn,ml1m
0.0379052385687828,0.023498935624957,0.0653366595506668,0.032262522727251,0.1168744787573814,0.0452129505574703,0.6146435452793835,0.7248809933662415,42,additive-pref,0.05,lightgcn,ml1m
0.0390689931809902,0.0241411905735731,0.0663341656327247,0.0328244678676128,0.1187032386660575,0.0459578484296798,0.6062941554271034,0.7198582291603088,42,additive-pref,0.1,lightgcn,ml1m
0.0397339984774589,0.0245370212942361,0.0673316717147827,0.0333707593381404,0.1206982508301734,0.0467438474297523,0.5918432883750803,0.7107546925544739,42,additive-pref,0.2,lightgcn,ml1m
0.0405652523040771,0.025171386078,0.0694929361343383,0.0344879925251007,0.1228595152497291,0.0478605180978775,0.5558766859344894,0.6959817409515381,42,additive-pref,0.4,lightgcn,ml1m
0.037738986313343,0.0236401613801717,0.0645054057240486,0.032216727733612,0.1153782233595848,0.0449839569628238,0.623956326268465,0.7302438020706177,42,attention,0.0,lightgcn,ml1m
0.0379052385687828,0.0235622692853212,0.0653366595506668,0.0323404967784881,0.1180382370948791,0.0455647110939025,0.6123956326268465,0.723341703414917,42,attention,0.05,lightgcn,ml1m
0.0394014976918697,0.0246131606400012,0.0673316717147827,0.0335218794643878,0.1195344999432563,0.0465786308050155,0.5992292870905588,0.7166955471038818,42,attention,0.1,lightgcn,ml1m
0.0410640053451061,0.0251970011740922,0.0693266838788986,0.0342345237731933,0.1220282614231109,0.0473841801285743,0.5783558124598587,0.7044975161552429,42,attention,0.2,lightgcn,ml1m
0.0417290106415748,0.0258358847349882,0.0729842036962509,0.0358452387154102,0.1238570213317871,0.0485773682594299,0.5269749518304432,0.684609591960907,42,attention,0.4,lightgcn,ml1m
0.037738986313343,0.0236401613801717,0.0645054057240486,0.032216727733612,0.1153782233595848,0.0449839569628238,0.623956326268465,0.7302438020706177,42,heuristic-pop,0.0,lightgcn,ml1m
0.0379052385687828,0.0234686005860567,0.0658354088664054,0.032383807003498,0.1170407310128212,0.0452376902103424,0.615606936416185,0.725089430809021,42,heuristic-pop,0.05,lightgcn,ml1m
0.038736492395401,0.0239937528967857,0.066167913377285,0.0327607467770576,0.1190357431769371,0.0460305139422416,0.6075786769428388,0.7203016877174377,42,heuristic-pop,0.1,lightgcn,ml1m
0.0395677462220191,0.0244975183159112,0.0671654194593429,0.0333691127598285,0.1203657537698745,0.0467328391969203,0.5921644187540142,0.7115463018417358,42,heuristic-pop,0.2,lightgcn,ml1m
0.0402327515184879,0.0250633340328931,0.0703241899609565,0.034743208438158,0.1235245242714881,0.0480445176362991,0.5597302504816956,0.6973037719726562,42,heuristic-pop,0.4,lightgcn,ml1m
0.037738986313343,0.0236401613801717,0.0645054057240486,0.032216727733612,0.1153782233595848,0.0449839569628238,0.623956326268465,0.7302438020706177,42,valid-sim,0.0,lightgcn,ml1m
0.0384039916098117,0.0239892117679119,0.0674979239702224,0.0332918614149093,0.1188694909214973,0.0461878813803195,0.6172125883108542,0.7265046834945679,42,valid-sim,0.05,lightgcn,ml1m
0.0395677462220191,0.0247183199971914,0.0698254331946373,0.0343859083950519,0.12269327044487,0.047645017504692,0.6146435452793835,0.7229134440422058,42,valid-sim,0.1,lightgcn,ml1m
0.0412302576005458,0.0254903063178062,0.0729842036962509,0.0356922633945941,0.1286783069372177,0.0497148558497428,0.6069364161849711,0.7163880467414856,42,valid-sim,0.2,lightgcn,ml1m
0.0453865341842174,0.0277190189808607,0.0816292613744735,0.0393290370702743,0.1421446353197097,0.0544437132775783,0.5857418111753372,0.7053080201148987,42,valid-sim,0.4,lightgcn,ml1m
