planner,selection_seed,evaluation_seed,selected_mask,selected_interventions,feasible,robust_lower_improvement,robust_upper_improvement,cost,relevance_delta_lower,provider_disparity_upper,fatigue_upper
scenario_only_per_seed,42,200,5,repeat_cap;tail_slot,True,0.1921203101140765,0.20521734817483406,0.13,-0.028898147610328828,0.19554713804713808,0.0
scenario_only_per_seed,42,201,5,repeat_cap;tail_slot,False,0.18604617531402162,0.20603640304419385,0.13,-0.04266480496608838,0.21351010101010104,0.0
scenario_only_per_seed,42,202,5,repeat_cap;tail_slot,False,0.1893461521367631,0.20558804933543418,0.13,-0.038439412433795894,0.21717171717171713,0.0
scenario_only_per_seed,42,203,5,repeat_cap;tail_slot,True,0.18936718643602435,0.20603524818232016,0.13,-0.033812051048295655,0.19268518518518518,0.0
scenario_only_per_seed,42,204,5,repeat_cap;tail_slot,False,0.1886226229819692,0.2055566540610163,0.13,-0.02644376900475298,0.22792929292929287,0.0
scenario_only_per_seed,42,205,5,repeat_cap;tail_slot,False,0.18799643226656498,0.20274643922732138,0.13,-0.040410912026314416,0.2647979797979798,0.0
scenario_only_per_seed,42,206,5,repeat_cap;tail_slot,True,0.19264419396044674,0.20429651446440883,0.13,-0.034984244877490966,0.20001683501683498,0.0
scenario_only_per_seed,42,207,5,repeat_cap;tail_slot,True,0.19137648233159799,0.20325533293136666,0.13,-0.038400104878836494,0.19206228956228943,0.0
scenario_only_per_seed,42,208,5,repeat_cap;tail_slot,False,0.18497891161829505,0.2040282416455173,0.13,-0.03497300302829931,0.21919191919191916,0.0
scenario_only_per_seed,42,209,5,repeat_cap;tail_slot,True,0.19310498384883884,0.20215424161921547,0.13,-0.0339095961904855,0.19194444444444447,0.0
scenario_only_per_seed,42,210,5,repeat_cap;tail_slot,True,0.18652982532333617,0.2015126080117129,0.13,-0.02992116478134854,0.16320707070707074,0.0
scenario_only_per_seed,42,211,5,repeat_cap;tail_slot,True,0.18961317770562158,0.20289478505976066,0.13,-0.030175772204624418,0.19800505050505057,0.0
scenario_only_per_seed,42,212,5,repeat_cap;tail_slot,False,0.18761573701125073,0.20405033259419658,0.13,-0.03251527064377713,0.2463299663299663,0.0
scenario_only_per_seed,42,213,5,repeat_cap;tail_slot,True,0.19134954920202296,0.20619726230450086,0.13,-0.03972190093987382,0.21306397306397296,0.0
