dataset,family,oracle_lambda,ndcg20_at_oracle,sd,ndcg20_at_protocol
ml1m,additive-pref,0.4,0.04849400445818896,0.0004905646682754224,0.04610251933336253
ml1m,shapley-mc,0.4,0.05935963988304134,0.0004256998586014887,0.04922313019633292
ml1m,uniform,0.4,0.04793247953057286,0.00033442503592963493,0.046006741374731
amazon_books,additive-pref,0.0,0.02981532923877232,0.0007410072155442383,0.029682088270783356
amazon_books,shapley-mc,0.4,0.03591306209564206,0.0010135839478128375,0.03187317438423628
amazon_books,uniform,0.0,0.02981532923877232,0.0007410072155442383,0.0297773882746696
