HitRate@5,NDCG@5,HitRate@10,NDCG@10,HitRate@20,NDCG@20,Coverage@20,ILD@20,ValNDCG@20,ValHitRate@20,seed,family,lambda_attr,backbone,dataset
0.0374064855277538,0.0233705136924982,0.0653366595506668,0.032232616096735,0.1160432249307632,0.0449112392961978,0.6294155427103404,0.7299437522888184,0.0511352643370628,0.1308395713567733,42,uniform,0.0,lightgcn,ml1m
0.0369077324867248,0.023450382053852,0.0653366595506668,0.0325096361339092,0.1177057325839996,0.0456335768103599,0.6207450224791266,0.7254669070243835,0.0515697635710239,0.1328345835208892,42,uniform,0.05,lightgcn,ml1m
0.0364089757204055,0.0233949348330497,0.0663341656327247,0.03291742131114,0.1175394877791404,0.0457576960325241,0.6146435452793835,0.7212898135185242,0.0521323680877685,0.133000835776329,42,uniform,0.1,lightgcn,ml1m
0.0380714870989322,0.0238893572241067,0.0666666701436042,0.0330414846539497,0.1198669970035553,0.0463951528072357,0.5989081567116249,0.7136891484260559,0.0531631335616111,0.1363258510828018,42,uniform,0.2,lightgcn,ml1m
0.0390689931809902,0.0247586239129304,0.0703241899609565,0.0347897633910179,0.1208645030856132,0.0474351942539215,0.5719332048811817,0.7015244960784912,0.0544433742761611,0.1386533677577972,42,uniform,0.4,lightgcn,ml1m
0.0374064855277538,0.0233705136924982,0.0653366595506668,0.032232616096735,0.1160432249307632,0.0449112392961978,0.6294155427103404,0.7299437522888184,0.0511352643370628,0.1308395713567733,42,additive-pref,0.0,lightgcn,ml1m
0.0365752279758453,0.0233478490263223,0.0655029118061065,0.0325751081109046,0.1180382370948791,0.0457360669970512,0.6194605009633911,0.7246309518814087,0.0514705553650856,0.1321695744991302,42,additive-pref,0.05,lightgcn,ml1m
0.0364089757204055,0.023406459018588,0.065170407295227,0.0326071679592132,0.1178719848394393,0.0458633042871952,0.6114322414900449,0.7196164727210999,0.0521162115037441,0.1331670880317688,42,additive-pref,0.1,lightgcn,ml1m
0.0379052385687828,0.0240120775997638,0.0673316717147827,0.0334327407181263,0.1203657537698745,0.0467088595032691,0.5934489402697495,0.7105597257614136,0.05349837616086,0.1359933465719223,42,additive-pref,0.2,lightgcn,ml1m
0.0389027446508407,0.0246976502239704,0.0708229392766952,0.0349910594522953,0.1230257675051689,0.0480357855558395,0.5606936416184971,0.695957601070404,0.0547898449003696,0.1393183767795562,42,additive-pref,0.4,lightgcn,ml1m
0.0374064855277538,0.0233705136924982,0.0653366595506668,0.032232616096735,0.1160432249307632,0.0449112392961978,0.6294155427103404,0.7299437522888184,0.0511352643370628,0.1308395713567733,42,loo-marginal,0.0,lightgcn,ml1m
0.0400664992630481,0.0248601473867893,0.0704904422163963,0.0345382280647754,0.1205320060253143,0.0471088103950023,0.6348747591522158,0.7324303388595581,0.0628358200192451,0.1591022461652755,42,loo-marginal,0.05,lightgcn,ml1m
0.042560264468193,0.026209658011794,0.0734829604625701,0.0361491478979587,0.1240232735872268,0.0489467866718769,0.6403339755940912,0.7345842123031616,0.0757429003715515,0.1863674074411392,42,loo-marginal,0.1,lightgcn,ml1m
0.0483790524303913,0.0294416956603527,0.0817955136299133,0.0401173643767833,0.1371571123600006,0.0539760738611221,0.649325626204239,0.7379636764526367,0.1063734591007232,0.251870334148407,42,loo-marginal,0.2,lightgcn,ml1m
0.05386533588171,0.0331640243530273,0.0924355760216713,0.0454919002950191,0.1579384803771972,0.0619375929236412,0.6528580603725113,0.7411354184150696,0.1690147072076797,0.3727348148822784,42,loo-marginal,0.4,lightgcn,ml1m
0.0365752279758453,0.0235153567045927,0.0650041550397872,0.0325100123882293,0.1127182021737098,0.0445269085466861,0.6278098908156712,0.7301396727561951,0.0517410859465599,0.1305070668458938,43,uniform,0.0,lightgcn,ml1m
0.0370739810168743,0.023904887959361,0.0669991672039032,0.0333642177283763,0.1145469695329666,0.0453047268092632,0.6207450224791266,0.7256544232368469,0.0525138862431049,0.1336658298969268,43,uniform,0.05,lightgcn,ml1m
0.0374064855277538,0.0240249503403902,0.0665004178881645,0.0332753770053386,0.115211971104145,0.0455494038760662,0.6111111111111112,0.7215765118598938,0.0528601184487342,0.1338320821523666,43,uniform,0.1,lightgcn,ml1m
0.037240233272314,0.0241448283195495,0.0678304210305213,0.0339437909424304,0.1188694909214973,0.0467300005257129,0.5960179833012202,0.7141782641410828,0.0539899691939353,0.1371571123600006,43,uniform,0.2,lightgcn,ml1m
0.0390689931809902,0.0248578134924173,0.0696591883897781,0.0346450880169868,0.1211970075964927,0.0475662127137184,0.5751445086705202,0.7022269368171692,0.0548100508749485,0.1398171186447143,43,uniform,0.4,lightgcn,ml1m
0.0365752279758453,0.0235153567045927,0.0650041550397872,0.0325100123882293,0.1127182021737098,0.0445269085466861,0.6278098908156712,0.7301396727561951,0.0517410859465599,0.1305070668458938,43,additive-pref,0.0,lightgcn,ml1m
0.0369077324867248,0.0239372830837965,0.0665004178881645,0.033313050866127,0.1155444756150245,0.0456276461482048,0.6172125883108542,0.7247955799102783,0.0526591725647449,0.1339983344078064,43,additive-pref,0.05,lightgcn,ml1m
0.037240233272314,0.0239575840532779,0.0666666701436042,0.0333479903638362,0.1157107204198837,0.045701015740633,0.6069364161849711,0.7199403643608093,0.0532475896179676,0.1344970911741256,43,additive-pref,0.1,lightgcn,ml1m
0.0379052385687828,0.0245709959417581,0.0686616823077201,0.03438725695014,0.1198669970035553,0.0471959449350833,0.5921644187540142,0.7111085653305054,0.0547970347106456,0.1389858722686767,43,additive-pref,0.2,lightgcn,ml1m
0.0389027446508407,0.0244999919086694,0.0703241899609565,0.0345947407186031,0.1211970075964927,0.0473706573247909,0.5632626846499679,0.6966248154640198,0.0559293329715728,0.1428096443414688,43,additive-pref,0.4,lightgcn,ml1m
0.0365752279758453,0.0235153567045927,0.0650041550397872,0.0325100123882293,0.1127182021737098,0.0445269085466861,0.6278098908156712,0.7301396727561951,0.0517410859465599,0.1305070668458938,43,loo-marginal,0.0,lightgcn,ml1m
0.0397339984774589,0.0253760330379009,0.0711554437875747,0.0354091078042984,0.1193682476878166,0.0474512316286563,0.6316634553628774,0.7324258685112,0.0631580352783203,0.1572734862565994,43,loo-marginal,0.05,lightgcn,ml1m
0.042560264468193,0.0267250631004571,0.0756442248821258,0.0373344160616397,0.1253532767295837,0.0497712232172489,0.6368015414258189,0.7345418930053711,0.0764197781682014,0.187198668718338,43,loo-marginal,0.1,lightgcn,ml1m
0.0477140471339225,0.0298865865916013,0.0837905257940292,0.0414313301444053,0.1351621001958847,0.0542824566364288,0.6464354527938343,0.737776517868042,0.1061546877026557,0.251704066991806,43,loo-marginal,0.2,lightgcn,ml1m
0.0553615950047969,0.0344286672770977,0.0932668298482894,0.0466106496751308,0.1567747294902801,0.0625474825501442,0.6576750160565189,0.7411001920700073,0.1699322313070297,0.3760598599910736,43,loo-marginal,0.4,lightgcn,ml1m
0.037240233272314,0.0234306827187538,0.0669991672039032,0.0329220667481422,0.1127182021737098,0.0443809032440185,0.6307000642260758,0.7303109169006348,0.0518697649240493,0.1320033222436905,44,uniform,0.0,lightgcn,ml1m
0.037738986313343,0.0238492675125598,0.0668329149484634,0.0331450589001178,0.1150457188487052,0.0452156849205493,0.6210661528580603,0.7258278727531433,0.0524183623492717,0.1334995776414871,44,uniform,0.05,lightgcn,ml1m
0.038736492395401,0.0245242100208997,0.066167913377285,0.0332842357456684,0.1155444756150245,0.0456807203590869,0.6140012845215157,0.7215662002563477,0.0529558509588241,0.1358270943164825,44,uniform,0.1,lightgcn,ml1m
0.038736492395401,0.0244313515722751,0.0668329149484634,0.0333864390850067,0.1177057325839996,0.0461868084967136,0.6024405908798972,0.7140674591064453,0.0536799244582653,0.1371571123600006,44,uniform,0.2,lightgcn,ml1m
0.0384039916098117,0.024460194632411,0.0686616823077201,0.0341170690953731,0.1218620091676712,0.0474960803985595,0.5793192035966602,0.7019862532615662,0.0551543720066547,0.1418121308088302,44,uniform,0.4,lightgcn,ml1m
0.037240233272314,0.0234306827187538,0.0669991672039032,0.0329220667481422,0.1127182021737098,0.0443809032440185,0.6307000642260758,0.7303109169006348,0.0518697649240493,0.1320033222436905,44,additive-pref,0.0,lightgcn,ml1m
0.037738986313343,0.0239367205649614,0.0666666701436042,0.0331851132214069,0.1158769726753234,0.0454957261681556,0.6207450224791266,0.7249812483787537,0.0525813102722168,0.1341645866632461,44,additive-pref,0.05,lightgcn,ml1m
