model,reference,metric,n_users,difference_mean,bootstrap_low,bootstrap_high,effect_dz
bpr_mf_numpy,popularity,hit,1000,-0.047,-0.061,-0.033,-0.21267220916125262
bpr_mf_numpy,popularity,ndcg,1000,-0.02473107806518621,-0.03340768593563515,-0.01703793344162405,-0.19181937580553793
