mask_a,mask_b,variance_ratio,variance_ratio_ci_low,variance_ratio_ci_high,n_seeds
0,1,1.0012228629421136,0.9976344423917999,1.006011967692087,20
1,5,1.0012146073584813,0.9781606804429123,1.0353826324888107,20
