metric,method,method_label,mean,ci95_low,ci95_high,n_seeds
Joint effect B=2,shapley_mc,Monte Carlo Shapley,0.0005844875098895613,0.00043099651774800826,0.0007379785020311144,5
Joint effect B=2,loo_oracle,LOO oracle,0.00034672020653256705,0.00018711827938104058,0.0005063221336840935,5
Joint effect B=2,lime,LIME,0.0002564123646489971,8.578827579526136e-05,0.00042703645350273287,5
