,,,HitRate@5,HitRate@5,NDCG@5,NDCG@5,HitRate@10,HitRate@10,NDCG@10,NDCG@10,HitRate@20,HitRate@20,NDCG@20,NDCG@20,Coverage@20,Coverage@20,ILD@20,ILD@20
,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
dataset,backbone,family,,,,,,,,,,,,,,,,
amazon_books_2018_custom,lightgcn,additive-pref,0.02804368324577804,0.0006874774471064702,0.019914716854691462,0.0002650438389072849,0.04244303554296488,0.0012590125308969866,0.024538598209619476,0.0003544559261954494,0.06290953159332272,0.002501728326670556,0.02968327328562732,0.0007300850618038885,0.23433449747768717,0.004828541220955987,0.920910120010376,0.0010960017615668032
amazon_books_2018_custom,lightgcn,attention,0.028097613900899838,0.0007235493659764524,0.01995096951723094,0.0002899140497938334,0.042200350016355456,0.0014043854764567525,0.02447937466204162,0.0003196305876448208,0.0629634618759155,0.0023891115091132656,0.02969547659158702,0.0006444936961531004,0.23509507178890182,0.004756843184112147,0.9205375671386719,0.0010526491411807105
amazon_books_2018_custom,lightgcn,heuristic-pop,0.028556019812822298,0.000613418510924989,0.02016502134501928,0.00018925644893974124,0.04247000068426128,0.0011077036043655546,0.02463457733392712,0.00031832532153581897,0.06334097385406488,0.002214175149033642,0.0298845093697309,0.0006580192883054776,0.23385331781140856,0.004611866582489135,0.920978581905365,0.0010632424882335313
amazon_books_2018_custom,lightgcn,loo-marginal,0.03146824873983856,0.0015449133836432031,0.022351175174117038,0.0006878278351351024,0.04627207741141316,0.000891276963733133,0.027101765200495658,0.0005041360604144853,0.06730484217405316,0.002436947812125978,0.032368141040205925,0.0008784049852153936,0.23698874660457894,0.004256022882306378,0.9204749941825867,0.0010621126456034661
amazon_books_2018_custom,lightgcn,shapley-mc,0.030551436170935604,0.0012597342378725944,0.02175458706915374,0.00036945988694042566,0.0455170556902885,0.0013057890729826704,0.02657568678259844,0.0004577412658477505,0.06611837744712826,0.0020393872133226162,0.03173369206488128,0.0006928160880082459,0.23546759798214972,0.004093125956412676,0.9207213044166564,0.0010414798921690683
amazon_books_2018_custom,lightgcn,uniform,0.02817850857973092,0.0005953726173685648,0.01996410898864266,0.00010752046812562618,0.04247000068426128,0.0010743815159167153,0.02455574907362456,0.0002745465259392866,0.06304435729980465,0.002363484968327837,0.029730894789099637,0.0006403428571521064,0.23424136592937522,0.004442905236600084,0.9210419893264771,0.0010809745391989615
amazon_books_2018_custom,lightgcn,unreranked,0.028016718477010684,0.000833304483654685,0.019910135492682397,0.0002463000245231284,0.04236214086413378,0.0010760716431611832,0.0245244145393371,0.0003641293852843852,0.0631252527236938,0.002197694225089243,0.029741193354129742,0.0006690714685541885,0.2358401241753977,0.004428987496153641,0.9207959175109863,0.0010714796511460043
amazon_books_2018_custom,lightgcn,valid-linear,0.03033571504056448,0.0007322897410142869,0.021479894965887,0.00019682259988433034,0.04546312615275378,0.0018691683525022804,0.0263690154999494,0.0004786914098185035,0.06671160906553264,0.001761525200689628,0.031695977970957724,0.0005069048428984769,0.24701590997283657,0.004829102530572137,0.9213737845420837,0.001054511019888023
amazon_books_2018_custom,lightgcn,valid-sim,0.028987461328506443,0.0006535904206958545,0.02063598893582818,0.00023954644755947823,0.0436025351285934,0.0015152111719320344,0.02534477896988388,0.0003236163467989994,0.0642847508192062,0.0025958699791683647,0.030542037263512577,0.0006748508284682277,0.2345052386495925,0.004043751856257203,0.9211461782455445,0.0010436179309877486
