HitRate@5,NDCG@5,HitRate@10,NDCG@10,HitRate@20,NDCG@20,Coverage@20,ILD@20,seed,family,backbone,dataset
0.0283133350312709,0.0199122354388237,0.04166105017066,0.0241886768490076,0.0632331147789955,0.0296182427555322,0.2392704695382227,0.921196460723877,42,unreranked,lightgcn,amazon_books_2018_custom
0.0284481588751077,0.0199880264699459,0.0420655235648155,0.0243333615362644,0.0628286376595497,0.0295580066740512,0.2374854481955762,0.9214547276496888,42,uniform,lightgcn,amazon_books_2018_custom
0.0284481588751077,0.0200792420655488,0.0422003492712974,0.0244614724069833,0.0629634633660316,0.0296851657330989,0.2377958866899495,0.921311616897583,42,additive-pref,lightgcn,amazon_books_2018_custom
0.028178509324789,0.0199409071356058,0.0422003492712974,0.0244474858045578,0.0632331147789955,0.0297430735081434,0.2385719829258828,0.9208791851997375,42,attention,lightgcn,amazon_books_2018_custom
0.0287178102880716,0.0201961733400821,0.0422003492712974,0.0245123952627182,0.0633679404854774,0.0298254135996103,0.2374078385719829,0.9214016795158386,42,heuristic-pop,lightgcn,amazon_books_2018_custom
0.0314143188297748,0.0220344569534063,0.0454361587762832,0.0265128687024116,0.0674127042293548,0.0320012830197811,0.239813736903376,0.9208130240440368,42,loo-marginal,lightgcn,amazon_books_2018_custom
0.0291222874075174,0.0206050556153059,0.043009303510189,0.0250391326844692,0.0648510158061981,0.0305113326758146,0.2373302289483896,0.9215013384819032,42,valid-sim,lightgcn,amazon_books_2018_custom
0.0300660636276006,0.0214870907366275,0.0451665110886096,0.0263653807342052,0.0668734014034271,0.0318186916410923,0.249126891734575,0.9217976927757264,42,valid-linear,lightgcn,amazon_books_2018_custom
0.0314143188297748,0.0218413937836885,0.0447620339691638,0.026074981316924,0.0656599700450897,0.0313021577894687,0.2377958866899495,0.9210705757141112,42,shapley-mc,lightgcn,amazon_books_2018_custom
0.0277740322053432,0.0202641431242227,0.0424700006842613,0.0249822475016117,0.06498584151268,0.0306266695261001,0.2343810632518432,0.9197099804878236,43,unreranked,lightgcn,amazon_books_2018_custom
0.0277740322053432,0.0201394632458686,0.0424700006842613,0.0248824376612901,0.0651206672191619,0.0305712763220071,0.2334497477687233,0.9200013279914856,43,uniform,lightgcn,amazon_books_2018_custom
0.0279088579118251,0.0202068779617548,0.0426048263907432,0.0249273907393217,0.0652554929256439,0.0306017342954874,0.2327512611563834,0.919854462146759,43,additive-pref,lightgcn,amazon_books_2018_custom
0.028178509324789,0.0203501768410205,0.0422003492712974,0.0248365979641675,0.0648510158061981,0.0305188074707984,0.23290648040357,0.9195182919502258,43,attention,lightgcn,amazon_books_2018_custom
0.0283133350312709,0.0204770844429731,0.0426048263907432,0.0250824801623821,0.0653903186321258,0.0308108925819396,0.2325184322856034,0.9199579358100892,43,heuristic-pop,lightgcn,amazon_books_2018_custom
0.0306053664535284,0.0224938746541738,0.0461102873086929,0.0274532698094844,0.0683564767241478,0.0330305248498916,0.2359332557237097,0.9195367097854614,43,loo-marginal,lightgcn,amazon_books_2018_custom
0.0292571112513542,0.0210561696439981,0.043009303510189,0.0254851039499044,0.0664689242839813,0.0313892737030983,0.2341482343810632,0.9201273322105408,43,valid-sim,lightgcn,amazon_books_2018_custom
0.0303357150405645,0.0215903650969266,0.0448968596756458,0.0263111758977174,0.0690306052565574,0.0323511883616447,0.2468762126503686,0.9204358458518982,43,valid-linear,lightgcn,amazon_books_2018_custom
0.0293919369578361,0.0217546597123146,0.0448968596756458,0.0267434865236282,0.0672778785228729,0.03234688565135,0.2344586728754365,0.9197440147399902,43,shapley-mc,lightgcn,amazon_books_2018_custom
0.0291222874075174,0.0200137458741664,0.0439530797302722,0.0248511265963315,0.0651206672191619,0.0301812104880809,0.2416763678696158,0.9195885062217712,44,unreranked,lightgcn,amazon_books_2018_custom
0.0288526359945535,0.0198726002126932,0.0440879054367542,0.0248244442045688,0.0652554929256439,0.0301563255488872,0.240046565774156,0.9197719097137452,44,uniform,lightgcn,amazon_books_2018_custom
0.0289874617010355,0.0199551954865455,0.0440879054367542,0.0248600095510482,0.0651206672191619,0.0301529727876186,0.2409002716336825,0.9196261167526244,44,additive-pref,lightgcn,amazon_books_2018_custom
0.0291222874075174,0.019987229257822,0.0439530797302722,0.0247626472264528,0.0651206672191619,0.0300787705928087,0.2415987582460225,0.919321060180664,44,attention,lightgcn,amazon_books_2018_custom
0.0292571112513542,0.0200256370007991,0.0440879054367542,0.0248288344591856,0.0651206672191619,0.0301395021378994,0.2398913465269693,0.9197217226028442,44,heuristic-pop,lightgcn,amazon_books_2018_custom
0.0330322235822677,0.0227351710200309,0.0477281920611858,0.0274597182869911,0.069974385201931,0.0330592580139637,0.2428405122235157,0.9191747903823853,44,loo-marginal,lightgcn,amazon_books_2018_custom
0.0296615883708,0.0204765312373638,0.0457058101892471,0.025687726214528,0.0657947957515716,0.0307485535740852,0.2397361272797827,0.919943869113922,44,valid-sim,lightgcn,amazon_books_2018_custom
0.0304705407470464,0.0212775655090808,0.0478630177676677,0.0269311182200908,0.0672778785228729,0.0318377576768398,0.2538610787737679,0.9200618863105774,44,valid-linear,lightgcn,amazon_books_2018_custom
0.0312794931232929,0.0218345951288938,0.0475933663547039,0.0271249655634164,0.0680868253111839,0.0322795137763023,0.2412883197516492,0.9194871783256532,44,shapley-mc,lightgcn,amazon_books_2018_custom
0.0280436836183071,0.0196587871760129,0.0426048263907432,0.0243169702589511,0.0625589862465858,0.0293332766741514,0.2318199456732634,0.921783447265625,45,unreranked,lightgcn,amazon_books_2018_custom
0.0284481588751077,0.0198909770697355,0.0426048263907432,0.0244114492088556,0.0625589862465858,0.0294352229684591,0.2301901435778036,0.92204749584198,45,uniform,lightgcn,amazon_books_2018_custom
0.0276392064988613,0.0195189248770475,0.0427396520972251,0.0243665389716625,0.0620196834206581,0.0292138364166021,0.230034924330617,0.9219135642051696,45,additive-pref,lightgcn,amazon_books_2018_custom
0.0279088579118251,0.0195321924984455,0.0426048263907432,0.0242604669183492,0.0624241605401039,0.029223121702671,0.2305005820721769,0.921522319316864,45,attention,lightgcn,amazon_books_2018_custom
0.0288526359945535,0.0201116688549518,0.0424700006842613,0.0244663879275321,0.0629634633660316,0.0296195968985557,0.2299573147070236,0.921938180923462,45,heuristic-pop,lightgcn,amazon_books_2018_custom
0.0328973978757858,0.0231412444263696,0.0463799387216568,0.027494728565216,0.0674127042293548,0.0327547825872898,0.2329840900271633,0.9215283989906312,45,loo-marginal,lightgcn,amazon_books_2018_custom
0.0289874617010355,0.0205309148877859,0.0444923825562,0.0255495738238096,0.0644465386867523,0.0305486731231212,0.2310438494373302,0.9221332669258118,45,valid-sim,lightgcn,amazon_books_2018_custom
0.0314143188297748,0.0217437893152236,0.0465147644281387,0.0266044735908508,0.0661992728710174,0.0315010994672775,0.2438494373302289,0.922301948070526,45,valid-linear,lightgcn,amazon_books_2018_custom
0.0316839702427387,0.0221801325678825,0.045975461602211,0.0268096476793289,0.0667385756969451,0.0320005118846893,0.2311214590609235,0.9217012524604796,45,shapley-mc,lightgcn,amazon_books_2018_custom
0.0268302541226148,0.0197017658501863,0.0411217473447322,0.0242830514907836,0.0597276538610458,0.0289465673267841,0.2320527745440434,0.921701192855835,46,unreranked,lightgcn,amazon_books_2018_custom
0.0273695569485425,0.0199294779449701,0.0411217473447322,0.0243270527571439,0.0594580024480819,0.0289336424320936,0.230034924330617,0.9219344854354858,46,uniform,lightgcn,amazon_books_2018_custom
0.0272347312420606,0.0198133438825607,0.0405824445188045,0.0240775793790817,0.0591883510351181,0.0287626571953296,0.2301901435778036,0.9218448400497437,46,additive-pref,lightgcn,amazon_books_2018_custom
0.0270999055355787,0.0199443418532609,0.0400431454181671,0.0240896753966808,0.0591883510351181,0.0289136096835136,0.2318975552968568,0.921446979045868,46,attention,lightgcn,amazon_books_2018_custom
0.0276392064988613,0.0200145430862903,0.0409869216382503,0.0242827888578176,0.0598624795675277,0.0290271416306495,0.2294916569654637,0.9218733906745912,46,heuristic-pop,lightgcn,amazon_books_2018_custom
0.0293919369578361,0.0213511288166046,0.0457058101892471,0.0265882406383752,0.0633679404854774,0.0309948567301034,0.23337213814513,0.9213220477104188,46,loo-marginal,lightgcn,amazon_books_2018_custom
0.0279088579118251,0.0205112732946872,0.0417958758771419,0.0249623581767082,0.0598624795675277,0.0295123532414436,0.2302677532013969,0.9220250844955444,46,valid-sim,lightgcn,amazon_books_2018_custom
0.0293919369578361,0.0213006641715765,0.0428744778037071,0.0256329290568828,0.0641768872737884,0.0309711527079343,0.2413659293752425,0.9222715497016908,46,valid-linear,lightgcn,amazon_books_2018_custom
0.0289874617010355,0.0211621541529893,0.044357556849718,0.0261253528296947,0.0628286376595497,0.0307393912225961,0.23267365153279,0.921603500843048,46,shapley-mc,lightgcn,amazon_books_2018_custom
