,,,HitRate@5,HitRate@5,NDCG@5,NDCG@5,HitRate@10,HitRate@10,NDCG@10,NDCG@10,HitRate@20,HitRate@20,NDCG@20,NDCG@20,Coverage@20,Coverage@20,ILD@20,ILD@20
,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
dataset,backbone,family,,,,,,,,,,,,,,,,
ml1m,lightgcn,additive-pref,0.0385369911789894,0.0010863716642754509,0.02440658546984192,0.00047563136016271385,0.0664006665349006,0.0014330429344908532,0.03327618688344952,0.0006950058964736019,0.11763923466205592,0.0008525917537562208,0.046122808009386,0.00020086141735676922,0.6105973025048169,0.0030768245515744503,0.719976270198822,0.0002564284701152579
ml1m,lightgcn,attention,0.03860349208116526,0.0009286278250788637,0.024596371129155102,0.0003526289211469139,0.06726516932249063,0.0006286824620773405,0.033714524656534114,0.0003919810365170628,0.1185702413320541,0.0008590530203737331,0.046567942202091164,0.00023851218096042112,0.6038535645472061,0.003341916696402758,0.7168867826461792,0.0002608439089622058
ml1m,lightgcn,heuristic-pop,0.03857024163007734,0.0010112662531932626,0.02447007149457926,0.0005165164734320179,0.0664671644568443,0.0014223932074779592,0.033347825706005044,0.0007043944024981338,0.11790523678064344,0.0008262525848692957,0.04624613896012298,0.0002429818120344991,0.6110468850353243,0.002428730944276028,0.7203794479370117,0.0002566853754119105
ml1m,lightgcn,loo-marginal,0.043890275061130454,0.0010709982969870498,0.0272029254585504,0.0007441499231575705,0.07494596838951106,0.0011953906190364798,0.03708299249410624,0.00042303417440074117,0.12522028088569637,0.0004903668824816408,0.0496841453015804,0.0003814914777305269,0.6416827231856134,0.0024916075454426093,0.7349492907524109,0.00037922498390215235
ml1m,lightgcn,shapley-mc,0.04123025760054584,0.0005257313756801137,0.02591590397059914,0.00021007153560346603,0.07145469635725016,0.0009793293033386434,0.03558375835418698,0.0003384383608127391,0.12528678178787228,0.0009075544143055205,0.0490881778299808,0.00030341546538635453,0.6340398201669878,0.002749371200128971,0.7277260661125183,0.0003686899845415034
ml1m,lightgcn,uniform,0.03850374072790142,0.0009151361526672048,0.02435968481004234,0.0005094820097074837,0.06606816351413722,0.0014087285009088614,0.03313105106353752,0.0007167429843707096,0.1174064844846725,0.0009060271584962837,0.046006324887275664,0.0002224604719366779,0.6128452151573539,0.0024414358135835474,0.7216134309768677,0.00023152891466992956
ml1m,lightgcn,unreranked,0.03807148858904832,0.00107099714043292,0.02416450977325432,0.0006769673366355696,0.06490440666675563,0.000558861046305182,0.03273034989833828,0.0005912888267275141,0.11358270943164821,0.0018112982956748945,0.04493342116475098,0.00018418414629304874,0.6274887604367374,0.002960675805167908,0.7303359627723693,0.00031234553818447074
ml1m,lightgcn,valid-linear,0.04056525379419324,0.0005124205419586865,0.025677015632390898,0.00030594454225607923,0.0709226951003074,0.0010153559900082307,0.03533725067973132,0.0002847989538083992,0.12315877228975292,0.0008670590399129218,0.0484215527772903,0.00019441319880865392,0.6397559409120103,0.003955252212640241,0.7297157049179077,0.000314174669103724
ml1m,lightgcn,valid-sim,0.039800498634576756,0.0008844173898730803,0.025198970735073063,0.00040713099909197594,0.06919368207454678,0.0005563820132239006,0.034563463181257206,0.00029593932572571626,0.12189526259899135,0.0008590534529461812,0.047780746221542304,0.00012967168454806468,0.6192678227360309,0.003372633488276499,0.7229496002197265,0.00032044580862883705
