dataset,contrast,n,sd,mde80
Amazon-Digital-Music,Shapley - LIME (bounded AIA),993,0.5690903934276484,0.05059533404339124
MovieLens-1M,Shapley - LIME (bounded AIA),1000,0.15320233142712783,0.013572792563820327
