dataset,model,evaluation_mode,utility,analysis_role,condition,method,method_label,mean_rank_stability,ci95_low,ci95_high,n_users
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,budget3,lime,LIME,-0.07999999999999999,-0.10000000000000002,-0.06399999999999999,5
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,budget3,loo,Leave-one-out,0.039999999999999994,0.008,0.072,5
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,budget3,random,Random control,-0.003999999999999992,-0.059999999999999984,0.052000000000000005,5
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,budget3,shapley_mc,Monte Carlo Shapley,-0.03999999999999999,-0.13399999999999995,0.05399999999999999,5
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,candidates100,greedy_cf,Greedy counterfactual,-0.0020000000000000018,-0.20999999999999996,0.21199999999999997,5
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,candidates100,lime,LIME,0.010000000000000004,-0.12399999999999996,0.16599999999999998,5
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,candidates100,loo,Leave-one-out,-0.06,-0.12599999999999997,0.028000000000000004,5
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,candidates100,random,Random control,0.045999999999999985,-0.068,0.19399999999999998,5
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,candidates100,shapley_mc,Monte Carlo Shapley,0.10600000000000001,-0.059999999999999984,0.27199999999999996,5
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,candidates500,greedy_cf,Greedy counterfactual,-0.039999999999999994,-0.13999999999999999,0.08,5
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,candidates500,lime,LIME,0.043999999999999984,-0.04,0.13999999999999993,5
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,candidates500,loo,Leave-one-out,0.06799999999999999,-0.04599999999999998,0.176,5
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,candidates500,random,Random control,0.0020000000000000018,-0.11799999999999997,0.184,5
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,candidates500,shapley_mc,Monte Carlo Shapley,-0.027999999999999987,-0.14799999999999996,0.096,5
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,nmax100,greedy_cf,Greedy counterfactual,-0.057999999999999996,-0.13999999999999999,0.039999999999999994,5
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,nmax100,lime,LIME,0.019999999999999997,-0.094,0.17999999999999997,5
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,nmax100,loo,Leave-one-out,-0.045999999999999985,-0.13199999999999998,0.06,5
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,nmax100,random,Random control,0.025999999999999985,-0.02000000000000001,0.07799999999999999,5
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,nmax100,shapley_mc,Monte Carlo Shapley,0.003999999999999998,-0.09204999999999995,0.10200000000000001,5
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,nmax50,greedy_cf,Greedy counterfactual,0.039999999999999994,-0.003999999999999998,0.086,5
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,nmax50,lime,LIME,0.06,-0.03600000000000001,0.152,5
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,nmax50,loo,Leave-one-out,0.10800000000000001,-0.036000000000000004,0.21400000000000002,5
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,nmax50,random,Random control,-0.003999999999999998,-0.122,0.12200000000000003,5
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,nmax50,shapley_mc,Monte Carlo Shapley,-0.032,-0.088,0.015999999999999997,5
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,rho025,greedy_cf,Greedy counterfactual,0.04999999999999999,-0.094,0.19399999999999998,5
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,rho025,lime,LIME,0.11999999999999997,0.04799999999999999,0.19599999999999995,5
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,rho025,loo,Leave-one-out,-0.12399999999999997,-0.17999999999999997,-0.07199999999999998,5
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,rho025,random,Random control,-0.002000000000000004,-0.05399999999999998,0.03599999999999999,5
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,rho025,shapley_mc,Monte Carlo Shapley,-0.01999999999999998,-0.186,0.21800000000000005,5
