dataset,model,evaluation_mode,utility,analysis_role,condition,method,method_label,metric,mean,ci95_low,ci95_high,n_users,n_seeds,missing_users,condition_order,condition_label,component
Amazon-Digital-Music,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,loo,Leave-one-out,faithfulness_alignment,1.0,1.0,1.0,993,5,7,0,Amazon sampled,Deletion AIA
Amazon-Digital-Music,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,loo,Leave-one-out,actionability_gap,-0.14888562433918862,-0.16552769450381039,-0.132776994494451,993,5,7,0,Amazon sampled,Gap (bounded - deletion)
Amazon-Digital-Music,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,random,Random control,aia,-0.010319619685153297,-0.02516763350484998,0.004564148729721579,993,5,7,0,Amazon sampled,Bounded AIA
Amazon-Digital-Music,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,random,Random control,faithfulness_alignment,-0.007970148935928525,-0.022562577667596066,0.007148328210663395,993,5,7,0,Amazon sampled,Deletion AIA
Amazon-Digital-Music,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,random,Random control,actionability_gap,-0.002349470749224772,-0.00954277776620047,0.004714695096180463,993,5,7,0,Amazon sampled,Gap (bounded - deletion)
Amazon-Digital-Music,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,shapley_mc,Monte Carlo Shapley,aia,0.4140961342685184,0.3809765963717253,0.4476478444700588,993,5,7,0,Amazon sampled,Bounded AIA
Amazon-Digital-Music,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,shapley_mc,Monte Carlo Shapley,faithfulness_alignment,0.28556340143470876,0.24819198030535175,0.32324997946513156,993,5,7,0,Amazon sampled,Deletion AIA
Amazon-Digital-Music,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,shapley_mc,Monte Carlo Shapley,actionability_gap,0.12853273283380962,0.1101628794643622,0.1478152138821209,993,5,7,0,Amazon sampled,Gap (bounded - deletion)
MovieLens-1M,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,greedy_cf,Greedy sequential deletion,aia,0.38188091397448626,0.35435076521042913,0.4097314506471463,250,5,0,3,MovieLens full catalogue,Bounded AIA
MovieLens-1M,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,greedy_cf,Greedy sequential deletion,faithfulness_alignment,0.38446194946217827,0.35636543480018135,0.4127239564067881,250,5,0,3,MovieLens full catalogue,Deletion AIA
MovieLens-1M,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,greedy_cf,Greedy sequential deletion,actionability_gap,-0.002581035487692007,-0.013157801609488437,0.007859674096421406,250,5,0,3,MovieLens full catalogue,Gap (bounded - deletion)
MovieLens-1M,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,lime,LIME,aia,0.8923842389854353,0.8782603958432992,0.9058302936327375,250,5,0,3,MovieLens full catalogue,Bounded AIA
MovieLens-1M,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,lime,LIME,faithfulness_alignment,0.9255505674017355,0.9158844285849006,0.9345754957494731,250,5,0,3,MovieLens full catalogue,Deletion AIA
MovieLens-1M,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,lime,LIME,actionability_gap,-0.033166328416300184,-0.04147309503911401,-0.025835973448424608,250,5,0,3,MovieLens full catalogue,Gap (bounded - deletion)
MovieLens-1M,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,loo,Leave-one-out,aia,0.9579583462964725,0.9491020391108744,0.9657806496404695,250,5,0,3,MovieLens full catalogue,Bounded AIA
MovieLens-1M,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,loo,Leave-one-out,faithfulness_alignment,1.0,1.0,1.0,250,5,0,3,MovieLens full catalogue,Deletion AIA
MovieLens-1M,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,loo,Leave-one-out,actionability_gap,-0.042041653703527526,-0.05096534219393181,-0.03425877926648396,250,5,0,3,MovieLens full catalogue,Gap (bounded - deletion)
MovieLens-1M,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,random,Random control,aia,0.00392898754503715,-0.00936023910214325,0.017445592625417436,250,5,0,3,MovieLens full catalogue,Bounded AIA
MovieLens-1M,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,random,Random control,faithfulness_alignment,0.003315035296721349,-0.010996425484493963,0.01744555103719657,250,5,0,3,MovieLens full catalogue,Deletion AIA
MovieLens-1M,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,random,Random control,actionability_gap,0.0006139522483158012,-0.003421621351421325,0.005376079202752487,250,5,0,3,MovieLens full catalogue,Gap (bounded - deletion)
MovieLens-1M,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,shapley_mc,Monte Carlo Shapley,aia,0.6180448912299801,0.5910199462230005,0.6443946040063896,250,5,0,3,MovieLens full catalogue,Bounded AIA
MovieLens-1M,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,shapley_mc,Monte Carlo Shapley,faithfulness_alignment,0.5742428085154162,0.543100639301283,0.6027962403564562,250,5,0,3,MovieLens full catalogue,Deletion AIA
MovieLens-1M,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,shapley_mc,Monte Carlo Shapley,actionability_gap,0.04380208271456387,0.033941422352474736,0.05453685853285231,250,5,0,3,MovieLens full catalogue,Gap (bounded - deletion)
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,greedy_cf,Greedy sequential deletion,aia,0.31826261206945705,0.30105014340555125,0.3355006934411741,1000,5,0,2,MovieLens sampled,Bounded AIA
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,greedy_cf,Greedy sequential deletion,faithfulness_alignment,0.32051816959191154,0.3034005250873146,0.33745529820523723,1000,5,0,2,MovieLens sampled,Deletion AIA
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,greedy_cf,Greedy sequential deletion,actionability_gap,-0.0022555575224544877,-0.006850967237228732,0.0017111028812138067,1000,5,0,2,MovieLens sampled,Gap (bounded - deletion)
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,lime,LIME,aia,0.9333530379688385,0.927843710802667,0.9381651251442781,1000,5,0,2,MovieLens sampled,Bounded AIA
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,lime,LIME,faithfulness_alignment,0.9509235849357662,0.9481054883465758,0.953541230456585,1000,5,0,2,MovieLens sampled,Deletion AIA
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,lime,LIME,actionability_gap,-0.017570546966927725,-0.021680191342965623,-0.014291658086076364,1000,5,0,2,MovieLens sampled,Gap (bounded - deletion)
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,loo,Leave-one-out,aia,0.9779660211244914,0.9738489990768497,0.9810859903197158,1000,5,0,2,MovieLens sampled,Bounded AIA
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,loo,Leave-one-out,faithfulness_alignment,1.0,1.0,1.0,1000,5,0,2,MovieLens sampled,Deletion AIA
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,loo,Leave-one-out,actionability_gap,-0.02203397887550862,-0.026115558312003857,-0.018905071792982394,1000,5,0,2,MovieLens sampled,Gap (bounded - deletion)
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,random,Random control,aia,0.000346827668105353,-0.006286960505106378,0.006921524778881417,1000,5,0,2,MovieLens sampled,Bounded AIA
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,random,Random control,faithfulness_alignment,-0.0010381071036799142,-0.007943646794826585,0.005811351275057217,1000,5,0,2,MovieLens sampled,Deletion AIA
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,random,Random control,actionability_gap,0.0013849347717852672,-0.0011074467050018575,0.004659464664761962,1000,5,0,2,MovieLens sampled,Gap (bounded - deletion)
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,shapley_mc,Monte Carlo Shapley,aia,0.7786133710444005,0.7685492288868159,0.7885809662757126,1000,5,0,2,MovieLens sampled,Bounded AIA
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,shapley_mc,Monte Carlo Shapley,faithfulness_alignment,0.7617419908323972,0.7505025473121142,0.7727060462020668,1000,5,0,2,MovieLens sampled,Deletion AIA
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,shapley_mc,Monte Carlo Shapley,actionability_gap,0.016871380212003295,0.012731606992291972,0.02178199415205243,1000,5,0,2,MovieLens sampled,Gap (bounded - deletion)
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,candidates100,greedy_cf,Greedy sequential deletion,aia,0.2605189067804962,0.2237178909186144,0.2965273581967263,250,5,0,4,MovieLens 100 candidates,Bounded AIA
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,candidates100,greedy_cf,Greedy sequential deletion,faithfulness_alignment,0.26321421011690854,0.2257126521340488,0.2987213717063633,250,5,0,4,MovieLens 100 candidates,Deletion AIA
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,candidates100,greedy_cf,Greedy sequential deletion,actionability_gap,-0.0026953033364123247,-0.00980820700152957,0.0034153858001072855,250,5,0,4,MovieLens 100 candidates,Gap (bounded - deletion)
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,candidates100,lime,LIME,aia,0.9468556119688367,0.9393680196366434,0.9535877179994267,250,5,0,4,MovieLens 100 candidates,Bounded AIA
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,candidates100,lime,LIME,faithfulness_alignment,0.9604383687548504,0.9562871333583224,0.9643805060664175,250,5,0,4,MovieLens 100 candidates,Deletion AIA
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,candidates100,lime,LIME,actionability_gap,-0.013582756786013728,-0.020008562362258737,-0.008364054558097833,250,5,0,4,MovieLens 100 candidates,Gap (bounded - deletion)
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,candidates100,loo,Leave-one-out,aia,0.9823701348901516,0.9761618666868475,0.9874038410141722,250,5,0,4,MovieLens 100 candidates,Bounded AIA
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,candidates100,loo,Leave-one-out,faithfulness_alignment,1.0,1.0,1.0,250,5,0,4,MovieLens 100 candidates,Deletion AIA
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,candidates100,loo,Leave-one-out,actionability_gap,-0.01762986510984843,-0.02399916971775436,-0.012606327078807477,250,5,0,4,MovieLens 100 candidates,Gap (bounded - deletion)
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,candidates100,random,Random control,aia,-0.0028690237022383513,-0.016288427426749633,0.01040371921095437,250,5,0,4,MovieLens 100 candidates,Bounded AIA
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,candidates100,random,Random control,faithfulness_alignment,-0.004404711422095071,-0.01866964150772636,0.009486389669371419,250,5,0,4,MovieLens 100 candidates,Deletion AIA
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,candidates100,random,Random control,actionability_gap,0.0015356877198567198,-0.0019071993494600861,0.005937074496835172,250,5,0,4,MovieLens 100 candidates,Gap (bounded - deletion)
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,candidates100,shapley_mc,Monte Carlo Shapley,aia,0.8209126858900128,0.7981519042907251,0.841593715694519,250,5,0,4,MovieLens 100 candidates,Bounded AIA
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,candidates100,shapley_mc,Monte Carlo Shapley,faithfulness_alignment,0.8085592869744853,0.7811957001871972,0.8333724538680153,250,5,0,4,MovieLens 100 candidates,Deletion AIA
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,candidates100,shapley_mc,Monte Carlo Shapley,actionability_gap,0.012353398915527447,0.005432944044828858,0.020535121495099562,250,5,0,4,MovieLens 100 candidates,Gap (bounded - deletion)
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,candidates500,greedy_cf,Greedy sequential deletion,aia,0.3782374832539292,0.34912245627504235,0.4065500783758147,250,5,0,5,MovieLens 500 candidates,Bounded AIA
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,candidates500,greedy_cf,Greedy sequential deletion,faithfulness_alignment,0.3733136946830097,0.34476452826550125,0.4012212328197211,250,5,0,5,MovieLens 500 candidates,Deletion AIA
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,candidates500,greedy_cf,Greedy sequential deletion,actionability_gap,0.004923788570919518,-0.0039099236644298905,0.013759502432568621,250,5,0,5,MovieLens 500 candidates,Gap (bounded - deletion)
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,candidates500,lime,LIME,aia,0.92187523583769,0.911304983610916,0.9312964072622288,250,5,0,5,MovieLens 500 candidates,Bounded AIA
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,candidates500,lime,LIME,faithfulness_alignment,0.9444758366706194,0.9382498999632847,0.9501506948218319,250,5,0,5,MovieLens 500 candidates,Deletion AIA
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,candidates500,lime,LIME,actionability_gap,-0.022600600832929363,-0.028736564943159505,-0.017302758196107385,250,5,0,5,MovieLens 500 candidates,Gap (bounded - deletion)
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,candidates500,loo,Leave-one-out,aia,0.9709892300616286,0.9648952411854659,0.9763932156296017,250,5,0,5,MovieLens 500 candidates,Bounded AIA
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,candidates500,loo,Leave-one-out,faithfulness_alignment,1.0,1.0,1.0,250,5,0,5,MovieLens 500 candidates,Deletion AIA
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,candidates500,loo,Leave-one-out,actionability_gap,-0.029010769938371372,-0.03498878807614086,-0.023683147837263562,250,5,0,5,MovieLens 500 candidates,Gap (bounded - deletion)
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,candidates500,random,Random control,aia,0.004003137981167566,-0.009397927888295117,0.017385127890776463,250,5,0,5,MovieLens 500 candidates,Bounded AIA
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,candidates500,random,Random control,faithfulness_alignment,0.001793464269854925,-0.011969404538090745,0.015209098835041124,250,5,0,5,MovieLens 500 candidates,Deletion AIA
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,candidates500,random,Random control,actionability_gap,0.0022096737113126413,-0.0007990625069469527,0.005219403214130701,250,5,0,5,MovieLens 500 candidates,Gap (bounded - deletion)
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,candidates500,shapley_mc,Monte Carlo Shapley,aia,0.723924633012494,0.7004997237565943,0.746052068352884,250,5,0,5,MovieLens 500 candidates,Bounded AIA
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,candidates500,shapley_mc,Monte Carlo Shapley,faithfulness_alignment,0.6918343505791004,0.6650908028575924,0.7164144664168792,250,5,0,5,MovieLens 500 candidates,Deletion AIA
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,candidates500,shapley_mc,Monte Carlo Shapley,actionability_gap,0.032090282433393624,0.023917471145169567,0.0415330485612854,250,5,0,5,MovieLens 500 candidates,Gap (bounded - deletion)
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,nmax100,greedy_cf,Greedy sequential deletion,aia,0.3807191048966828,0.35339286256857816,0.4073325499339914,250,5,0,7,MovieLens n_max=100,Bounded AIA
