dataset,method,metric,n_users,user_mean,ci95_low,ci95_high
Amazon-Digital-Music,shapley_mc,signed_alignment,993,0.8551580008946864,0.8407469774501086,0.8684425670951383
Amazon-Digital-Music,lime,signed_alignment,993,0.9490300658817288,0.9422397346469684,0.9550919013529944
Amazon-Digital-Music,loo,signed_alignment,993,0.9662428124148413,0.9596655956347211,0.9723560941254741
Amazon-Digital-Music,greedy_cf,signed_alignment,993,0.10880689467622202,0.0745160500749242,0.14243038247892778
Amazon-Digital-Music,random,signed_alignment,993,0.009326486035927097,-0.004902648322089913,0.02409562739144908
MovieLens-1M,shapley_mc,signed_alignment,1000,0.9288793762821942,0.9240227658464523,0.9336859084254278
MovieLens-1M,lime,signed_alignment,1000,0.9739166215305272,0.9719315407726652,0.9758169030835688
MovieLens-1M,loo,signed_alignment,1000,0.9941154795751208,0.9930762900386926,0.9950353552847055
MovieLens-1M,greedy_cf,signed_alignment,1000,0.3419435713809114,0.32094987363334154,0.3625729342161859
MovieLens-1M,random,signed_alignment,1000,0.003991592878686503,-0.0030039062107398637,0.010938985753484063
