Dataset,Method,NDCG@20,HitRate@20,Delta NDCG vs uniform,Delta NDCG vs LOO,Attribution seconds,NDCG gain per attr hour
MovieLens-1M,loo-marginal,0.0497552260756492,0.1251870363950728,0.0037484847009182,0.0,2010.4630856513977,0.0067121575221229
MovieLens-1M,shapley-mc,0.0492231301963329,0.1255527853965758,0.0032163888216019,-0.0005320958793162,31657.683027267456,0.0003657563867764
Amazon-Book,loo-marginal,0.032366732507944,0.0708911955356597,0.0025893442332744,0.0,637.1795468330383,0.0146295330509573
Amazon-Book,shapley-mc,0.0318731743842362,0.0701901033520698,0.0020957861095666,-0.0004935581237077,8283.180880784988,0.0009108614314993
