budget,mae,max_error,sign_agreement,rank_correlation,runtime_seconds
32,0.0008494598568833585,0.0015897625876205024,1.0,1.0,0.0007129170699045062
128,0.0015502237113192059,0.003292833615439361,1.0,1.0,0.0006570420227944851
512,0.000501674957916093,0.0008220924347770858,1.0,1.0,0.0021207910031080246
2048,0.0002071233700246163,0.00037698019552667716,1.0,1.0,0.0072532499907538295
