model,reference,metric,n_users,difference_mean,bootstrap_low,bootstrap_high,effect_dz,analysis
torch_bpr_mf_bias,popularity,hit,1000,0.039,0.018,0.059,0.12236557679533051,seed_42
torch_bpr_mf_bias,popularity,ndcg,1000,0.018046030996173603,0.007079065952463752,0.02920187969509502,0.09924323840362229,seed_42
torch_sasrec,popularity,hit,1000,0.096,0.072,0.12,0.24079674279815486,seed_42
torch_sasrec,popularity,ndcg,1000,0.049602122603952546,0.034729031531693516,0.06463058266581752,0.21284808238241526,seed_42
torch_bpr_mf_bias,popularity,hit,1000,0.039,0.0206,0.05739999999999999,0.13556567584745988,five_seed_user_mean
torch_bpr_mf_bias,popularity,ndcg,1000,0.018320303033662978,0.008031413107152885,0.028665264688802098,0.10908564073159435,five_seed_user_mean
torch_sasrec,popularity,hit,1000,0.09620000000000001,0.07520000000000002,0.11760499999999999,0.28049725005497655,five_seed_user_mean
torch_sasrec,popularity,ndcg,1000,0.048716357958399285,0.03575834957882623,0.06170092410721114,0.24052506677946553,five_seed_user_mean
