dataset,model,evaluation_mode,utility,analysis_role,condition,metric,left,right,mean_difference,median_difference,ci95_low,ci95_high,permutation_p,sign_test_p,cohens_dz,n_users,wins,losses,ties,bootstrap_draws,permutation_draws,p_holm,condition_order,condition_label
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,candidates100,actionability_gap,shapley_mc,greedy_cf,0.015048702251939827,0.0,0.0037908967273725222,0.028986103169879016,0.007799220077992201,0.1602347133629021,0.14510646718223047,250,112,91,47,10000,10000,0.015598440155984402,4,MovieLens 100 candidates
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,candidates100,actionability_gap,shapley_mc,lime,0.02593615570154113,0.00495315775903068,0.015548569046364192,0.03952279910129515,9.999000099990002e-05,6.3349794131648196e-12,0.26417319719308296,250,150,53,47,10000,10000,0.000999900009999,4,MovieLens 100 candidates
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,candidates100,actionability_gap,shapley_mc,random,0.010817711195670729,0.0,0.004488950361717713,0.018052377782432388,0.00039996000399960006,0.0019404256423783083,0.19776352367903247,250,124,79,47,10000,10000,0.0015998400159984002,4,MovieLens 100 candidates
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,candidates500,actionability_gap,shapley_mc,greedy_cf,0.02716649386247417,0.008689416072667941,0.016364978761162996,0.03974200145978448,9.999000099990002e-05,0.00013855854530168277,0.28393061317351126,250,142,84,24,10000,10000,0.000999900009999,5,MovieLens 500 candidates
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,candidates500,actionability_gap,shapley_mc,lime,0.05469088326632304,0.024256577334966535,0.042946747142348134,0.06831137657438803,9.999000099990002e-05,4.615291938494596e-31,0.5346275782147056,250,196,30,24,10000,10000,0.000999900009999,5,MovieLens 500 candidates
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,candidates500,actionability_gap,shapley_mc,random,0.029880608722081058,0.015075189648352555,0.02141343286692257,0.03922040455424271,9.999000099990002e-05,5.5224301251324437e-11,0.4091096211784051,250,162,64,24,10000,10000,0.000999900009999,5,MovieLens 500 candidates
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,nmax50,actionability_gap,shapley_mc,greedy_cf,0.014041145734672933,0.00033644220675952395,0.005850570781490144,0.024883007314944663,9.999000099990002e-05,0.0005687384738459154,0.18249867521357271,250,127,77,46,10000,10000,0.000999900009999,6,MovieLens n_max=50
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,nmax50,actionability_gap,shapley_mc,lime,0.018683997310442176,0.0025019380000964484,0.00952459805151105,0.030449592847079356,9.999000099990002e-05,8.014793862589257e-18,0.22183334127570886,250,162,42,46,10000,10000,0.000999900009999,6,MovieLens n_max=50
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,nmax50,actionability_gap,shapley_mc,random,0.007920392940018329,0.0008778890115169401,0.0021086384455266125,0.014630737195443028,0.006799320067993201,1.0771933088313822e-06,0.15974527618144924,250,137,67,46,10000,10000,0.025197480251974803,6,MovieLens n_max=50
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,nmax100,actionability_gap,shapley_mc,greedy_cf,0.013120647351089155,5.7872372577364405e-05,0.005092489734950599,0.023889734670660058,0.0004999500049995,5.416365361963827e-05,0.17244576497961991,250,126,69,55,10000,10000,0.0029997000299970002,7,MovieLens n_max=100
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,nmax100,actionability_gap,shapley_mc,lime,0.016110411840316394,0.0008328054888097291,0.00738935734631621,0.02774531605457341,9.999000099990002e-05,6.3698891811732735e-12,0.19341241280429675,250,145,50,55,10000,10000,0.000999900009999,7,MovieLens n_max=100
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,nmax100,actionability_gap,shapley_mc,random,0.005920790110957636,0.0,0.00038160774969723697,0.012406895537816294,0.04789521047895211,0.0063568063374722485,0.12181466400923958,250,117,78,55,10000,10000,0.1436856314368563,7,MovieLens n_max=100
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,rho025,actionability_gap,shapley_mc,greedy_cf,0.008230971845580474,0.0,0.004230955704790034,0.012175559160403079,9.999000099990002e-05,0.0008450699446919163,0.25760349336717675,250,124,76,50,10000,10000,0.000999900009999,8,MovieLens rho=0.25
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,rho025,actionability_gap,shapley_mc,lime,0.012127368422468665,0.00412497078873113,0.008687579562717224,0.016202680646183888,9.999000099990002e-05,1.3341607802802957e-17,0.39789954263595567,250,159,41,50,10000,10000,0.000999900009999,8,MovieLens rho=0.25
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,rho025,actionability_gap,shapley_mc,random,0.008049313160954138,0.0010526315789473398,0.005078091093485048,0.011324975185685498,9.999000099990002e-05,1.3857451572364535e-05,0.3204165043770951,250,131,69,50,10000,10000,0.000999900009999,8,MovieLens rho=0.25
