dataset,masks,n,mc_shapley,kernelschap,diff,ci_low,ci_high,p,d_z,pearson
movielens,256,1000,0.7437287333554888,0.6499354456466923,0.09379328770879652,0.0856457781328506,0.10176258592878097,6.120778801391081e-92,0.715977735371702,0.7806822393130944
movielens,512,1000,0.7437287333554888,0.6635182204261063,0.08021051292938258,0.07281198971484891,0.0877235381694129,3.1143344975802767e-81,0.6633080091128296,0.8085604612076934
amazon,256,810,0.6068282881995039,0.635437792452585,-0.02860950425308103,-0.03504496596363045,-0.02264361689472764,8.224942285949774e-19,-0.31900190083170865,0.9730226448543607
amazon,512,810,0.6068282881995039,0.6326583489637693,-0.02583006076426539,-0.031750240388759655,-0.020344495687277656,3.466821754065439e-18,-0.3128920792761961,0.9772238949056599
