HitRate@5,NDCG@5,HitRate@10,NDCG@10,HitRate@20,NDCG@20,Coverage@20,ILD@20,seed,family,lambda_attr,backbone,dataset
0.034081462770700455,0.020838815718889236,0.06001662462949753,0.02917136251926422,0.10241063684225082,0.0397532656788826,0.9624277456647399,0.8290658593177795,43,uniform,0.0,bprmf,ml1m
0.034081462770700455,0.020838815718889236,0.06001662462949753,0.02917136251926422,0.10241063684225082,0.0397532656788826,0.9624277456647399,0.8290658593177795,43,additive-pref,0.0,bprmf,ml1m
0.034081462770700455,0.020838815718889236,0.06001662462949753,0.02917136251926422,0.10241063684225082,0.0397532656788826,0.9624277456647399,0.8290658593177795,43,shapley-mc,0.0,bprmf,ml1m
0.0359102226793766,0.021618064492940903,0.06084787845611572,0.02969508059322834,0.10407315194606781,0.04049127548933029,0.957931920359666,0.8241685628890991,43,uniform,0.05,bprmf,ml1m
0.03624272719025612,0.021787267178297043,0.061346635222435,0.029904179275035858,0.10507065802812576,0.040805377066135406,0.9560051380860629,0.8228147029876709,43,additive-pref,0.05,bprmf,ml1m
0.03740648552775383,0.023083293810486794,0.06433915346860886,0.031728390604257584,0.11172069609165192,0.04364524036645889,0.9605009633911368,0.8268709182739258,43,shapley-mc,0.05,bprmf,ml1m
0.03707398101687431,0.02271266281604767,0.06234414130449295,0.030917342752218246,0.10739817470312119,0.0421384833753109,0.953757225433526,0.819399356842041,43,uniform,0.1,bprmf,ml1m
0.03773898631334305,0.022961745038628578,0.06251039355993271,0.030999192968010902,0.1085619255900383,0.042486127465963364,0.9499036608863198,0.8166255950927734,43,additive-pref,0.1,bprmf,ml1m
0.03906899318099022,0.02442835457623005,0.07082293927669525,0.034641072154045105,0.12285951524972916,0.04774178937077522,0.9611432241490045,0.823917806148529,43,shapley-mc,0.1,bprmf,ml1m
0.04039900377392769,0.02420511282980442,0.06450540572404861,0.0319729782640934,0.1133832111954689,0.044158097356557846,0.9466923570969814,0.8107407093048096,43,uniform,0.2,bprmf,ml1m
0.0415627583861351,0.025006504729390144,0.06666667014360428,0.03306540846824646,0.11504571884870529,0.04508499056100845,0.9402697495183044,0.8051905035972595,43,additive-pref,0.2,bprmf,ml1m
0.04605153948068619,0.02826572023332119,0.0831255167722702,0.040284059941768646,0.1416458785533905,0.055021241307258606,0.9569685292228645,0.8169282078742981,43,shapley-mc,0.2,bprmf,ml1m
0.04189526289701462,0.025491345673799515,0.06999168545007706,0.03450032323598862,0.11953449994325638,0.046890851110219955,0.9383429672447013,0.7962518930435181,43,uniform,0.4,bprmf,ml1m
0.042394015938043594,0.025685779750347137,0.07248545438051224,0.035352613776922226,0.12219451367855072,0.047786612063646317,0.9187540141297367,0.7854634523391724,43,additive-pref,0.4,bprmf,ml1m
0.06068162992596626,0.03667132556438446,0.1029093936085701,0.050275251269340515,0.16359102725982666,0.0655391737818718,0.9441233140655106,0.8009442687034607,43,shapley-mc,0.4,bprmf,ml1m
