contrast,metric,treatment,control,mean_diff_conditional_user,ci95_low,ci95_high,median_user_diff,cohen_dz_user_conditional_descriptive,bootstrap_p_descriptive,n_seeds,n_user_diffs,holm_reject_0.05,holm_threshold
shapley-mc_vs_uniform_NDCG@20,NDCG@20,shapley-mc,uniform,0.005640702263674148,0.005038073419492934,0.006258254830955942,0.0,0.10475179789077206,0.0,5,30075,True,0.025
shapley-mc_vs_uniform_HitRate@20,HitRate@20,shapley-mc,uniform,0.013832086450540316,0.012069825436408978,0.01566084788029925,0.0,0.0855468669526773,0.0,5,30075,True,0.05
