HitRate@5,NDCG@5,HitRate@10,NDCG@10,HitRate@20,NDCG@20,Coverage@20,ILD@20,seed,family,backbone,dataset
0.03424771502614021,0.021128568798303604,0.061845388263463974,0.029927656054496765,0.10789692401885986,0.041457004845142365,0.947655748233783,0.8182001113891602,42,uniform,bprmf,ml1m
0.03491271659731865,0.021450534462928772,0.06234414130449295,0.030157241970300674,0.10939318686723709,0.041934460401535034,0.9438021836865768,0.8154987692832947,42,additive-pref,bprmf,ml1m
0.04172901064157486,0.025699760764837265,0.06849543005228043,0.034274306148290634,0.12103075534105301,0.04742150008678436,0.9569685292228645,0.8227265477180481,42,shapley-mc,bprmf,ml1m
0.035245221108198166,0.021851589903235435,0.062011636793613434,0.030363498255610466,0.11105569452047348,0.04267134144902229,0.9399486191393706,0.8112114667892456,42,attention,bprmf,ml1m
0.03458021581172943,0.02120441012084484,0.06217788904905319,0.02997407130897045,0.10922693461179733,0.041748568415641785,0.9447655748233783,0.8164724707603455,42,heuristic-pop,bprmf,ml1m
0.039733998477458954,0.0246267169713974,0.06882792711257935,0.03392045944929123,0.11837074160575867,0.046324871480464935,0.9598587026332691,0.8302304148674011,42,loo-marginal,bprmf,ml1m
0.03707398101687431,0.02271266281604767,0.06234414130449295,0.030917342752218246,0.10739817470312119,0.0421384833753109,0.953757225433526,0.819399356842041,43,uniform,bprmf,ml1m
0.03773898631334305,0.022961745038628578,0.06251039355993271,0.030999192968010902,0.1085619255900383,0.042486127465963364,0.9499036608863198,0.8166255950927734,43,additive-pref,bprmf,ml1m
0.03906899318099022,0.02442835457623005,0.07082293927669525,0.034641072154045105,0.12285951524972916,0.04774178937077522,0.9611432241490045,0.823917806148529,43,shapley-mc,bprmf,ml1m
0.03923524543642998,0.0235897246748209,0.06500415503978729,0.031885433942079544,0.11238570511341095,0.04364906623959541,0.9444444444444444,0.8124107122421265,43,attention,bprmf,ml1m
0.03740648552775383,0.022842280566692352,0.06267663836479187,0.031029418110847473,0.10789692401885986,0.042310792952775955,0.9505459216441875,0.8176265358924866,43,heuristic-pop,bprmf,ml1m
0.03923524543642998,0.024468161165714264,0.07148794829845428,0.03477403521537781,0.12036575376987457,0.04707944393157959,0.9649967886962106,0.831389307975769,43,loo-marginal,bprmf,ml1m
0.03341645747423172,0.01984827220439911,0.05835411325097084,0.027958039194345474,0.10407315194606781,0.0393826998770237,0.9482980089916506,0.817863404750824,44,uniform,bprmf,ml1m
0.03491271659731865,0.020617663860321045,0.05818786472082138,0.028147300705313683,0.10473815351724625,0.039817310869693756,0.9434810533076429,0.8151364922523499,44,additive-pref,bprmf,ml1m
0.038071487098932266,0.0229641143232584,0.0669991672039032,0.032223284244537354,0.1170407310128212,0.04485088214278221,0.9547206165703276,0.8224812150001526,44,shapley-mc,bprmf,ml1m
0.03607647493481636,0.021287890151143074,0.059019118547439575,0.028656456619501114,0.10922693461179733,0.041208647191524506,0.9399486191393706,0.8109337687492371,44,attention,bprmf,ml1m
0.033915210515260696,0.02009350061416626,0.05835411325097084,0.028025047853589058,0.10473815351724625,0.039635270833969116,0.9441233140655106,0.81610506772995,44,heuristic-pop,bprmf,ml1m
0.038237739354372025,0.023399056866765022,0.06783042103052139,0.03288896381855011,0.11853699386119843,0.04562123864889145,0.960179833012203,0.8300224542617798,44,loo-marginal,bprmf,ml1m
0.03175394982099533,0.02007785253226757,0.05835411325097084,0.028687870129942894,0.10606816411018372,0.04065503180027008,0.9527938342967245,0.8182855248451233,45,uniform,bprmf,ml1m
0.032585203647613525,0.020655015483498573,0.05885286629199982,0.02915610373020172,0.10673316568136215,0.041160017251968384,0.9492614001284522,0.8154488205909729,45,additive-pref,bprmf,ml1m
0.03890274465084076,0.024612821638584137,0.06799667328596115,0.033918265253305435,0.12069825083017349,0.04702719673514366,0.9582530507385999,0.8228738307952881,45,shapley-mc,bprmf,ml1m
0.033915210515260696,0.02160513959825039,0.05968412384390831,0.029874593019485474,0.10989193618297577,0.04240309074521065,0.9438021836865768,0.8112761974334717,45,attention,bprmf,ml1m
0.032585203647613525,0.020578188821673393,0.05835411325097084,0.028919391334056854,0.10673316568136215,0.041066724807024,0.9505459216441875,0.816397488117218,45,heuristic-pop,bprmf,ml1m
0.03757273405790329,0.02370014414191246,0.06716541945934296,0.03317448869347572,0.11837074160575867,0.04597427695989609,0.964354527938343,0.8305460214614868,45,loo-marginal,bprmf,ml1m
0.03474646806716919,0.021314196288585663,0.06433915346860886,0.030834190547466278,0.11005818843841553,0.04233821481466293,0.9486191393705845,0.8187233805656433,46,uniform,bprmf,ml1m
0.0359102226793766,0.021949460729956627,0.06483790278434753,0.031214125454425812,0.11155444383621216,0.04299096390604973,0.945407835581246,0.8158329725265503,46,additive-pref,bprmf,ml1m
0.04006649926304817,0.023836035281419754,0.07597672194242477,0.0353504903614521,0.12302576750516891,0.04713357612490654,0.9521515735388568,0.8230876326560974,46,shapley-mc,bprmf,ml1m
0.03624272719025612,0.022152261808514595,0.06683291494846344,0.03196563199162483,0.11438071727752686,0.04384653642773628,0.9441233140655106,0.8117004036903381,46,attention,bprmf,ml1m
0.035577721893787384,0.021759474650025368,0.0641729012131691,0.030970202758908272,0.11122194677591324,0.042834654450416565,0.9470134874759152,0.8168838024139404,46,heuristic-pop,bprmf,ml1m
0.039401497691869736,0.02407212182879448,0.0746467188000679,0.03540663793683052,0.12152951210737228,0.047135986387729645,0.9582530507385999,0.8303167819976807,46,loo-marginal,bprmf,ml1m
