seed,base_feasible,provider_disparity_upper,provider_margin,fatigue_upper,fatigue_margin,relevance_margin,budget_margin,provider_failure,fatigue_failure
100,False,0.2825077160493827,-0.002507716049382658,0.4960611278023863,0.1539388721976137,0.08,0.35,True,False
101,True,0.2730555555555556,0.00694444444444442,0.4944967084940123,0.15550329150598774,0.08,0.35,False,False
102,False,0.3275308641975307,-0.047530864197530664,0.4948270399617142,0.15517296003828585,0.08,0.35,True,False
103,False,0.320138888888889,-0.040138888888888946,0.4918776106363303,0.15812238936366974,0.08,0.35,True,False
104,True,0.2582947530864197,0.021705246913580334,0.4946507405575042,0.15534925944249584,0.08,0.35,False,False
105,False,0.3064274691358024,-0.02642746913580235,0.4941228901778938,0.15587710982210623,0.08,0.35,True,False
106,False,0.2803935185185184,-0.0003935185185183765,0.4956840682775346,0.15431593172246544,0.08,0.35,True,False
107,True,0.256712962962963,0.02328703703703705,0.4969315936224742,0.15306840637752583,0.08,0.35,False,False
108,True,0.2543441358024692,0.025655864197530853,0.4933697074823135,0.1566302925176865,0.08,0.35,False,False
109,False,0.2912422839506172,-0.01124228395061716,0.4948411132373759,0.15515888676262413,0.08,0.35,True,False
110,False,0.2994753086419752,-0.019475308641975164,0.4959252525510908,0.1540747474489092,0.08,0.35,True,False
111,False,0.2990200617283951,-0.0190200617283951,0.4953324660114699,0.15466753398853011,0.08,0.35,True,False
112,False,0.3458796296296296,-0.06587962962962957,0.4940332263935236,0.15596677360647643,0.08,0.35,True,False
113,False,0.2974999999999999,-0.01749999999999985,0.4916162890887537,0.1583837109112463,0.08,0.35,True,False
114,False,0.2938966049382716,-0.01389660493827155,0.4952067333993367,0.15479326660066334,0.08,0.35,True,False
115,True,0.2646373456790123,0.015362654320987712,0.4960123426625533,0.15398765733744674,0.08,0.35,False,False
116,True,0.2535030864197531,0.026496913580246917,0.4956573173215562,0.1543426826784438,0.08,0.35,False,False
117,False,0.2892283950617282,-0.009228395061728178,0.4930088629443953,0.15699113705560475,0.08,0.35,True,False
118,False,0.3110185185185186,-0.031018518518518556,0.49476044652919,0.15523955347081003,0.08,0.35,True,False
119,False,0.3068827160493828,-0.02688271604938275,0.4929623911116499,0.1570376088883501,0.08,0.35,True,False
