epoch,updates,bpr_loss
1.0,557171.0,0.374079886762374
2.0,1114342.0,0.22737485011783215
3.0,1671513.0,0.19998162235688727
4.0,2228684.0,0.18519056187857183
5.0,2785855.0,0.17452087560924914
6.0,3343026.0,0.16640427648474318
7.0,3900197.0,0.16000292323051243
8.0,4457368.0,0.15527539116526962
9.0,5014539.0,0.1514881618252588
10.0,5571710.0,0.1484707508065285
11.0,6128881.0,0.143625933519744
12.0,6686052.0,0.13966719349589918
13.0,7243223.0,0.1374541943773217
14.0,7800394.0,0.13507384231331152
15.0,8357565.0,0.13231664949327435
16.0,8914736.0,0.13058602931576038
17.0,9471907.0,0.1288366483712415
18.0,10029078.0,0.12678366064205082
19.0,10586249.0,0.12508501063246247
20.0,11143420.0,0.12391887249749735
21.0,11700591.0,0.12165484413367893
22.0,12257762.0,0.12128158252720439
23.0,12814933.0,0.11896221964457714
24.0,13372104.0,0.1189208645202698
25.0,13929275.0,0.11623371098566493
26.0,14486446.0,0.11564517338341529
27.0,15043617.0,0.11371687187240757
28.0,15600788.0,0.11336191528980885
29.0,16157959.0,0.11224723260063643
30.0,16715130.0,0.11273336528091256
31.0,17272301.0,0.11112036654435166
32.0,17829472.0,0.10983156559117344
33.0,18386643.0,0.10916578879050158
34.0,18943814.0,0.10727052705003581
35.0,19500985.0,0.1076715738948332
36.0,20058156.0,0.1071399368960923
37.0,20615327.0,0.10647054802660548
38.0,21172498.0,0.10563463645243863
39.0,21729669.0,0.1045079737491564
40.0,22286840.0,0.10421283663412846
41.0,22844011.0,0.10404011419880281
42.0,23401182.0,0.10387308438983532
43.0,23958353.0,0.10218324833506838
44.0,24515524.0,0.10249850907183568
