epoch,updates,bpr_loss
1.0,563206.0,0.6531337136807649
2.0,1126412.0,0.4621028939019079
3.0,1689618.0,0.39090457213097723
4.0,2252824.0,0.3633614411388618
5.0,2816030.0,0.34797283402387647
6.0,3379236.0,0.33701305328935816
7.0,3942442.0,0.32658578174701636
8.0,4505648.0,0.32071684970371966
9.0,5068854.0,0.31491853361544403
10.0,5632060.0,0.3082724852838378
11.0,6195266.0,0.30373778550521185
12.0,6758472.0,0.2997797801010851
13.0,7321678.0,0.2948467588942984
14.0,7884884.0,0.29129324183947797
15.0,8448090.0,0.2874866525332133
16.0,9011296.0,0.2839888105357903
17.0,9574502.0,0.2813088535398677
18.0,10137708.0,0.2776895502339239
19.0,10700914.0,0.27536983291308087
20.0,11264120.0,0.27262604798095813
21.0,11827326.0,0.2707022851791935
22.0,12390532.0,0.267316735741021
23.0,12953738.0,0.2652897281923156
24.0,13516944.0,0.26390861730644666
25.0,14080150.0,0.261189142431038
26.0,14643356.0,0.2590161935574766
27.0,15206562.0,0.2577447236880012
28.0,15769768.0,0.25583552795907727
29.0,16332974.0,0.25420871722525445
30.0,16896180.0,0.2518225791661636
31.0,17459386.0,0.25064539714999823
32.0,18022592.0,0.24980815705181897
33.0,18585798.0,0.24736704558565997
34.0,19149004.0,0.2466625543176264
35.0,19712210.0,0.24513303110564966
36.0,20275416.0,0.24343763248644013
37.0,20838622.0,0.2430770701688269
38.0,21401828.0,0.2421183363682982
39.0,21965034.0,0.24040319155091824
40.0,22528240.0,0.23942954600721167
41.0,23091446.0,0.2390590627556262
42.0,23654652.0,0.2379784564609113
43.0,24217858.0,0.23688853715640912
44.0,24781064.0,0.23543255635793658
45.0,25344270.0,0.23539206018482428
46.0,25907476.0,0.23395895029323688
47.0,26470682.0,0.2332025237273479
48.0,27033888.0,0.2326756685540296
49.0,27597094.0,0.23244277873764868
50.0,28160300.0,0.23139567716398102
51.0,28723506.0,0.23093181027882342
52.0,29286712.0,0.23025883237520853
