metric,mean,std,min,max
recall_at_k,0.08800000000000001,0.0035355339059327346,0.082,0.091
ndcg_at_k,0.04384044592516704,0.0016670748947114203,0.0418432435229148,0.0464424462784155
delta_recall_at_k,0.03899999999999999,0.003535533905932735,0.033,0.041999999999999996
delta_ndcg_at_k,0.01832030303366294,0.0016670748947114203,0.016323100631410698,0.0209223033869114
