regime,intervention,true_phi,estimated_phi,absolute_error,sign_correct,covered_by_estimated_point_region
additive,repeat_cap,0.05,0.05,0.0,True,True
additive,explore_slot,0.06000000000000003,0.06000000000000003,0.0,True,True
additive,tail_slot,0.04999999999999999,0.04999999999999999,0.0,True,True
additive,diversify,0.039999999999999994,0.039999999999999994,0.0,True,True
additive,novel_slot,0.030000000000000016,0.030000000000000016,0.0,True,True
additive,provider_balance,0.05,0.05,0.0,True,True
complementary,repeat_cap,0.13500000000000004,0.13500000000000004,0.0,True,True
complementary,explore_slot,0.13500000000000004,0.13500000000000004,0.0,True,True
complementary,tail_slot,-0.02,-0.02,0.0,True,True
complementary,diversify,-0.02,-0.02,0.0,True,True
complementary,novel_slot,-0.02,-0.02,0.0,True,True
complementary,provider_balance,-0.02,-0.02,0.0,True,True
redundant,repeat_cap,-0.019999999999999993,-0.019999999999999993,0.0,True,True
redundant,explore_slot,-0.019999999999999993,-0.019999999999999993,0.0,True,True
redundant,tail_slot,0.07500000000000001,0.07500000000000001,0.0,True,True
redundant,diversify,-0.019999999999999993,-0.019999999999999993,0.0,True,True
redundant,novel_slot,0.07500000000000001,0.07500000000000001,0.0,True,True
redundant,provider_balance,-0.019999999999999993,-0.019999999999999993,0.0,True,True
antagonistic,repeat_cap,-0.015000000000000003,-0.015000000000000003,0.0,True,True
antagonistic,explore_slot,-0.02000000000000001,-0.02000000000000001,0.0,True,True
antagonistic,tail_slot,-0.015000000000000003,-0.015000000000000003,0.0,True,True
antagonistic,diversify,-0.039999999999999994,-0.039999999999999994,0.0,True,True
antagonistic,novel_slot,-0.015000000000000003,-0.015000000000000003,0.0,True,True
antagonistic,provider_balance,-0.015000000000000003,-0.015000000000000003,0.0,True,True
delayed_fatigue_short,repeat_cap,-0.03999999999999999,-0.03999999999999999,0.0,True,True
delayed_fatigue_short,explore_slot,-0.009999999999999995,-0.009999999999999995,0.0,True,True
delayed_fatigue_short,tail_slot,-0.009999999999999995,-0.009999999999999995,0.0,True,True
delayed_fatigue_short,diversify,-0.009999999999999995,-0.009999999999999995,0.0,True,True
delayed_fatigue_short,novel_slot,-0.009999999999999995,-0.009999999999999995,0.0,True,True
delayed_fatigue_short,provider_balance,-0.009999999999999995,-0.009999999999999995,0.0,True,True
delayed_fatigue_long,repeat_cap,0.19999999999999982,0.19999999999999982,0.0,True,True
delayed_fatigue_long,explore_slot,-0.009999999999999997,-0.009999999999999997,0.0,True,True
delayed_fatigue_long,tail_slot,-0.009999999999999997,-0.009999999999999997,0.0,True,True
delayed_fatigue_long,diversify,-0.009999999999999997,-0.009999999999999997,0.0,True,True
delayed_fatigue_long,novel_slot,-0.009999999999999997,-0.009999999999999997,0.0,True,True
delayed_fatigue_long,provider_balance,-0.009999999999999997,-0.009999999999999997,0.0,True,True
provider_repair_balancing,repeat_cap,2.6020852139652106e-18,2.6020852139652106e-18,0.0,True,True
provider_repair_balancing,explore_slot,-0.019999999999999993,-0.019999999999999993,0.0,True,True
provider_repair_balancing,tail_slot,-0.019999999999999993,-0.019999999999999993,0.0,True,True
provider_repair_balancing,diversify,-0.019999999999999993,-0.019999999999999993,0.0,True,True
provider_repair_balancing,novel_slot,-0.019999999999999993,-0.019999999999999993,0.0,True,True
provider_repair_balancing,provider_balance,0.019999999999999997,0.019999999999999997,0.0,True,True
provider_repair_repeat,repeat_cap,0.07499999999999994,0.07499999999999994,0.0,True,True
provider_repair_repeat,explore_slot,-0.019999999999999993,-0.019999999999999993,0.0,True,True
provider_repair_repeat,tail_slot,-0.019999999999999993,-0.019999999999999993,0.0,True,True
provider_repair_repeat,diversify,-0.019999999999999993,-0.019999999999999993,0.0,True,True
provider_repair_repeat,novel_slot,-0.019999999999999993,-0.019999999999999993,0.0,True,True
provider_repair_repeat,provider_balance,0.005000000000000006,0.005000000000000006,0.0,True,True
misspecified_ambiguity,repeat_cap,-0.009999999999999997,0.15999999999999995,0.16999999999999996,False,False
misspecified_ambiguity,explore_slot,0.18000000000000005,-0.009999999999999998,0.19000000000000006,False,False
misspecified_ambiguity,tail_slot,-0.009999999999999997,-0.009999999999999998,1.734723475976807e-18,True,True
misspecified_ambiguity,diversify,-0.009999999999999997,-0.009999999999999998,1.734723475976807e-18,True,True
misspecified_ambiguity,novel_slot,-0.009999999999999997,-0.009999999999999998,1.734723475976807e-18,True,True
misspecified_ambiguity,provider_balance,-0.009999999999999997,-0.009999999999999998,1.734723475976807e-18,True,True
