seed,model,selected_config_hash,evaluated_users,candidate_coverage,cold_test_items,recall_at_k,ndcg_at_k,hit_rate_at_k,best_validation_epoch,restored_checkpoint_epoch,pop_recall_at_k,pop_ndcg_at_k,delta_recall_at_k,delta_ndcg_at_k
42,torch_sasrec_final,7aa511398a7f,1000,0.999000999000999,1,0.145,0.07512226549545664,0.145,20.0,20.0,0.049,0.025520142891504102,0.09599999999999999,0.04960212260395254
43,torch_sasrec_final,7aa511398a7f,1000,0.999000999000999,1,0.146,0.07401824563623162,0.146,48.0,48.0,0.049,0.025520142891504102,0.09699999999999999,0.04849810274472752
44,torch_sasrec_final,7aa511398a7f,1000,0.999000999000999,1,0.14,0.07104889237335084,0.14,42.0,42.0,0.049,0.025520142891504102,0.09100000000000001,0.045528749481846736
45,torch_sasrec_final,7aa511398a7f,1000,0.999000999000999,1,0.147,0.07844591938890151,0.147,44.0,44.0,0.049,0.025520142891504102,0.09799999999999999,0.05292577649739741
46,torch_sasrec_final,7aa511398a7f,1000,0.999000999000999,1,0.148,0.0725471813555763,0.148,60.0,60.0,0.049,0.025520142891504102,0.09899999999999999,0.047027038464072204
