point_id,varied_parameter,varied_value,is_baseline,seed_count,selected_portfolio_mode,selected_portfolio_mode_frequency,selection_stability,repeat_cap_selection_rate,base_feasibility_rate,repair_rate,improvement_rate,feasible_selection_rate,lower_improvement_mean,lower_improvement_std,provider_disparity_upper_mean,fatigue_upper_mean,config_hash,recovered_seed_count,parameter_fatigue_strength,parameter_repeat_threshold,parameter_horizon,parameter_provider_threshold,parameter_provider_balance_strength,parameter_novelty_delayed_benefit,parameter_exploration_cost
baseline,baseline,,True,5,"('repeat_cap',)",5,1.0,1.0,0.2,0.8,0.2,1.0,0.29488167223532585,0.0024430841320536444,0.2250555555555555,0.0,1aada97a740787be,5,1.0,3,12,0.28,0.35,0.0,0.1
lhs-001,joint_lhs,,False,5,"('repeat_cap', 'tail_slot')",5,1.0,1.0,0.0,1.0,0.0,1.0,-0.033389216859843376,0.001099212115960119,0.17359586056644877,0.6377617293327329,069297af278b50e1,5,1.0767054846988626,1,17,0.32417850489719147,0.46834504485640793,0.06085918163882464,0.16087461323011945
lhs-002,joint_lhs,,False,5,"('repeat_cap',)",4,0.8,1.0,0.2,0.8,0.2,1.0,0.1644058388077923,0.022415206332988585,0.2293333333333333,0.2267244167314082,93eccbe1c389e91d,5,1.3679438490749865,2,10,0.26203555417311464,0.38688279378172813,0.07020840920062082,0.06465633356925618
lhs-003,joint_lhs,,False,5,"('repeat_cap', 'explore_slot')",4,0.8,1.0,0.2,0.8,0.2,1.0,0.045354133404373005,0.02266814301898606,0.217387037037037,0.4555953990612139,768e4245a7319c24,5,1.0477723672374784,1,10,0.25242925994820736,0.3278196611807248,0.05829812368051649,0.025139464610827278
lhs-004,joint_lhs,,False,5,"('repeat_cap',)",5,1.0,1.0,0.0,1.0,0.0,1.0,0.26890501821225454,0.002553276305972241,0.21158932461873636,0.0,ac4261f4e750d1db,5,0.7611712447073558,5,17,0.27781892513683953,0.4239060627437227,0.011494968215689787,0.07957314249867414
lhs-005,joint_lhs,,False,5,"('repeat_cap',)",4,0.8,1.0,0.2,0.8,0.2,1.0,0.17432134603355892,0.031244322927226904,0.23225925925925925,0.0,d7fa97922454eaf5,5,1.1293462760669273,3,9,0.2673166933264647,0.29729946938847135,0.031856730124560514,0.06705151264957251
lhs-006,joint_lhs,,False,5,"('repeat_cap',)",5,1.0,1.0,1.0,0.0,1.0,1.0,0.1930318730473775,0.00184444446853733,0.22887878787878785,0.2441535231713008,bc4f57cc3729dcd6,5,0.870286711507075,2,11,0.34042086600560323,0.7955917736417697,0.005958146789433329,0.03744576546763297
lhs-007,joint_lhs,,False,5,"('repeat_cap',)",5,1.0,1.0,1.0,0.0,1.0,1.0,0.0021507797818221654,0.0014485827684777848,0.23962268518518512,0.0,4c0afd79d7336391,5,1.2420461621899486,5,8,0.34814340248798503,0.7375056328674494,0.007592606300867563,0.10011892969008113
lhs-008,joint_lhs,,False,5,(),3,0.6,0.4,0.6,0.4,0.6,1.0,-0.016789804916102845,0.02300317237752705,0.24792592592592594,0.05097468702426226,69fd374f5f7be583,5,1.1848497571914287,4,6,0.25734256495643293,0.020907432007956098,0.0770121823452736,0.03388452232203537
lhs-009,joint_lhs,,False,5,"('repeat_cap', 'tail_slot')",2,0.4,1.0,0.0,1.0,0.0,1.0,0.19845506253545903,0.04407089132686982,0.18781986531986528,0.0,b9dedc54492fc8e2,5,1.094093993168786,3,11,0.21337928759464633,0.3486192436263067,0.018867154420998483,0.1889309178986963
lhs-010,joint_lhs,,False,5,"('repeat_cap', 'tail_slot')",3,0.6,1.0,0.0,1.0,0.0,1.0,0.16954449147723458,0.04309359889413263,0.16404567901234568,0.28720914857461755,cb4d90a70c6ccae5,5,0.8967804554867953,2,15,0.20217483190085245,0.5269259187237295,0.02226219953668277,0.13345871002630022
lhs-011,joint_lhs,,False,5,"('repeat_cap',)",5,1.0,1.0,0.8,0.2,0.8,1.0,0.12984972253352425,0.0020571064656690645,0.23962268518518512,0.18862678055404594,d72bf018716e8a8d,5,1.3353996090304954,2,8,0.3061999490856631,0.18826727665850077,0.01523098168186292,0.0806165710201692
lhs-012,joint_lhs,,False,5,"('provider_balance',)",3,0.6,0.0,0.2,0.8,0.2,1.0,-0.0892345634635174,0.05253295412427424,0.12173148148148143,0.0,b0d5895a30d60e97,5,1.3899774786498535,5,4,0.22462356872774344,0.6132510428054819,0.039027800231657736,0.17101464468590213
