players,budget,mae,max_error,sign_agreement,rank_correlation
8,32,0.0012896030303667467,0.0044617703716606436,1.0,1.0
8,128,0.0007580900065987323,0.001606667183189886,1.0,1.0
8,512,0.00027498327975117916,0.0008321524531266639,1.0,1.0
8,2048,0.0001987793496634931,0.00065230949812492,1.0,1.0
