seed,family,fraction,DeletionDelta_HitRate@20,DeletionDelta_NDCG@20,Insertion_HitRate@20,Insertion_NDCG@20
42,loo-marginal,0.05,0.000404476217227,0.001458586892113,0.06215450912714,0.0249323137104511
42,loo-marginal,0.1,0.000404476217227,0.0016667840536683,0.0620196834206581,0.0250136218965053
42,loo-marginal,0.2,0.0010786032071337,0.0024967128410935,0.0628286376595497,0.0257957521826028
42,loo-marginal,0.3,0.00094377779169,0.0030271995346993,0.0629634633660316,0.0263497214764356
42,uniform,0.05,0.0002696508017834,0.0014089469332247,0.0624241605401039,0.0248144976794719
42,uniform,0.1,0.0008089524344541,0.0015701095107942,0.0626938119530677,0.024894393980503
42,uniform,0.2,0.0010786032071337,0.0018898044945672,0.0630982890725135,0.025186663493514
42,uniform,0.3,0.0013482540380209,0.0026005653198808,0.0635027661919593,0.0257343184202909
42,random,0.05,0.000404476217227,0.0012723214458674,0.0622893348336219,0.0247024446725845
42,random,0.1,0.000404476217227,0.0014619468711316,0.0624241605401039,0.0249068886041641
42,random,0.2,0.0008089524344541,0.0018153943819925,0.0626938119530677,0.0252151768654584
42,random,0.3,0.0010786032071337,0.0023565210867673,0.0633679404854774,0.0256192293018102
43,loo-marginal,0.05,0.0005393016035668,0.0017003484535962,0.0663340985774993,0.0266029015183448
43,loo-marginal,0.1,0.000404476217227,0.0017812039004638,0.0663340985774993,0.0266264304518699
43,loo-marginal,0.2,0.0012134285643696,0.0027439044788479,0.0664689242839813,0.0272079929709434
43,loo-marginal,0.3,0.0012134285643696,0.0031638455111533,0.067008227109909,0.0279106479138135
43,uniform,0.05,0.0001348254008917,0.0015308127040043,0.0661992728710174,0.0262730829417705
43,uniform,0.1,0.0002696508017834,0.0016176420031115,0.0661992728710174,0.0262996107339859
43,uniform,0.2,0.0005393016035668,0.0018856541719287,0.0659296214580535,0.0263206716626882
43,uniform,0.3,0.00094377779169,0.002459397772327,0.067008227109909,0.0268833003938198
43,random,0.05,-0.000404476217227,0.0006527632358483,0.0653903186321258,0.0257045105099678
43,random,0.1,-0.000404476217227,0.0008243387565016,0.0655251443386077,0.0258313845843076
43,random,0.2,-0.0001348254008917,0.0014077717205509,0.0659296214580535,0.0263422783464193
43,random,0.3,0.0005393016035668,0.0022213477641344,0.0666037499904632,0.0269451737403869
44,loo-marginal,0.05,0.0,0.0016637137159705,0.0647161900997161,0.025854205712676
44,loo-marginal,0.1,0.0002696508017834,0.0018742502434179,0.0647161900997161,0.0259609259665012
44,loo-marginal,0.2,0.0013482540380209,0.0027982168830931,0.0660644471645355,0.0269315186887979
44,loo-marginal,0.3,0.0016179048689082,0.0034483969211578,0.0661992728710174,0.027563763782382
44,uniform,0.05,0.0,0.001378582092002,0.0652554929256439,0.0257133971899747
44,uniform,0.1,0.000404476217227,0.0015487506752833,0.0652554929256439,0.0257439911365509
44,uniform,0.2,0.0010786032071337,0.0019709344487637,0.0656599700450897,0.0260612405836582
44,uniform,0.3,0.0018875555833801,0.0027401791885495,0.0660644471645355,0.026597274467349
44,random,0.05,0.0001348254008917,0.0010001629125326,0.0648510158061981,0.0254581999033689
44,random,0.1,0.0001348254008917,0.0010547342244535,0.06498584151268,0.0255048535764217
44,random,0.2,0.0006741270190104,0.0015443130396306,0.0651206672191619,0.0257922895252704
44,random,0.3,0.00094377779169,0.0022597480565309,0.06498584151268,0.0261906050145626
45,loo-marginal,0.05,-0.0002696508017834,0.0014580343849956,0.0639072433114051,0.0255781263113021
45,loo-marginal,0.1,-0.0001348254008917,0.0016804278129711,0.0637724176049232,0.0256474334746599
45,loo-marginal,0.2,0.0001348254008917,0.0023680685553699,0.0639072433114051,0.0262533705681562
45,loo-marginal,0.3,0.0010786032071337,0.0032900404185056,0.0647161900997161,0.0271080285310745
45,uniform,0.05,-0.0001348254008917,0.0013120195362716,0.0641768872737884,0.0253376867622137
45,uniform,0.1,0.0001348254008917,0.0014319287147372,0.0641768872737884,0.0253631919622421
45,uniform,0.2,0.000404476217227,0.0017799894558265,0.0639072433114051,0.0255159400403499
45,uniform,0.3,0.0008089524344541,0.0024179201573133,0.0644465386867523,0.0260643325746059
45,random,0.05,0.0001348254008917,0.0011543713044375,0.0639072433114051,0.0254005007445812
45,random,0.1,0.0005393016035668,0.0012968307128176,0.0639072433114051,0.0254235006868839
45,random,0.2,0.0005393016035668,0.0017626265762373,0.0636375918984413,0.0258058849722147
45,random,0.3,0.0008089524344541,0.0025973932351917,0.0644465386867523,0.0263751354068517
46,loo-marginal,0.05,0.0001348254008917,0.001508867717348,0.0609410814940929,0.0246874820441007
46,loo-marginal,0.1,0.0001348254008917,0.0016978110652416,0.0610759072005748,0.024831211194396
46,loo-marginal,0.2,0.0005393016035668,0.0023396173492074,0.0612107329070568,0.0253582429140806
46,loo-marginal,0.3,0.00094377779169,0.0032134661450982,0.0609410814940929,0.0260051731020212
46,uniform,0.05,0.0001348254008917,0.0013702840078622,0.0612107329070568,0.0245420653373003
46,uniform,0.1,0.000404476217227,0.0014877564972266,0.0612107329070568,0.0245651490986347
46,uniform,0.2,0.0006741270190104,0.0017338747857138,0.0610759072005748,0.0247359182685613
46,uniform,0.3,0.0013482540380209,0.0024163594935089,0.0618848577141761,0.0252639390528202
46,random,0.05,-0.0008089524344541,0.00066468201112,0.0598624795675277,0.0240322407335042
46,random,0.1,-0.0006741270190104,0.0007833232521079,0.0601321272552013,0.0241663567721843
46,random,0.2,0.0006741270190104,0.0015784212155267,0.0612107329070568,0.0246681533753871
46,random,0.3,0.0006741270190104,0.0021245530806481,0.0610759072005748,0.0249871686100959
