,,,HitRate@5,HitRate@5,NDCG@5,NDCG@5,HitRate@10,HitRate@10,NDCG@10,NDCG@10,HitRate@20,HitRate@20,NDCG@20,NDCG@20,Coverage@20,Coverage@20,ILD@20,ILD@20
,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
dataset,backbone,family,,,,,,,,,,,,,,,,
amazon_books_2018_custom,lightgcn,additive-pref,0.03041661046445366,0.000839822310252923,0.019349111244082402,0.0003543885707745514,0.04516650959849352,0.0012283175768875508,0.0240888442844152,0.0004508785106679518,0.06619927138090129,0.002586399278982124,0.029375682771205842,0.0008079866014459725,0.23464493597206051,0.004654830871530266,0.9206773638725281,0.001089670792455155
amazon_books_2018_custom,lightgcn,attention,0.03044357560575004,0.0009014162697241243,0.019320314750075278,0.0003149443654698037,0.04473506808280938,0.0014056802171660235,0.023913192749023378,0.0003576788769878184,0.06619927138090129,0.002509708420883665,0.02930457219481466,0.0006848464664100237,0.23537446643383775,0.004527841486978849,0.9203120112419129,0.0010522953879043978
amazon_books_2018_custom,lightgcn,heuristic-pop,0.031036807596683442,0.0006700700169288383,0.01966806352138516,0.00035330743184649804,0.045463123917579604,0.0011456192597434933,0.02429954484105104,0.00041124122596223174,0.06652285307645792,0.0022793060835688194,0.0295939359813928,0.0007599917120818859,0.23411719053162594,0.004504568456353411,0.9207473635673523,0.0010662461980651798
amazon_books_2018_custom,lightgcn,loo-marginal,0.034353511780500355,0.0013189474189535387,0.0220091093331575,0.0005670793357470752,0.0498045034706592,0.000927262164243452,0.0269612923264503,0.0003717074488132483,0.07110691666603083,0.00265335337247514,0.03229257911443706,0.000806224555191207,0.23748544819557624,0.004228834373558494,0.9201714158058166,0.0010408967052080284
amazon_books_2018_custom,lightgcn,shapley-mc,0.03354455977678294,0.0011296398496545505,0.02149363756179806,0.00041359590577867656,0.04853714406490322,0.0014830795540053644,0.026320203766226718,0.00047665494041756546,0.0698395580053329,0.0022459655769060697,0.031665881350636436,0.0006802200149605802,0.23582460225067906,0.004038162289015389,0.9204472661018371,0.0010387637501072379
amazon_books_2018_custom,lightgcn,uniform,0.03055143579840654,0.00069797390134316,0.019423459097742977,0.0003304770957654424,0.045274368673562944,0.0011807807387232568,0.02415676750242704,0.00044973671081598,0.06633409708738323,0.002593418048170382,0.029453720152378036,0.0007958502777828212,0.23450523864959255,0.004289151862245909,0.9208150386810303,0.0010749825382518501
amazon_books_2018_custom,lightgcn,unreranked,0.030470540747046436,0.0009243162334138348,0.01939319036900992,0.0004134847618408033,0.04516650959849352,0.0011598128492921397,0.024116500839591,0.0004753061212407356,0.06652285307645792,0.0022492001776478615,0.029478638991713463,0.0007507265524426504,0.23604190919674037,0.004511582997303063,0.9205701470375061,0.0010633881637666376
amazon_books_2018_custom,lightgcn,valid-linear,0.03308615386486048,0.000855901844388669,0.021119499951601,0.0003320001098296734,0.04802480712532994,0.00188851845725082,0.025951214507222143,0.0005204694732810993,0.0702440351247787,0.0018754772223236208,0.031538505852222384,0.0005802159383225585,0.24745052386495922,0.004979006675299239,0.9210964679718018,0.0010378910503736909
amazon_books_2018_custom,lightgcn,valid-sim,0.03173789940774434,0.0007044540423390784,0.02031054645776742,0.00027208095394924583,0.046541728824377016,0.001372970180937357,0.025075212866067842,0.0004369407425223862,0.06752056032419201,0.002647869051836379,0.030353775620460478,0.0007273596269527017,0.2348001552192472,0.004036670430574882,0.9209048748016357,0.0010472515579897353
