seed,family,fraction,DeletionDelta_HitRate@20,DeletionDelta_NDCG@20,Insertion_HitRate@20,Insertion_NDCG@20
44,loo-marginal,0.05,-0.0001348254008917138,0.001524353283457458,0.06458136439323425,0.025767194107174873
44,loo-marginal,0.1,0.0001348254008917138,0.0017425098922103643,0.06458136439323425,0.025875860825181007
44,loo-marginal,0.2,0.0012134285643696785,0.002635880606248975,0.06592962145805359,0.026817819103598595
44,loo-marginal,0.3,0.0018875555833801627,0.003557222429662943,0.06646892428398132,0.02766798436641693
44,uniform,0.05,0.0008089524344541132,0.0011023733532056212,0.06565997004508972,0.025783341377973557
44,uniform,0.1,0.0010786032071337104,0.0012220657663419843,0.06565997004508972,0.025811942294239998
44,uniform,0.2,0.0012134285643696785,0.0015173674328252673,0.06565997004508972,0.025848286226391792
44,uniform,0.3,0.0021572064142674208,0.0022817712742835283,0.06606444716453552,0.026396503672003746
44,random,0.05,0.0,0.001113874139264226,0.06512066721916199,0.025542978197336197
44,random,0.1,0.0005393016035668552,0.0013122862437739968,0.06525549292564392,0.02565832808613777
44,random,0.2,0.0009437777916900814,0.0019458199385553598,0.06539031863212585,0.02619098499417305
44,random,0.3,0.0012134285643696785,0.0023755324073135853,0.06539031863212585,0.026467429473996162
