dataset,model,evaluation_mode,utility,analysis_role,condition,method,method_label,metric,mean,ci95_low,ci95_high,n_users,n_seeds,missing_users
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,lime,LIME,faithfulness_alignment,0.9155036867355051,0.9070089461107165,0.9236778568246169,999,5,1
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,lime,LIME,actionability_gap,-0.2059618091591085,-0.22614398156496773,-0.18626002708658063,999,5,1
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,lime,LIME,signed_alignment,0.9270166710937205,0.9168440792528106,0.9363167093963622,999,5,1
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,lime,LIME,signed_alignment_ndcg,0.7678013232932032,0.7116086715679633,0.819996023369369,59,5,941
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,lime,LIME,direction_accuracy,0.8722650420810035,0.8626885710330198,0.8814558525938815,999,5,1
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,lime,LIME,direction_accuracy_ndcg,0.9426553672316385,0.902542372881356,0.9779661016949153,59,5,941
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,lime,LIME,top1_precision,0.5044,0.47479999999999994,0.5337999999999999,1000,5,0
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,lime,LIME,top3_precision,0.3508666666666666,0.3280666666666667,0.3736,1000,5,0
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,lime,LIME,top5_precision,0.26804666666666666,0.25032991666666665,0.28656341666666674,1000,5,0
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,lime,LIME,joint_effect_primary,0.0015415765520244485,0.0013983270212231185,0.001689059567239397,1000,5,0
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,lime,LIME,joint_effect_ndcg,0.013916308948493718,0.009675132262056142,0.018555525619985743,1000,5,0
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,lime,LIME,joint_effect_target_margin,0.0015415765520244485,0.0013968313641453752,0.0016917423625855594,1000,5,0
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,lime,LIME,intervention_success,0.5694000000000001,0.5392,0.5992000000000001,1000,5,0
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,lime,LIME,abstention,0.43019999999999997,0.4002,0.4612,1000,5,0
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,lime,LIME,joint_regret_primary,0.0005682357911806313,0.0005069903075548049,0.0006321085435505895,1000,5,0
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,lime,LIME,normalized_regret_primary,0.42659790718567436,0.3968722762933495,0.4561848625957795,883,5,117
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,lime,LIME,joint_regret_ndcg,0.003256942505481925,0.001527321908889896,0.005257351273689938,1000,5,0
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,lime,LIME,normalized_regret_ndcg,0.16478082567517768,0.08287828734021067,0.2559771816838844,54,5,946
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,lime,LIME,intervention_success_ndcg,0.048,0.035,0.061,1000,5,0
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,lime,LIME,aia_null_mean,-0.00023557837761097923,-0.0007215039539543109,0.0002375383402664922,999,5,1
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,lime,LIME,aia_null_p95,0.7693077668745676,0.7569361840639205,0.7814804588640539,999,5,1
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,lime,LIME,aia_permutation_p,0.1651047651047651,0.15327966827966827,0.17753719253719252,999,5,1
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,loo,Leave-one-out,aia,0.7779168688186032,0.7569653332825172,0.7982779498013247,999,5,1
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,loo,Leave-one-out,aia_ndcg,0.3082665133201282,0.15736658735474024,0.45195782824968883,59,5,941
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,loo,Leave-one-out,faithfulness_alignment,1.0,1.0,1.0,999,5,1
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,loo,Leave-one-out,actionability_gap,-0.2220831311813968,-0.24246933925456501,-0.20149761560804655,999,5,1
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,loo,Leave-one-out,signed_alignment,0.9486132558436162,0.9381596851872486,0.9581046822292683,999,5,1
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,loo,Leave-one-out,signed_alignment_ndcg,0.7760957805777119,0.7210090014695242,0.8274145632378197,59,5,941
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,loo,Leave-one-out,direction_accuracy,0.891034348043292,0.8820498242314119,0.9000394177301212,999,5,1
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,loo,Leave-one-out,direction_accuracy_ndcg,0.9443502824858757,0.9042372881355932,0.9796610169491525,59,5,941
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,loo,Leave-one-out,top1_precision,0.527,0.496,0.558,1000,5,0
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,loo,Leave-one-out,top3_precision,0.386,0.362,0.4103333333333333,1000,5,0
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,loo,Leave-one-out,top5_precision,0.2967166666666667,0.27731625,0.3159666666666667,1000,5,0
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,loo,Leave-one-out,joint_effect_primary,0.0015582602565006453,0.0014185744169315814,0.001706624042368865,1000,5,0
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,loo,Leave-one-out,joint_effect_ndcg,0.013855063997108346,0.00963937676182285,0.018420833500755504,1000,5,0
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,loo,Leave-one-out,joint_effect_target_margin,0.0015582602565006453,0.0014130623893708028,0.0017064201262144327,1000,5,0
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,loo,Leave-one-out,intervention_success,0.591,0.562,0.622,1000,5,0
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,loo,Leave-one-out,abstention,0.409,0.379,0.44,1000,5,0
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,loo,Leave-one-out,joint_regret_primary,0.0005515520867044341,0.000490374413450794,0.0006163569081865845,1000,5,0
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,loo,Leave-one-out,normalized_regret_primary,0.4066031730759317,0.3763563534174721,0.4361112181485149,883,5,117
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,loo,Leave-one-out,joint_regret_ndcg,0.0033181874568672977,0.0015610596479284026,0.005393741951755097,1000,5,0
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,loo,Leave-one-out,normalized_regret_ndcg,0.16805346046937622,0.08471777836452357,0.263866855853249,54,5,946
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,loo,Leave-one-out,intervention_success_ndcg,0.048,0.035,0.062,1000,5,0
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,loo,Leave-one-out,aia_null_mean,-0.00027434596253067935,-0.0007805063683707287,0.0002214881284500478,999,5,1
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,loo,Leave-one-out,aia_null_p95,0.7682935571450514,0.7558540765736427,0.7807722614822502,999,5,1
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,loo,Leave-one-out,aia_permutation_p,0.14842734842734845,0.13648136648136647,0.1606022506022506,999,5,1
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,random,Random control,aia,-0.006667351114250136,-0.021796350558622116,0.00846456185547163,999,5,1
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,random,Random control,aia_ndcg,-0.015715526010135233,-0.07884815969345647,0.04716631189471636,59,5,941
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,random,Random control,faithfulness_alignment,-0.003188392404410611,-0.017985048545910463,0.011455255384521088,999,5,1
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,random,Random control,actionability_gap,-0.0034789587098395243,-0.013191024905752346,0.006074102832963754,999,5,1
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,random,Random control,signed_alignment,-0.004163125213069891,-0.0184810428465309,0.009728476793129538,999,5,1
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,random,Random control,signed_alignment_ndcg,-0.029373263792184832,-0.0793795813053126,0.020511397072277577,59,5,941
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,random,Random control,direction_accuracy,0.49191883639682055,0.4856855358468061,0.49828572653121156,999,5,1
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,random,Random control,direction_accuracy_ndcg,0.46758676351896683,0.43231355932203386,0.5018240516545601,59,5,941
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,random,Random control,top1_precision,0.1552,0.1442,0.16640000000000005,1000,5,0
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,random,Random control,top3_precision,0.2030666666666667,0.19393333333333335,0.21220166666666668,1000,5,0
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,random,Random control,top5_precision,0.18961,0.18152291666666667,0.19786358333333334,1000,5,0
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,random,Random control,joint_effect_primary,-0.0011111351467066822,-0.0012048758175440292,-0.00101420178284024,1000,5,0
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,random,Random control,joint_effect_ndcg,0.0005828234899498273,-0.0013697611648626317,0.002475949802203122,1000,5,0
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,random,Random control,joint_effect_target_margin,-0.0011111351467066822,-0.0012097753798217539,-0.0010146320342889709,1000,5,0
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,random,Random control,intervention_success,0.28620000000000007,0.27040000000000003,0.3022,1000,5,0
