dataset,model,evaluation_mode,utility,analysis_role,condition,method,method_label,metric,mean,ci95_low,ci95_high,n_users,n_seeds,missing_users,condition_order,condition_label,method_order
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,candidates100,random,Random control,actionability_gap,0.0015356877198567198,-0.0019071993494600861,0.005937074496835172,250,5,0,4,MovieLens 100 candidates,4
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,candidates500,shapley_mc,Monte Carlo Shapley,actionability_gap,0.032090282433393624,0.023917471145169567,0.0415330485612854,250,5,0,5,MovieLens 500 candidates,0
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,candidates500,lime,LIME,actionability_gap,-0.022600600832929363,-0.028736564943159505,-0.017302758196107385,250,5,0,5,MovieLens 500 candidates,1
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,candidates500,loo,Leave-one-out,actionability_gap,-0.029010769938371372,-0.03498878807614086,-0.023683147837263562,250,5,0,5,MovieLens 500 candidates,2
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,candidates500,greedy_cf,Greedy counterfactual,actionability_gap,0.004923788570919518,-0.0039099236644298905,0.013759502432568621,250,5,0,5,MovieLens 500 candidates,3
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,candidates500,random,Random control,actionability_gap,0.0022096737113126413,-0.0007990625069469527,0.005219403214130701,250,5,0,5,MovieLens 500 candidates,4
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,nmax50,shapley_mc,Monte Carlo Shapley,actionability_gap,0.008226706062837374,0.002221257935067989,0.015049770083647817,250,5,0,6,MovieLens n_max=50,0
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,nmax50,lime,LIME,actionability_gap,-0.010457291247604639,-0.016423295515188063,-0.00555070711728036,250,5,0,6,MovieLens n_max=50,1
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,nmax50,loo,Leave-one-out,actionability_gap,-0.013339833123974798,-0.019353413058081585,-0.00877311201528565,250,5,0,6,MovieLens n_max=50,2
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,nmax50,greedy_cf,Greedy counterfactual,actionability_gap,-0.005814439671835481,-0.01177534055901277,-0.0008034319123829553,250,5,0,6,MovieLens n_max=50,3
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,nmax50,random,Random control,actionability_gap,0.0003063131228191081,-0.0035565215841221777,0.004791276156895008,250,5,0,6,MovieLens n_max=50,4
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,nmax100,shapley_mc,Monte Carlo Shapley,actionability_gap,0.006397973537846324,0.0005519392519264905,0.013197323579824368,250,5,0,7,MovieLens n_max=100,0
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,nmax100,lime,LIME,actionability_gap,-0.009712438302469928,-0.015718181295767422,-0.004929687922533472,250,5,0,7,MovieLens n_max=100,1
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,nmax100,loo,Leave-one-out,actionability_gap,-0.01276921151291266,-0.01859916277844574,-0.008244961483630872,250,5,0,7,MovieLens n_max=100,2
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,nmax100,greedy_cf,Greedy counterfactual,actionability_gap,-0.006722673813242874,-0.012512398326985554,-0.001770660049332453,250,5,0,7,MovieLens n_max=100,3
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,nmax100,random,Random control,actionability_gap,0.0004771834268886442,-0.003398332264151273,0.004896900017215099,250,5,0,7,MovieLens n_max=100,4
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,rho025,shapley_mc,Monte Carlo Shapley,actionability_gap,0.006842900709539412,0.003998346078024316,0.009805238432185398,250,5,0,8,MovieLens rho=0.25,0
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,rho025,lime,LIME,actionability_gap,-0.005284467712929342,-0.007808681415578198,-0.0030443754856562667,250,5,0,8,MovieLens rho=0.25,1
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,rho025,loo,Leave-one-out,actionability_gap,-0.0077784589962248685,-0.00988271406787372,-0.006065538332378037,250,5,0,8,MovieLens rho=0.25,2
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,rho025,greedy_cf,Greedy counterfactual,actionability_gap,-0.0013880711360411135,-0.004361557568611113,0.0014584204951709385,250,5,0,8,MovieLens rho=0.25,3
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,rho025,random,Random control,actionability_gap,-0.0012064124514148044,-0.003372652611631226,0.0007016680149035214,250,5,0,8,MovieLens rho=0.25,4
