family,HitRate@5,NDCG@5,HitRate@10,NDCG@10,HitRate@20,NDCG@20,Coverage@20,ILD@20
uniform,0.04369663447141647,0.02772040292620659,0.07132094353437424,0.036716632544994354,0.11602210253477097,0.04785505309700966,0.5240477106579453,0.691808819770813
additive-pref,0.0441988967359066,0.027814123779535294,0.07132094353437424,0.03662967309355736,0.11551983654499054,0.047663021832704544,0.5236629472874182,0.6913716793060303
attention,0.04570567607879639,0.028550557792186737,0.07132094353437424,0.03685108572244644,0.11702661961317062,0.048246994614601135,0.5221238938053098,0.6900927424430847
heuristic-pop,0.04369663447141647,0.027619821950793266,0.07081868499517441,0.036466583609580994,0.11551983654499054,0.047634199261665344,0.5221238938053098,0.6914104223251343
shapley-mc,0.04470115527510643,0.027846869081258774,0.0688096433877945,0.035585418343544006,0.11803113669157028,0.047918129712343216,0.5617545209696037,0.7023376226425171
