permutations,mean_rank_correlation_to_reference,std_rank_correlation_to_reference,mean_efficiency_error
25,0.944141496068431,0.020081271873414807,1.7438307742256853e-18
50,0.9656961863214184,0.014560741352230606,2.9269121848418676e-18
100,0.9780995724605631,0.009334566463473722,4.9060148304969076e-18
250,0.9897105197176405,0.00503644764027032,9.928039293449763e-18
