family,NDCG@20_mean,HitRate@20_mean,Coverage@20_mean,ILD@20_mean,delta_NDCG_vs_uniform,delta_NDCG_vs_loo,attribution_seconds,delta_NDCG_vs_uniform_per_attribution_hour
additive-pref,0.04610251933336253,0.11750623434782023,0.6113680154142582,0.7201056241989136,9.57779586315266e-05,-0.003652706742286675,0.0,0.3448006510734958
attention,0.04648277685046192,0.11800498813390725,0.605009633911368,0.7170321822166443,0.0004760354757309196,-0.003272449225187282,0.0,1.7137277126313106
heuristic-pop,0.046123218536376895,0.11753948330879208,0.6104046242774567,0.7205054044723511,0.00011647716164589483,-0.003632007539272307,0.0,0.4193177819252214
loo-marginal,0.0497552260756492,0.12518703639507286,0.641233140655106,0.7349635839462281,0.003748484700918202,0.0,2010.4630856513977,0.00671215752212294
shapley-mc,0.04922313019633292,0.12555278539657588,0.6337186897880539,0.7278227210044861,0.003216388821601919,-0.0005320958793162828,31657.683027267456,0.00036575638677643153
uniform,0.046006741374731,0.11737323254346843,0.6145150931278099,0.7217573165893555,0.0,-0.003748484700918202,0.0,0.0
