seed,total_seconds,stage_loo_seconds,stage_rerank_eval_sensitivity_seconds,stage_shapley_seconds,stage_train_and_score_seconds
42,9533.472729206085,405.054260969162,111.99178004264832,6675.763056755066,2170.238594055176
43,11025.191776037216,386.82258796691895,105.02420783042908,8225.008661031723,2125.6776230335236
44,9682.402151107788,650.6629500389099,110.10548996925354,6641.086077928543,1712.9801359176636
45,7574.64298915863,387.2400150299072,105.90881299972534,5463.109098911285,1441.9831738471985
46,9119.87931895256,403.39968705177307,109.30790495872498,6188.035451889038,2241.9521169662476
