contrast,metric,treatment,control,mean_diff_conditional_user,ci95_low,ci95_high,median_user_diff,prop_users_improved,prop_users_harmed,prop_users_unchanged,cohen_dz_user_conditional_descriptive,bootstrap_p_descriptive,bootstrap_p_report,n_seeds,n_user_diffs,holm_reject_0.05,holm_threshold
shapley-mc_vs_uniform_NDCG@20,NDCG@20,shapley-mc,uniform,0.0032163876162926014,0.0027070957379467997,0.003715261437564422,0.0,0.0601163757273483,0.029193682460515378,0.9106899418121364,0.07160611116431273,0.0,< 0.0005,5,30075,True,0.00625
shapley-mc_vs_uniform_HitRate@20,HitRate@20,shapley-mc,uniform,0.008179551122194513,0.006517040731504572,0.009875311720698254,0.0,0.01516209476309227,0.006982543640897756,0.9778553615960099,0.05504843908638323,0.0,< 0.0005,5,30075,True,0.0071428571428571435
shapley-mc_vs_additive-pref_NDCG@20,NDCG@20,shapley-mc,additive-pref,0.003120610582211139,0.0026055356984621783,0.003627831721995012,0.0,0.05945137157107232,0.029260182876142977,0.9112884455527847,0.06931415236450844,0.0,< 0.0005,5,30075,True,0.008333333333333333
shapley-mc_vs_additive-pref_HitRate@20,HitRate@20,shapley-mc,additive-pref,0.008046550290939317,0.006384039900249376,0.00974231088944306,0.0,0.015062344139650873,0.007015793848711554,0.9779218620116376,0.054232426422172644,0.0,< 0.0005,5,30075,True,0.01
shapley-mc_vs_attention_NDCG@20,NDCG@20,shapley-mc,attention,0.002740353459351621,0.0022073298249044053,0.0032714494026849545,0.0,0.05891936824605154,0.031088944305901912,0.9099916874480466,0.05817230925485032,0.0,< 0.0005,5,30075,True,0.0125
shapley-mc_vs_attention_HitRate@20,HitRate@20,shapley-mc,attention,0.007547797173732336,0.005785536159600998,0.009211138819617617,0.0,0.01542809642560266,0.007880299251870324,0.976691604322527,0.049498062561049154,0.0,< 0.0005,5,30075,True,0.016666666666666666
shapley-mc_vs_loo-marginal_NDCG@20,NDCG@20,shapley-mc,loo-marginal,-0.0005320968532003325,-0.0009634897822028262,-0.00011910710797173733,0.0,0.03188694929343308,0.04967581047381546,0.9184372402327514,-0.01429651706931052,0.008,0.008,5,30075,True,0.025
shapley-mc_vs_loo-marginal_HitRate@20,HitRate@20,shapley-mc,loo-marginal,0.0003657522859517872,-0.0008985868661679136,0.0016957605985037402,0.0,0.006816292601828761,0.006450540315876974,0.9867331670822943,0.0031753996208450405,0.575,0.575,5,30075,False,0.05
