base_policy,mode,status,base_feasible,selected_mask,selected_portfolio,lower_improvement,upper_improvement,cost,provider_disparity_upper,fatigue_upper,relevance_delta_lower,robust_phi,grand_coalition_robust_value
history_aware_handcrafted,repair,repair_selected,False,1,repeat_cap,0.2985139280765191,0.3130691025188376,0.05,0.22587191358024694,0.0,-0.04413677084635825,"{""repeat_cap"": 0.27424751667751984, ""explore_slot"": -0.08740857752932682, ""tail_slot"": -0.06792414027035494, ""diversify"": -0.05980678837434343, ""novel_slot"": -0.08422328836042231, ""provider_balance"": -0.11918419961486992}",-0.14429947747179767
learned_bpr_logged_feedback,repair,repair_selected,False,1,repeat_cap,0.33537840101970323,0.3697358824873186,0.05,0.18180555555555555,0.0,-0.050223375686998306,"{""repeat_cap"": 0.3170547573269273, ""explore_slot"": -0.08641762371738931, ""tail_slot"": -0.07050739114255174, ""diversify"": -0.05923246800385072, ""novel_slot"": -0.09121021928430723, ""provider_balance"": -0.11949918271599863}",-0.1098121275371704
