HitRate@5,NDCG@5,HitRate@10,NDCG@10,HitRate@20,NDCG@20,Coverage@20,ILD@20,seed,family,backbone,dataset
0.0354114696383476,0.0217710305005311,0.061346635222435,0.0300250966101884,0.1064006686210632,0.0413039810955524,0.7305716120745023,0.7635254859924316,42,unreranked,ngcf,ml1m
0.0369077324867248,0.0235752500593662,0.0653366595506668,0.0326837338507175,0.1107231900095939,0.0441243387758731,0.6766217084136159,0.7453230619430542,42,uniform,ngcf,ml1m
0.0374064855277538,0.0239781606942415,0.0655029118061065,0.0329818315804004,0.1105569377541542,0.0443441867828369,0.6756583172768144,0.7444337010383606,42,additive-pref,ngcf,ml1m
0.037738986313343,0.0244752448052167,0.0671654194593429,0.0339205078780651,0.1110556945204734,0.0449526123702526,0.6759794476557482,0.7417875528335571,42,attention,ngcf,ml1m
0.0375727340579032,0.0237930100411176,0.0656691640615463,0.0327799692749977,0.111388199031353,0.0442839674651622,0.6753371868978806,0.7447982430458069,42,heuristic-pop,ngcf,ml1m
0.0422277636826038,0.0265128854662179,0.0728179514408111,0.0362589582800865,0.1253532767295837,0.049442782998085,0.7501605651894669,0.7671686410903931,42,loo-marginal,ngcf,ml1m
0.0375727340579032,0.0237442534416914,0.0658354088664054,0.0327853374183177,0.1130507066845893,0.0446846038103103,0.6766217084136159,0.7458503842353821,42,valid-sim,ngcf,ml1m
0.0397339984774589,0.0246564857661724,0.0694929361343383,0.0340088866651058,0.1203657537698745,0.0467652268707752,0.7430956968529223,0.7638858556747437,42,valid-linear,ngcf,ml1m
0.0385702401399612,0.0241797640919685,0.0681629255414009,0.033682145178318,0.1220282614231109,0.0471704863011837,0.7177263969171483,0.7540780901908875,42,shapley-mc,ngcf,ml1m
0.0345802158117294,0.0216777212917804,0.0606816299259662,0.0300614815205335,0.104904405772686,0.0411352291703224,0.7119460500963392,0.7646304368972778,43,unreranked,ngcf,ml1m
0.0352452211081981,0.0227647796273231,0.0620116367936134,0.0313801281154155,0.1123857051134109,0.0440082140266895,0.661849710982659,0.7456635236740112,43,uniform,ngcf,ml1m
0.0352452211081981,0.0229489430785179,0.0615128837525844,0.0314250700175762,0.1133832111954689,0.0444496013224124,0.6605651894669236,0.7447101473808289,43,additive-pref,ngcf,ml1m
0.0360764749348163,0.023278696462512,0.0630091428756713,0.0318873263895511,0.1138819605112075,0.0446851626038551,0.661849710982659,0.7422614693641663,43,attention,ngcf,ml1m
0.0354114696383476,0.0229040365666151,0.0616791360080242,0.0313670262694358,0.1128844544291496,0.0442204102873802,0.6615285806037251,0.7451639175415039,43,heuristic-pop,ngcf,ml1m
0.042560264468193,0.0266416408121585,0.0711554437875747,0.0357671529054641,0.1216957569122314,0.0484161339700222,0.7315350032113038,0.7682176232337952,43,loo-marginal,ngcf,ml1m
0.0357439741492271,0.023241763934493,0.0630091428756713,0.0320335328578949,0.1140482127666473,0.0447950363159179,0.661849710982659,0.7461728453636169,43,valid-sim,ngcf,ml1m
0.0385702401399612,0.0239934455603361,0.0650041550397872,0.0324439667165279,0.1173732355237007,0.0455145202577114,0.7215799614643545,0.764627993106842,43,valid-linear,ngcf,ml1m
0.0397339984774589,0.0254607424139976,0.066167913377285,0.0339838080108165,0.1197007447481155,0.0474232211709022,0.7074502247912653,0.7544937133789062,43,shapley-mc,ngcf,ml1m
0.0352452211081981,0.0222042761743068,0.0640066489577293,0.0313665084540843,0.104904405772686,0.0415969789028167,0.7068079640333975,0.760654866695404,44,unreranked,ngcf,ml1m
0.038237739354372,0.0242789778858423,0.0665004178881645,0.033407799899578,0.1133832111954689,0.0451620221138,0.6586384071933205,0.7413646578788757,44,uniform,ngcf,ml1m
0.0385702401399612,0.0245478544384241,0.0668329149484634,0.0336823761463165,0.1138819605112075,0.0454731583595275,0.6579961464354528,0.740483283996582,44,additive-pref,ngcf,ml1m
0.0402327515184879,0.0254180114716291,0.0679966732859611,0.0343564450740814,0.1142144650220871,0.0459403842687606,0.6592806679511882,0.7382677793502808,44,attention,ngcf,ml1m
0.038237739354372,0.0243974588811397,0.0666666701436042,0.0335792042315006,0.1138819605112075,0.0454140938818454,0.6583172768143867,0.7408662438392639,44,heuristic-pop,ngcf,ml1m
0.0438902750611305,0.0275180041790008,0.0738154649734497,0.0370420664548873,0.1206982508301734,0.0488097220659256,0.7254335260115607,0.7648722529411316,44,loo-marginal,ngcf,ml1m
0.0397339984774589,0.0250523090362548,0.0668329149484634,0.0337730385363101,0.1150457188487052,0.0458540692925453,0.6579961464354528,0.7417910099029541,44,valid-sim,ngcf,ml1m
0.0380714870989322,0.0243670921772718,0.0718204453587532,0.0352316908538341,0.1185369938611984,0.0468982458114624,0.7113037893384714,0.7600867748260498,44,valid-linear,ngcf,ml1m
0.0390689931809902,0.0253448914736509,0.0711554437875747,0.0356897488236427,0.1183707416057586,0.0475232154130935,0.6991008349389852,0.7505421042442322,44,shapley-mc,ngcf,ml1m
0.0340814627707004,0.020794877782464,0.0605153776705265,0.0292701926082372,0.1067331656813621,0.0408000573515892,0.7238278741168914,0.7618491053581238,45,unreranked,ngcf,ml1m
0.0375727340579032,0.0229416619986295,0.0648379027843475,0.0316860899329185,0.110390692949295,0.0431762710213661,0.6824020552344252,0.7416045665740967,45,uniform,ngcf,ml1m
0.0379052385687828,0.0231887679547071,0.0648379027843475,0.0318134278059005,0.111388199031353,0.0435540378093719,0.6811175337186898,0.7407222390174866,45,additive-pref,ngcf,ml1m
0.038736492395401,0.0235373321920633,0.0666666701436042,0.0324906297028064,0.1117206960916519,0.0438256375491619,0.680796403339756,0.738548219203949,45,attention,ngcf,ml1m
0.037738986313343,0.0230225175619125,0.0648379027843475,0.031716663390398,0.1110556945204734,0.0433709286153316,0.6820809248554913,0.7411153316497803,45,heuristic-pop,ngcf,ml1m
0.0412302576005458,0.0257433876395225,0.0731504559516906,0.0360110625624656,0.1241895258426666,0.0488119013607502,0.7421323057161208,0.7664382457733154,45,loo-marginal,ngcf,ml1m
0.0384039916098117,0.0235360469669103,0.0669991672039032,0.0326543860137462,0.111388199031353,0.0438002273440361,0.6824020552344252,0.7419719099998474,45,valid-sim,ngcf,ml1m
0.0379052385687828,0.0234113615006208,0.0678304210305213,0.0329341404139995,0.1192019954323768,0.0458194725215435,0.7286448298008992,0.7612069845199585,45,valid-linear,ngcf,ml1m
0.0402327515184879,0.0249853990972042,0.0713216960430145,0.0348693504929542,0.1193682476878166,0.0469217896461486,0.7154784842646115,0.7513212561607361,45,shapley-mc,ngcf,ml1m
0.0362427271902561,0.0229041241109371,0.0600166246294975,0.0305458642542362,0.1062344163656234,0.0420396998524665,0.7077713551701991,0.7613875269889832,46,unreranked,ngcf,ml1m
