HitRate@5,NDCG@5,HitRate@10,NDCG@10,HitRate@20,NDCG@20,Coverage@20,ILD@20,ValNDCG@20,ValHitRate@20,seed,family,lambda_attr,backbone,dataset
0.03154914453625679,0.020267553627490997,0.045436158776283264,0.024755964055657387,0.06579479575157166,0.02988806925714016,0.2294140473418704,0.9204190969467163,0.048001088201999664,0.0935688316822052,46,uniform,0.0,lightgcn,amazon_books_2018_custom
0.03141431882977486,0.020230578258633614,0.045166511088609695,0.02469698339700699,0.06606444716453552,0.029958048835396767,0.22832751261156384,0.9205681085586548,0.04824087396264076,0.09424295276403427,46,uniform,0.05,lightgcn,amazon_books_2018_custom
0.03114466741681099,0.020161569118499756,0.0455709844827652,0.024845300242304802,0.06646892428398132,0.03008301556110382,0.2275514163756306,0.9207032918930054,0.048183657228946686,0.09383847564458847,46,uniform,0.1,lightgcn,amazon_books_2018_custom
0.030740192160010338,0.019887682050466537,0.0455709844827652,0.024727750569581985,0.06714305281639099,0.030118722468614578,0.22654249126891735,0.9209509491920471,0.048235613852739334,0.09383847564458847,46,uniform,0.2,lightgcn,amazon_books_2018_custom
0.031009841710329056,0.020033525303006172,0.045436158776283264,0.024729976430535316,0.06727787852287292,0.030175387859344482,0.223360496701591,0.9212543368339539,0.04830295220017433,0.0939733013510704,46,uniform,0.4,lightgcn,amazon_books_2018_custom
0.03154914453625679,0.020267553627490997,0.045436158776283264,0.024755964055657387,0.06579479575157166,0.02988806925714016,0.2294140473418704,0.9204190969467163,0.048001088201999664,0.0935688316822052,46,additive-pref,0.0,lightgcn,amazon_books_2018_custom
0.031683970242738724,0.020348308607935905,0.04489685967564583,0.024632124230265617,0.06552514433860779,0.029836764559149742,0.22801707411719052,0.9205184578895569,0.047982875257730484,0.09383847564458847,46,additive-pref,0.05,lightgcn,amazon_books_2018_custom
0.03127949312329292,0.020164597779512405,0.04489685967564583,0.024601543322205544,0.06579479575157166,0.029855329543352127,0.22708575863407063,0.9205709099769592,0.04814209043979645,0.09383847564458847,46,additive-pref,0.1,lightgcn,amazon_books_2018_custom
0.03127949312329292,0.02010788768529892,0.04503168538212776,0.024586401879787445,0.06579479575157166,0.02978629618883133,0.2261544431509507,0.9207046031951904,0.04817230626940727,0.0939733013510704,46,additive-pref,0.2,lightgcn,amazon_books_2018_custom
0.03154914453625679,0.02009134739637375,0.04489685967564583,0.02441706694662571,0.06606444716453552,0.029714122414588928,0.2242918121847109,0.9208107590675354,0.047945745289325714,0.09343400597572327,46,additive-pref,0.4,lightgcn,amazon_books_2018_custom
0.03154914453625679,0.020267553627490997,0.045436158776283264,0.024755964055657387,0.06579479575157166,0.02988806925714016,0.2294140473418704,0.9204190969467163,0.048001088201999664,0.0935688316822052,46,loo-marginal,0.0,lightgcn,amazon_books_2018_custom
0.033571526408195496,0.021859675645828247,0.04894161969423294,0.026817958801984787,0.0691654309630394,0.031844448298215866,0.22887077997671712,0.9203385710716248,0.053366534411907196,0.1031414344906807,46,loo-marginal,0.05,lightgcn,amazon_books_2018_custom
0.03491977974772453,0.022544819861650467,0.05150330439209938,0.027923958376049995,0.0711878091096878,0.032836247235536575,0.23050058207217694,0.9201390147209167,0.05783100798726082,0.11123095452785492,46,loo-marginal,0.1,lightgcn,amazon_books_2018_custom
0.037481460720300674,0.02444019727408886,0.05352568253874779,0.029626183211803436,0.07442361861467361,0.034835997968912125,0.23143189755529686,0.9189968705177307,0.06560338288545609,0.12565727531909943,46,loo-marginal,0.2,lightgcn,amazon_books_2018_custom
0.03977349400520325,0.026176080107688904,0.0575704462826252,0.03196138143539429,0.07819873094558716,0.03713453561067581,0.24183158711680247,0.9161237478256226,0.0781579539179802,0.14776864647865295,46,loo-marginal,0.4,lightgcn,amazon_books_2018_custom
