,,,HitRate@5,HitRate@5,NDCG@5,NDCG@5,HitRate@10,HitRate@10,NDCG@10,NDCG@10,HitRate@20,HitRate@20,NDCG@20,NDCG@20,Coverage@20,Coverage@20,ILD@20,ILD@20
,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
dataset,backbone,family,,,,,,,,,,,,,,,,
amazon_books_2018_custom,ngcf,additive-pref,0.00914116231724614,0.0028110370381799147,0.00579975214786824,0.0019382757419467399,0.0150734800845384,0.004002293959371414,0.00770008210092778,0.00229285366103805,0.02540110573172566,0.005783051666688049,0.01026932131499048,0.002685200278473605,0.2508498253783469,0.0161792706173324,0.953935694694519,0.0028589020318934067
amazon_books_2018_custom,ngcf,attention,0.00949170831590888,0.0026738293860957066,0.00600435407832258,0.001864146758882483,0.01531616561114782,0.0038046096262919727,0.0078672680072486,0.0021976056169725135,0.02545503564178938,0.005646110926065476,0.01040180390700694,0.0025992457632468824,0.25129996119518816,0.016168992365204898,0.9537395000457763,0.002881833938727712
amazon_books_2018_custom,ngcf,heuristic-pop,0.00916812717914576,0.0028489345391848175,0.0057939994614571,0.001977448625457945,0.015100445039570282,0.004019968480118125,0.007701408024877241,0.002312498898693939,0.025508965924382142,0.006139664633044972,0.01029937798157328,0.0027727476559588457,0.2509429569266589,0.01640967354151978,0.9539210796356201,0.002881364835618738
amazon_books_2018_custom,ngcf,loo-marginal,0.0105163811706006,0.0031489741410341532,0.006684788921847901,0.002299217374835618,0.017877847887575578,0.004770228611448591,0.00903973039239642,0.0027792563604232224,0.028852635994553538,0.006469512379232278,0.01177312787622208,0.003174272536778771,0.2539542103220799,0.01649851729922294,0.9529211044311523,0.002872249246870851
amazon_books_2018_custom,ngcf,shapley-mc,0.00973439384251828,0.0030063343831789016,0.00627989461645478,0.0021601731618733078,0.016961035318672598,0.004649423967261112,0.0085922813042998,0.0026812087110275073,0.02766617238521572,0.006090617199850701,0.011251082271337459,0.0029970752624850247,0.2525261932479627,0.01671721020397727,0.9532592296600342,0.0028060710870972364
amazon_books_2018_custom,ngcf,uniform,0.00908723194152112,0.0028387072590813013,0.00568361468613142,0.0019179918576941886,0.01488472428172824,0.004012726569870407,0.00753698190674178,0.0022600187363737726,0.0251314546912908,0.0059975344721543596,0.01009007897227996,0.0026962068868123103,0.2510360884749709,0.016199844738924274,0.9540024638175965,0.00285583408411428
amazon_books_2018_custom,ngcf,unreranked,0.007846838235855061,0.002254851567166936,0.0049364161211996795,0.0015678138603795382,0.01369826048612588,0.0034984528559310396,0.00682531492784616,0.0019630001681519168,0.02416071146726604,0.00576005903088884,0.009438410494476478,0.0024903801037810896,0.253162592161428,0.01672716960313819,0.9537188768386841,0.002779852059909036
amazon_books_2018_custom,ngcf,valid-linear,0.009141162224113899,0.0027256748268010855,0.00571714160032566,0.0019617132221993994,0.015504921227693518,0.004514134936261298,0.0077514302916824205,0.0025252865271088933,0.026075232774019203,0.006166401900677323,0.010394367855042181,0.002900077038667791,0.26506790842064415,0.017412043792876204,0.9541065096855164,0.0027058789903267656
amazon_books_2018_custom,ngcf,valid-sim,0.00924902278929944,0.002750900889510426,0.00583420880138866,0.0019386906646690824,0.015154374763369522,0.004134327716047984,0.00773457083851094,0.0023694017977545358,0.026021302491426403,0.006504540422436463,0.01044725794345134,0.002902068011161175,0.2509429569266589,0.01628421167840368,0.9539737224578857,0.0028607303860955047
