HitRate@5,NDCG@5,HitRate@10,NDCG@10,HitRate@20,NDCG@20,Coverage@20,ILD@20,seed,family,lambda_attr,backbone,dataset
0.03127949312329292,0.019847510382533073,0.04651476442813873,0.024730002507567406,0.06700822710990906,0.029879137873649597,0.23352735739231664,0.9220288991928101,45,uniform,0.0,lightgcn,amazon_books_2018_custom
0.03127949312329292,0.019847510382533073,0.04651476442813873,0.024730002507567406,0.06700822710990906,0.029879137873649597,0.23352735739231664,0.9220288991928101,45,additive-pref,0.0,lightgcn,amazon_books_2018_custom
0.03127949312329292,0.019847510382533073,0.04651476442813873,0.024730002507567406,0.06700822710990906,0.029879137873649597,0.23352735739231664,0.9220288991928101,45,shapley-mc,0.0,lightgcn,amazon_books_2018_custom
0.03114466741681099,0.019795354455709457,0.04651476442813873,0.02471056394279003,0.06700822710990906,0.02986406907439232,0.23143189755529686,0.9221434593200684,45,uniform,0.05,lightgcn,amazon_books_2018_custom
0.03114466741681099,0.01978951506316662,0.04651476442813873,0.024702109396457672,0.06687340140342712,0.029821349307894707,0.23166472642607683,0.9220738410949707,45,additive-pref,0.05,lightgcn,amazon_books_2018_custom
0.032762572169303894,0.021136416122317314,0.049076445400714874,0.026375330984592438,0.0683564767241478,0.031215395778417587,0.23298409002716336,0.9220161437988281,45,shapley-mc,0.05,lightgcn,amazon_books_2018_custom
0.031009841710329056,0.019669946283102036,0.04611028730869293,0.02450769767165184,0.06673857569694519,0.029721949249505997,0.23088863019014358,0.9222052097320557,45,uniform,0.1,lightgcn,amazon_books_2018_custom
0.031009841710329056,0.019669946283102036,0.04651476442813873,0.024626540020108223,0.06633409857749939,0.02963118627667427,0.23112145906092355,0.9221091270446777,45,additive-pref,0.1,lightgcn,amazon_books_2018_custom
0.034245651215314865,0.021931618452072144,0.049885399639606476,0.02696477808058262,0.07024403661489487,0.03212305158376694,0.2303453628249903,0.9218406081199646,45,shapley-mc,0.1,lightgcn,amazon_books_2018_custom
0.031009841710329056,0.019744306802749634,0.046245113015174866,0.02460614964365959,0.06673857569694519,0.029790528118610382,0.23026775320139697,0.9224520325660706,45,uniform,0.2,lightgcn,amazon_books_2018_custom
0.031009841710329056,0.01971626840531826,0.04611028730869293,0.024552656337618828,0.06619927287101746,0.02963588386774063,0.23026775320139697,0.922235906124115,45,additive-pref,0.2,lightgcn,amazon_books_2018_custom
0.03667251020669937,0.0238961074501276,0.052716732025146484,0.029058875516057014,0.07347984611988068,0.03428507596254349,0.2306558013193636,0.9215335845947266,45,shapley-mc,0.2,lightgcn,amazon_books_2018_custom
0.03127949312329292,0.01999286748468876,0.04611028730869293,0.024736780673265457,0.06714305281639099,0.030045993626117706,0.22848273185875048,0.9227776527404785,45,uniform,0.4,lightgcn,amazon_books_2018_custom
0.031009841710329056,0.019852932542562485,0.04611028730869293,0.02469179965555668,0.06592962145805359,0.029693368822336197,0.2276290259992239,0.9223959445953369,45,additive-pref,0.4,lightgcn,amazon_books_2018_custom
0.037885937839746475,0.025001127272844315,0.05514358729124069,0.030529139563441277,0.07631117850542068,0.03583361580967903,0.23414823438106325,0.9200761318206787,45,shapley-mc,0.4,lightgcn,amazon_books_2018_custom
