budget,mae,max_error,sign_agreement,rank_correlation,runtime_seconds
32,0.0005169138856221932,0.000885901517769988,1.0,1.0,0.0011018519999765886
128,0.00024729597872990883,0.0006951215545011671,1.0,1.0,0.0013472900000124355
512,0.00011715933602952748,0.0002811970345685498,1.0,1.0,0.003410925999958181
2048,0.0,0.0,1.0,1.0,0.012352568999972391
