planner,selection_seed,evaluation_seed,selected_mask,selected_interventions,feasible,robust_lower_improvement,robust_upper_improvement,cost,relevance_delta_lower,provider_disparity_upper,fatigue_upper
scenario_only_per_seed,42,200,32,provider_balance,True,-0.12146779167909194,-0.11862096723193805,0.12,-0.004176497315623862,0.0694907407407408,0.0
scenario_only_per_seed,42,201,32,provider_balance,True,-0.12106986497740002,-0.12081656993148238,0.12,-0.008029790356521849,0.05189814814814819,0.0
scenario_only_per_seed,42,202,32,provider_balance,True,-0.12060972946959458,-0.1194142724903352,0.12,-0.0025408874425998373,0.06368055555555552,0.0
scenario_only_per_seed,42,203,32,provider_balance,True,-0.1204172292710749,-0.11717429362937981,0.12,-0.0025665462102272274,0.05657407407407411,0.0
scenario_only_per_seed,42,204,32,provider_balance,True,-0.12030228076147809,-0.11846872078875104,0.12,0.0017862185748209747,0.059675925925925855,0.0
scenario_only_per_seed,42,205,32,provider_balance,True,-0.1204282508112221,-0.11818914966518868,0.12,-0.006854678119197044,0.06768518518518518,0.0
scenario_only_per_seed,42,206,32,provider_balance,True,-0.12053094128898467,-0.11938622425900824,0.12,-0.0011936145619559912,0.052013888888888804,0.0
scenario_only_per_seed,42,207,32,provider_balance,True,-0.12065600564188739,-0.11955039343480633,0.12,-0.004521842081545269,0.050000000000000044,0.0
scenario_only_per_seed,42,208,32,provider_balance,True,-0.1212330855441629,-0.11881424785061911,0.12,-0.0105166025969754,0.05511574074074077,0.0
scenario_only_per_seed,42,209,32,provider_balance,True,-0.12164983962036813,-0.11924151692292861,0.12,-0.009369605062341968,0.05090277777777774,0.0
scenario_only_per_seed,42,210,32,provider_balance,True,-0.12138377050822768,-0.11996042656931494,0.12,-0.002435911433441351,0.04437500000000005,0.0
scenario_only_per_seed,42,211,32,provider_balance,True,-0.12013961348031266,-0.11852870522331593,0.12,-0.0006877918434928798,0.06240740740740747,0.0
scenario_only_per_seed,42,212,32,provider_balance,True,-0.1211289570599553,-0.11774020497765236,0.12,-0.006150362763290507,0.07092592592592584,0.0
