HitRate@5,NDCG@5,HitRate@10,NDCG@10,HitRate@20,NDCG@20,Coverage@20,ILD@20,ValNDCG@20,ValHitRate@20,seed,family,lambda_attr,backbone,dataset
0.0297964140772819,0.0190585143864154,0.0455709844827652,0.0240901485085487,0.0652554929256439,0.0290970057249069,0.2308886301901435,0.921318292617798,0.0463159009814262,0.0932991802692413,42,uniform,0.0,lightgcn,amazon_books_2018_custom
0.0300660636276006,0.0190927796065807,0.0455709844827652,0.0240323841571807,0.0652554929256439,0.0290308762341737,0.2303453628249903,0.9214227199554444,0.0464150197803974,0.0934340059757232,42,uniform,0.05,lightgcn,amazon_books_2018_custom
0.0299312397837638,0.0190121922641992,0.0457058101892471,0.0240415390580892,0.0655251443386077,0.0290589351207017,0.2299573147070236,0.9214900732040404,0.0465161874890327,0.0935688316822052,42,uniform,0.1,lightgcn,amazon_books_2018_custom
0.0296615883708,0.018978726118803,0.0453013330698013,0.0240024384111166,0.0656599700450897,0.029159490019083,0.2273961971284439,0.921653926372528,0.0466842912137508,0.0935688316822052,42,uniform,0.2,lightgcn,amazon_books_2018_custom
0.0302008893340826,0.0193484537303447,0.0450316853821277,0.0240912586450576,0.0656599700450897,0.0293194632977247,0.2256887854093907,0.9219499826431274,0.0468304418027401,0.0932991802692413,42,uniform,0.4,lightgcn,amazon_books_2018_custom
0.0297964140772819,0.0190585143864154,0.0455709844827652,0.0240901485085487,0.0652554929256439,0.0290970057249069,0.2308886301901435,0.921318292617798,0.0463159009814262,0.0932991802692413,42,additive-pref,0.0,lightgcn,amazon_books_2018_custom
0.0299312397837638,0.0190087538212537,0.0455709844827652,0.0239875447005033,0.0652554929256439,0.0289851035922765,0.2305781916957702,0.9213525652885436,0.0464363023638725,0.0935688316822052,42,additive-pref,0.05,lightgcn,amazon_books_2018_custom
0.0297964140772819,0.0188840758055448,0.0453013330698013,0.0238403864204883,0.0655251443386077,0.0289673916995525,0.230034924330617,0.9213786721229552,0.0464434586465358,0.0937036573886871,42,additive-pref,0.1,lightgcn,amazon_books_2018_custom
0.0292571112513542,0.0186569169163703,0.0450316853821277,0.02373025752604,0.0655251443386077,0.0289221666753292,0.2278618548700038,0.9214345812797546,0.0464105270802974,0.0930295288562774,42,additive-pref,0.2,lightgcn,amazon_books_2018_custom
0.029526762664318,0.0188565142452716,0.0451665110886096,0.0238600932061672,0.0653903186321258,0.028986906632781,0.2253007372914241,0.9215741157531738,0.0463690757751464,0.0924902260303497,42,additive-pref,0.4,lightgcn,amazon_books_2018_custom
0.0297964140772819,0.0190585143864154,0.0455709844827652,0.0240901485085487,0.0652554929256439,0.0290970057249069,0.2308886301901435,0.921318292617798,0.0463159009814262,0.0932991802692413,42,loo-marginal,0.0,lightgcn,amazon_books_2018_custom
0.0318187959492206,0.0203330591320991,0.04732371494174,0.0252974033355712,0.0676823481917381,0.0304504372179508,0.2315871168024835,0.9211515784263612,0.0512696504592895,0.1019280031323432,42,loo-marginal,0.05,lightgcn,amazon_books_2018_custom
0.0341108255088329,0.0219419375061988,0.0504246987402439,0.0271207466721534,0.0705136880278587,0.0321323238313198,0.2317423360496701,0.920969545841217,0.0559783428907394,0.1105568259954452,42,loo-marginal,0.1,lightgcn,amazon_books_2018_custom
0.0357287302613258,0.0230492148548364,0.0529863834381103,0.0285453777760267,0.0736146718263626,0.0337013937532901,0.236243694218083,0.9198487401008606,0.064047634601593,0.1256572753190994,42,loo-marginal,0.2,lightgcn,amazon_books_2018_custom
0.0381555892527103,0.0249301325529813,0.0555480644106864,0.0305394679307937,0.0772549584507942,0.0359684601426124,0.2464105549088087,0.9173986315727234,0.0758578702807426,0.1466900408267974,42,loo-marginal,0.4,lightgcn,amazon_books_2018_custom
0.0308750160038471,0.0188495647162199,0.0463799387216568,0.0238083321601152,0.0651206672191619,0.0285102967172861,0.2311990686845168,0.9201599955558776,0.0459797903895378,0.0911419689655304,43,uniform,0.0,lightgcn,amazon_books_2018_custom
0.0308750160038471,0.0187845472246408,0.0463799387216568,0.0237383563071489,0.0652554929256439,0.0284685026854276,0.2297244858362437,0.9202896356582642,0.0461625903844833,0.0916812717914581,43,uniform,0.05,lightgcn,amazon_books_2018_custom
0.0306053664535284,0.0187914967536926,0.0466495901346206,0.0239290408790111,0.0651206672191619,0.028550824150443,0.2282499029879705,0.9204258918762208,0.046268168836832,0.09181609749794,43,uniform,0.1,lightgcn,amazon_books_2018_custom
0.0306053664535284,0.0187914967536926,0.0465147644281387,0.0238933525979518,0.0655251443386077,0.0286423247307539,0.2263872720217307,0.9206900000572203,0.0463669523596763,0.0920857489109039,43,uniform,0.2,lightgcn,amazon_books_2018_custom
0.031009841710329,0.0189279206097126,0.0469192378222942,0.0239891335368156,0.0656599700450897,0.0286365561187267,0.223360496701591,0.9209363460540771,0.0466479994356632,0.0931643545627594,43,uniform,0.4,lightgcn,amazon_books_2018_custom
0.0308750160038471,0.0188495647162199,0.0463799387216568,0.0238083321601152,0.0651206672191619,0.0285102967172861,0.2311990686845168,0.9201599955558776,0.0459797903895378,0.0911419689655304,43,additive-pref,0.0,lightgcn,amazon_books_2018_custom
0.0308750160038471,0.0187811106443405,0.0462451130151748,0.0237004421651363,0.0652554929256439,0.0284704994410276,0.2304229724485836,0.9202331304550172,0.0461078323423862,0.0914116203784942,43,additive-pref,0.05,lightgcn,amazon_books_2018_custom
0.0307401921600103,0.0187668949365615,0.0461102873086929,0.0236954223364591,0.06498584151268,0.0284348037093877,0.2287155607295304,0.9202985167503356,0.0461575761437416,0.091950923204422,43,additive-pref,0.1,lightgcn,amazon_books_2018_custom
0.0306053664535284,0.018768735229969,0.0462451130151748,0.0237691197544336,0.0648510158061981,0.0284307748079299,0.226697710516104,0.9204129576683044,0.0460976883769035,0.09181609749794,43,additive-pref,0.2,lightgcn,amazon_books_2018_custom
0.0307401921600103,0.0188319087028503,0.0457058101892471,0.0236118119210004,0.0648510158061981,0.028407072648406,0.2249902987970508,0.92056542634964,0.0463581830263137,0.091950923204422,43,additive-pref,0.4,lightgcn,amazon_books_2018_custom
0.0308750160038471,0.0188495647162199,0.0463799387216568,0.0238083321601152,0.0651206672191619,0.0285102967172861,0.2311990686845168,0.9201599955558776,0.0459797903895378,0.0911419689655304,43,loo-marginal,0.0,lightgcn,amazon_books_2018_custom
0.0330322235822677,0.0203092526644468,0.0470540635287761,0.0248025227338075,0.0656599700450897,0.0294960234314203,0.2312766783081102,0.9199814796447754,0.0505851879715919,0.1012538745999336,43,loo-marginal,0.05,lightgcn,amazon_books_2018_custom
0.033841174095869,0.0211556684225797,0.0481326691806316,0.0257591176778078,0.0691654309630394,0.0310511980205774,0.2315871168024835,0.919698178768158,0.055499218404293,0.1090737506747245,43,loo-marginal,0.1,lightgcn,amazon_books_2018_custom
0.0370769836008548,0.0230799634009599,0.0512336529791355,0.0275949668139219,0.0717271119356155,0.0327356718480587,0.2332169188979433,0.91875821352005,0.0637131109833717,0.1229607686400413,43,loo-marginal,0.2,lightgcn,amazon_books_2018_custom
0.0397734940052032,0.0252081658691167,0.0547391138970851,0.029935348778963,0.0761763527989387,0.0353046953678131,0.2457896779200621,0.9161068797111512,0.0767743736505508,0.1446676552295684,43,loo-marginal,0.4,lightgcn,amazon_books_2018_custom
0.0311446674168109,0.0198356695473194,0.0454361587762832,0.0243750773370265,0.0652554929256439,0.0293605662882328,0.2312766783081102,0.9200495481491088,0.0460379868745803,0.0907374918460846,44,uniform,0.0,lightgcn,amazon_books_2018_custom
0.0312794931232929,0.0199148245155811,0.0453013330698013,0.0243633426725864,0.0648510158061981,0.0292995460331439,0.2305005820721769,0.9201591610908508,0.0461781583726406,0.0914116203784942,44,uniform,0.05,lightgcn,amazon_books_2018_custom
0.0312794931232929,0.0199418235570192,0.045975461602211,0.0245837289839983,0.0652554929256439,0.0294267144054174,0.230034924330617,0.9202881455421448,0.0463187471032142,0.0915464460849762,44,uniform,0.1,lightgcn,amazon_books_2018_custom
0.031009841710329,0.0199437364935874,0.0453013330698013,0.0244892351329326,0.0652554929256439,0.0295234564691782,0.2277842452464105,0.9205367565155028,0.046582531183958,0.0916812717914581,44,uniform,0.2,lightgcn,amazon_books_2018_custom
0.0312794931232929,0.0200865566730499,0.045975461602211,0.0247079692780971,0.0655251443386077,0.0296119954437017,0.2245246410554909,0.9207780957221984,0.046333871781826,0.0907374918460846,44,uniform,0.4,lightgcn,amazon_books_2018_custom
0.0311446674168109,0.0198356695473194,0.0454361587762832,0.0243750773370265,0.0652554929256439,0.0293605662882328,0.2312766783081102,0.9200495481491088,0.0460379868745803,0.0907374918460846,44,additive-pref,0.0,lightgcn,amazon_books_2018_custom
0.0311446674168109,0.0198450144380331,0.0447620339691638,0.024179233238101,0.06498584151268,0.0292926467955112,0.2304229724485836,0.9200897216796876,0.0460523776710033,0.0908723175525665,44,additive-pref,0.05,lightgcn,amazon_books_2018_custom
0.031009841710329,0.0197928566485643,0.0450316853821277,0.0242486931383609,0.0648510158061981,0.0292462203651666,0.2308886301901435,0.920139491558075,0.0462342426180839,0.0914116203784942,44,additive-pref,0.1,lightgcn,amazon_books_2018_custom
0.0308750160038471,0.0197794437408447,0.0453013330698013,0.0243549533188343,0.0647161900997161,0.0292267221957445,0.2279394644935972,0.920242190361023,0.0463627651333808,0.0914116203784942,44,additive-pref,0.2,lightgcn,amazon_books_2018_custom
0.031009841710329,0.0198104381561279,0.0451665110886096,0.0243161562830209,0.0645813643932342,0.0291968025267124,0.2252231276678308,0.9203996658325196,0.0462071411311626,0.0901981964707374,44,additive-pref,0.4,lightgcn,amazon_books_2018_custom
0.0311446674168109,0.0198356695473194,0.0454361587762832,0.0243750773370265,0.0652554929256439,0.0293605662882328,0.2312766783081102,0.9200495481491088,0.0460379868745803,0.0907374918460846,44,loo-marginal,0.0,lightgcn,amazon_books_2018_custom
0.0334367007017135,0.0215803384780883,0.0477281920611858,0.0261229649186134,0.0683564767241478,0.0313056372106075,0.2323632130384167,0.9199154376983644,0.0511595569550991,0.0993663221597671,44,loo-marginal,0.05,lightgcn,amazon_books_2018_custom
0.0349197797477245,0.0225808359682559,0.0500202253460884,0.0274439100176095,0.0711878091096878,0.0327419824898242,0.2322856034148234,0.9196187853813172,0.055773414671421,0.1082647964358329,44,loo-marginal,0.1,lightgcn,amazon_books_2018_custom
0.0376162864267826,0.0244469121098518,0.0528515577316284,0.0293771866708993,0.0749629214406013,0.0349186323583126,0.2346915017462165,0.9187104105949402,0.0634062811732292,0.1232304200530052,44,loo-marginal,0.2,lightgcn,amazon_books_2018_custom
