seed,family,fraction,DeletionDelta_HitRate@20,DeletionDelta_NDCG@20,Insertion_HitRate@20,Insertion_NDCG@20
42,loo-marginal,0.05,0.0004044762172270566,0.0014585868921130896,0.062154509127140045,0.024932313710451126
42,loo-marginal,0.1,0.0004044762172270566,0.0016667840536683798,0.06201968342065811,0.025013621896505356
42,loo-marginal,0.2,0.0010786032071337104,0.00249671284109354,0.06282863765954971,0.025795752182602882
42,loo-marginal,0.3,0.0009437777916900814,0.003027199534699321,0.06296346336603165,0.02634972147643566
42,uniform,0.05,0.0002696508017834276,0.0014089469332247972,0.06242416054010391,0.02481449767947197
42,uniform,0.1,0.0008089524344541132,0.001570109510794282,0.06269381195306778,0.024894393980503082
42,uniform,0.2,0.0010786032071337104,0.0018898044945672154,0.06309828907251358,0.02518666349351406
42,uniform,0.3,0.0013482540380209684,0.002600565319880843,0.06350276619195938,0.025734318420290947
42,random,0.05,0.0004044762172270566,0.0012723214458674192,0.06228933483362198,0.024702444672584534
42,random,0.1,0.0004044762172270566,0.0014619468711316586,0.06242416054010391,0.024906888604164124
42,random,0.2,0.0008089524344541132,0.001815394381992519,0.06269381195306778,0.02521517686545849
42,random,0.3,0.0010786032071337104,0.002356521086767316,0.06336794048547745,0.025619229301810265
