,,,HitRate@5,HitRate@5,NDCG@5,NDCG@5,HitRate@10,HitRate@10,NDCG@10,NDCG@10,HitRate@20,HitRate@20,NDCG@20,NDCG@20,Coverage@20,Coverage@20,ILD@20,ILD@20
,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
dataset,backbone,family,,,,,,,,,,,,,,,,
ml1m,lightgcn,additive-pref,0.03916874527931208,0.0011312405444383028,0.025076265260577157,0.000422358972149832,0.0672984212636947,0.0016006778991856782,0.034034758061170525,0.0007317450919238814,0.11886949241161344,0.000770873969857927,0.04696172326803204,0.000179774235115255,0.6089916506101477,0.0027866272511131974,0.7202810287475586,0.00024974467290320466
ml1m,lightgcn,attention,0.03930174559354778,0.0010355713999695238,0.02528898268938058,0.0003865231997279943,0.06812967658042904,0.0006894902801787867,0.03446542322635646,0.0004255492573324805,0.11993349939584727,0.0009877617951577185,0.047443021088838536,0.00025509036496426543,0.6028901734104046,0.0030004646440071896,0.717046594619751,0.0002610554451074563
ml1m,lightgcn,heuristic-pop,0.03916874527931206,0.0011189574016070662,0.02511792406439774,0.00044740788783261557,0.06739817261695857,0.0016897186959494736,0.0341048434376716,0.0007425028882950147,0.1189692437648773,0.0007397697236260018,0.04703579470515248,0.00018013207208350578,0.6101477199743096,0.002715403745229239,0.7206840276718139,0.0002638846517174762
ml1m,lightgcn,loo-marginal,0.04458852857351296,0.0012407724898459063,0.027988974750041917,0.0007524938625234137,0.07591022402048107,0.0011251154188635384,0.03796614930033682,0.0002782226642656951,0.1256857812404632,0.0003526742916270349,0.0504506535828113,0.0002905872880826501,0.6428387925497752,0.0024603701103889895,0.7356836080551148,0.000377232756865801
ml1m,lightgcn,shapley-mc,0.042227762937545744,0.000587785744525534,0.026773462444543778,0.00029683989338838895,0.07235245257616038,0.0011720399399350373,0.0364072777330875,0.000209705987226718,0.12674979269504544,0.0005588608246870849,0.050052133202552716,0.00029699292659443485,0.6342324983943481,0.0023378644474246705,0.7282816052436829,0.00037941760547604555
ml1m,lightgcn,uniform,0.039002493768930405,0.0008844172848321588,0.02496684268116946,0.000373864327479794,0.0670656695961952,0.0016978784742966253,0.0338984720408916,0.0007289294199711038,0.11827099025249477,0.0009877587855208674,0.0467430397868156,0.0001550449358041044,0.6127167630057804,0.0025081084379918257,0.7219682097434997,0.0002301038164592689
ml1m,lightgcn,unreranked,0.0385037407279014,0.0011554140001704787,0.024722360074520063,0.0006399041763896795,0.06563591063022609,0.0005438222583594194,0.03339667096734044,0.0005181497721909976,0.11444721519947047,0.0018867859624405023,0.04563622325658792,0.00021467841434434916,0.6278741168914579,0.002893739325900813,0.7308468699455262,0.0003157685527762122
ml1m,lightgcn,valid-linear,0.04129675850272174,0.0005588612125348817,0.026511703431606238,0.00022894097974186493,0.07162094712257382,0.0015480095966278896,0.036171524971723504,0.0004112189177023404,0.12408977597951884,0.0010153548920704373,0.04932394549250596,0.00033140007443908324,0.6387925497752087,0.003657222473348229,0.7303837180137634,0.00030448644566186995
ml1m,lightgcn,valid-sim,0.04043225273489948,0.0009579294811130914,0.025874891504645302,0.0003522506275285524,0.07029093801975247,0.0005177871951374119,0.03539573103189464,0.00018891319706727458,0.12312552034854884,0.0010288790298592484,0.04864112362265586,0.00022826317270828938,0.6193320488118176,0.0032638602305130127,0.723435389995575,0.00031800564270446105
