source,family,family_size,left,right,n_users,mean_difference,raw_p,exceedances,draws,published_holm_p,recomputed_holm_p
per-metric family,Amazon / full_catalogue / target_margin / aia_ndcg,10,LIME,Greedy seq. del.,6,-0.197042194967,0.501949805019,5019,10000,1,1
per-metric family,Amazon / full_catalogue / target_margin / aia_ndcg,10,LIME,Random control,6,0.11403245206,0.783721627837,7837,10000,1,1
per-metric family,Amazon / full_catalogue / target_margin / aia_ndcg,10,LOO,Greedy seq. del.,6,-0.196464261573,0.496150384962,4961,10000,1,1
per-metric family,Amazon / full_catalogue / target_margin / aia_ndcg,10,LOO,Random control,6,0.114610385454,0.778522147785,7785,10000,1,1
per-metric family,Amazon / full_catalogue / target_margin / aia_ndcg,10,Greedy seq. del.,Random control,6,0.311074647027,0.252674732527,2526,10000,1,1
per-metric family,Amazon / full_catalogue / target_margin / direction_accuracy,10,MC Shapley,LIME,250,-0.363136530006,9.99900009999e-05,0,10000,0.000999900009999,0.000999900009999
per-metric family,Amazon / full_catalogue / target_margin / direction_accuracy,10,MC Shapley,LOO,250,-0.378382755284,9.99900009999e-05,0,10000,0.000999900009999,0.000999900009999
per-metric family,Amazon / full_catalogue / target_margin / direction_accuracy,10,MC Shapley,Greedy seq. del.,250,-0.0975782352941,9.99900009999e-05,0,10000,0.000999900009999,0.000999900009999
per-metric family,Amazon / full_catalogue / target_margin / direction_accuracy,10,MC Shapley,Random control,250,0.0164905619217,0.361663833617,3616,10000,0.361663833617,0.361663833617
per-metric family,Amazon / full_catalogue / target_margin / direction_accuracy,10,LIME,LOO,250,-0.015246225278,9.99900009999e-05,0,10000,0.000999900009999,0.000999900009999
per-metric family,Amazon / full_catalogue / target_margin / direction_accuracy,10,LIME,Greedy seq. del.,250,0.265558294712,9.99900009999e-05,0,10000,0.000999900009999,0.000999900009999
per-metric family,Amazon / full_catalogue / target_margin / direction_accuracy,10,LIME,Random control,250,0.379627091928,9.99900009999e-05,0,10000,0.000999900009999,0.000999900009999
per-metric family,Amazon / full_catalogue / target_margin / direction_accuracy,10,LOO,Greedy seq. del.,250,0.28080451999,9.99900009999e-05,0,10000,0.000999900009999,0.000999900009999
