HitRate@5,NDCG@5,HitRate@10,NDCG@10,HitRate@20,NDCG@20,Coverage@20,ILD@20,seed,family,lambda_attr,backbone,dataset
0.036907732486724854,0.023572679609060287,0.0641729012131691,0.0323222391307354,0.11388196051120758,0.04488179460167885,0.6082209377007065,0.7252126932144165,43,uniform,0.0,lightgcn,ml1m
0.036907732486724854,0.023572679609060287,0.0641729012131691,0.0323222391307354,0.11388196051120758,0.04488179460167885,0.6082209377007065,0.7252126932144165,43,additive-pref,0.0,lightgcn,ml1m
0.036907732486724854,0.023572679609060287,0.0641729012131691,0.0323222391307354,0.11388196051120758,0.04488179460167885,0.6082209377007065,0.7252126932144165,43,shapley-mc,0.0,lightgcn,ml1m
0.036907732486724854,0.02324570342898369,0.06566916406154633,0.03246378153562546,0.11604322493076324,0.04515964165329933,0.605009633911368,0.7206549644470215,43,uniform,0.05,lightgcn,ml1m
0.03724023327231407,0.0235491544008255,0.06633416563272476,0.032848939299583435,0.116209477186203,0.04541044682264328,0.6034039820166988,0.719767153263092,43,additive-pref,0.05,lightgcn,ml1m
0.04023275151848793,0.025065986439585686,0.06916043162345886,0.03430002182722092,0.11820448935031891,0.046674080193042755,0.6127167630057804,0.7239758968353271,43,shapley-mc,0.05,lightgcn,ml1m
0.038237739354372025,0.024051550775766373,0.06716541945934296,0.03329133242368698,0.11720698326826096,0.04587449133396149,0.5985870263326911,0.7165842652320862,43,uniform,0.1,lightgcn,ml1m
0.03840399160981178,0.024257095530629158,0.06766417622566223,0.03357687219977379,0.11803823709487915,0.046258438378572464,0.5947334617854849,0.7147315740585327,43,additive-pref,0.1,lightgcn,ml1m
0.040897756814956665,0.025732968002557755,0.0746467188000679,0.03651093691587448,0.1246882826089859,0.0490536168217659,0.6117533718689788,0.7225936055183411,43,shapley-mc,0.1,lightgcn,ml1m
0.03757273405790329,0.02418293058872223,0.06816292554140091,0.03397282212972641,0.1190357431769371,0.04676800221204758,0.5831727681438664,0.7088587284088135,43,uniform,0.2,lightgcn,ml1m
0.03857024013996124,0.024869106709957123,0.06683291494846344,0.03397132083773613,0.11920199543237686,0.047162458300590515,0.575465639049454,0.7054029703140259,43,additive-pref,0.2,lightgcn,ml1m
0.044056523591279984,0.027846455574035645,0.07930174469947815,0.03915153071284294,0.1343308389186859,0.05286947265267372,0.6184971098265896,0.7198463082313538,43,shapley-mc,0.2,lightgcn,ml1m
0.039567746222019196,0.025653867051005363,0.06949293613433838,0.03521520644426346,0.12269327044487,0.048533741384744644,0.5600513808606294,0.6966829895973206,43,uniform,0.4,lightgcn,ml1m
0.04023275151848793,0.02584681287407875,0.06999168545007706,0.035354405641555786,0.12319201976060867,0.04871470481157303,0.5491329479768786,0.6906254291534424,43,additive-pref,0.4,lightgcn,ml1m
0.05120531842112541,0.031301453709602356,0.08694929629564285,0.04268244653940201,0.15062344074249268,0.058555956929922104,0.6143224149004496,0.7144193649291992,43,shapley-mc,0.4,lightgcn,ml1m
