HitRate@5,NDCG@5,HitRate@10,NDCG@10,HitRate@20,NDCG@20,Coverage@20,ILD@20,seed,family,lambda_attr,backbone,dataset
0.03141431882977486,0.019593646749854088,0.0467844158411026,0.0246026162058115,0.06849130243062973,0.030062533915042877,0.24167636786961583,0.9193806052207947,44,uniform,0.0,lightgcn,amazon_books_2018_custom
0.03141431882977486,0.019573427736759186,0.046919237822294235,0.02460983581840992,0.06849130243062973,0.030036143958568573,0.24128831975164922,0.9194843769073486,44,uniform,0.05,lightgcn,amazon_books_2018_custom
0.03114466741681099,0.019439715892076492,0.04705406352877617,0.02461128495633602,0.06862612813711166,0.030034521594643593,0.240046565774156,0.9195638298988342,44,uniform,0.1,lightgcn,amazon_books_2018_custom
0.03141431882977486,0.01952541060745716,0.047323714941740036,0.02468355931341648,0.06849130243062973,0.030015455558896065,0.23888242142025612,0.9197906851768494,44,uniform,0.2,lightgcn,amazon_books_2018_custom
0.03181879594922066,0.019667359068989754,0.04745854064822197,0.024720201268792152,0.0687609538435936,0.03009064868092537,0.23717500970120295,0.9201297163963318,44,uniform,0.4,lightgcn,amazon_books_2018_custom
0.03141431882977486,0.019593646749854088,0.0467844158411026,0.0246026162058115,0.06849130243062973,0.030062533915042877,0.24167636786961583,0.9193806052207947,44,additive-pref,0.0,lightgcn,amazon_books_2018_custom
0.03141431882977486,0.019573427736759186,0.0467844158411026,0.024568917229771614,0.06849130243062973,0.030024036765098572,0.24144353899883586,0.9194138050079346,44,additive-pref,0.05,lightgcn,amazon_books_2018_custom
0.03127949312329292,0.019492914900183678,0.046649590134620667,0.024494705721735954,0.06849130243062973,0.02999197505414486,0.24082266201008926,0.9194149374961853,44,additive-pref,0.1,lightgcn,amazon_books_2018_custom
0.03114466741681099,0.01940441131591797,0.046649590134620667,0.024439813569188118,0.06822165101766586,0.029872920364141464,0.2391928599146294,0.9194931983947754,44,additive-pref,0.2,lightgcn,amazon_books_2018_custom
0.030740192160010338,0.01933237351477146,0.0471888892352581,0.024639176204800606,0.06862612813711166,0.030023017898201942,0.236709351959643,0.9196712374687195,44,additive-pref,0.4,lightgcn,amazon_books_2018_custom
