seed,family,fraction,DeletionDelta_HitRate@20,DeletionDelta_NDCG@20,Insertion_HitRate@20,Insertion_NDCG@20
43,loo-marginal,0.05,0.0005393016035668552,0.0017003484535962343,0.06633409857749939,0.02660290151834488
43,loo-marginal,0.1,0.0004044762172270566,0.0017812039004638791,0.06633409857749939,0.026626430451869965
43,loo-marginal,0.2,0.0012134285643696785,0.0027439044788479805,0.06646892428398132,0.02720799297094345
43,loo-marginal,0.3,0.0012134285643696785,0.0031638455111533403,0.06700822710990906,0.02791064791381359
43,uniform,0.05,0.0001348254008917138,0.0015308127040043473,0.06619927287101746,0.026273082941770554
43,uniform,0.1,0.0002696508017834276,0.0016176420031115413,0.06619927287101746,0.0262996107339859
43,uniform,0.2,0.0005393016035668552,0.0018856541719287634,0.06592962145805359,0.026320671662688255
43,uniform,0.3,0.0009437777916900814,0.0024593977723270655,0.06700822710990906,0.02688330039381981
43,random,0.05,-0.0004044762172270566,0.000652763235848397,0.06539031863212585,0.025704510509967804
43,random,0.1,-0.0004044762172270566,0.0008243387565016747,0.06552514433860779,0.02583138458430767
43,random,0.2,-0.0001348254008917138,0.0014077717205509543,0.06592962145805359,0.026342278346419334
43,random,0.3,0.0005393016035668552,0.002221347764134407,0.06660374999046326,0.026945173740386963
