seed,method,method_label,mean,median,n,source_file,metric
43,loo_oracle,LOO oracle,0.0006653578918364063,0.0007973661509306118,83,movielens_actionshap_seed43.json,aia_null_mean
43,lime,LIME,-0.0007053108026641833,0.0010036911703204133,83,movielens_actionshap_seed43.json,aia_null_mean
44,shapley_mc,Monte Carlo Shapley,0.0008339648015511418,0.0011466205042399923,76,movielens_actionshap_seed44.json,aia_null_mean
44,loo_oracle,LOO oracle,0.00012319444317452957,-0.0005030017095082488,76,movielens_actionshap_seed44.json,aia_null_mean
44,lime,LIME,0.001288441695107485,0.0009020774551222954,76,movielens_actionshap_seed44.json,aia_null_mean
45,shapley_mc,Monte Carlo Shapley,0.00018140928639305857,0.0016504937471283356,52,movielens_actionshap_seed45.json,aia_null_mean
45,loo_oracle,LOO oracle,0.00019427413939826122,0.0006334673777253355,52,movielens_actionshap_seed45.json,aia_null_mean
45,lime,LIME,2.8088478788817985e-06,3.0228529281776772e-05,52,movielens_actionshap_seed45.json,aia_null_mean
46,shapley_mc,Monte Carlo Shapley,-0.0005309750288322413,-0.0014378497864107951,51,movielens_actionshap_seed46.json,aia_null_mean
46,loo_oracle,LOO oracle,-0.0020831836717948803,-0.002929224665821504,51,movielens_actionshap_seed46.json,aia_null_mean
46,lime,LIME,4.3394061250688764e-05,-0.0010633763354378496,51,movielens_actionshap_seed46.json,aia_null_mean
42,shapley_mc,Monte Carlo Shapley,-0.0007793560147263354,0.0,1987,movielens_actionshap_seed42.json,joint_effect_b2
42,loo_oracle,LOO oracle,-3.688132927181226e-05,0.0,1987,movielens_actionshap_seed42.json,joint_effect_b2
42,lime,LIME,-0.00021349533617353415,0.0,1987,movielens_actionshap_seed42.json,joint_effect_b2
43,shapley_mc,Monte Carlo Shapley,-0.001779963903040565,0.0,1870,movielens_actionshap_seed43.json,joint_effect_b2
43,loo_oracle,LOO oracle,-0.0002853794864635878,0.0,1870,movielens_actionshap_seed43.json,joint_effect_b2
43,lime,LIME,-0.0005791930719396675,0.0,1870,movielens_actionshap_seed43.json,joint_effect_b2
44,shapley_mc,Monte Carlo Shapley,0.00013515998578747992,0.0,2003,movielens_actionshap_seed44.json,joint_effect_b2
44,loo_oracle,LOO oracle,0.0007346469984015866,0.0,2003,movielens_actionshap_seed44.json,joint_effect_b2
44,lime,LIME,0.001048106297846127,0.0,2003,movielens_actionshap_seed44.json,joint_effect_b2
45,shapley_mc,Monte Carlo Shapley,0.0004206438739386531,0.0,1959,movielens_actionshap_seed45.json,joint_effect_b2
45,loo_oracle,LOO oracle,3.1519499430368014e-05,0.0,1959,movielens_actionshap_seed45.json,joint_effect_b2
45,lime,LIME,0.0003971069720252685,0.0,1959,movielens_actionshap_seed45.json,joint_effect_b2
46,shapley_mc,Monte Carlo Shapley,-0.0006516496773916789,0.0,2048,movielens_actionshap_seed46.json,joint_effect_b2
46,loo_oracle,LOO oracle,-1.779758601827238e-05,0.0,2048,movielens_actionshap_seed46.json,joint_effect_b2
46,lime,LIME,-0.0003597881034871638,0.0,2048,movielens_actionshap_seed46.json,joint_effect_b2
42,shapley_mc,Monte Carlo Shapley,0.0024614143485912183,0.0,100,movielens_actionshap_seed42.json,joint_regret_b2
42,loo_oracle,LOO oracle,0.0024614143485912183,0.0,100,movielens_actionshap_seed42.json,joint_regret_b2
42,lime,LIME,0.0015086269864126806,0.0,100,movielens_actionshap_seed42.json,joint_regret_b2
43,shapley_mc,Monte Carlo Shapley,0.0020362326665380407,0.0,100,movielens_actionshap_seed43.json,joint_regret_b2
43,loo_oracle,LOO oracle,0.0003064562012651945,0.0,100,movielens_actionshap_seed43.json,joint_regret_b2
43,lime,LIME,0.002155884359998974,0.0,100,movielens_actionshap_seed43.json,joint_regret_b2
44,shapley_mc,Monte Carlo Shapley,0.0001786845654760455,0.0,100,movielens_actionshap_seed44.json,joint_regret_b2
44,loo_oracle,LOO oracle,0.0012964656240941185,0.0,100,movielens_actionshap_seed44.json,joint_regret_b2
44,lime,LIME,0.0003730873489643644,0.0,100,movielens_actionshap_seed44.json,joint_regret_b2
45,shapley_mc,Monte Carlo Shapley,0.0,0.0,100,movielens_actionshap_seed45.json,joint_regret_b2
45,loo_oracle,LOO oracle,0.0003064562012651945,0.0,100,movielens_actionshap_seed45.json,joint_regret_b2
45,lime,LIME,0.0,0.0,100,movielens_actionshap_seed45.json,joint_regret_b2
46,shapley_mc,Monte Carlo Shapley,0.0,0.0,100,movielens_actionshap_seed46.json,joint_regret_b2
46,loo_oracle,LOO oracle,0.00026400050467840884,0.0,100,movielens_actionshap_seed46.json,joint_regret_b2
46,lime,LIME,0.0,0.0,100,movielens_actionshap_seed46.json,joint_regret_b2
