seed,user,n_players,method,method_label,aia,faithfulness_alignment,joint_effect_b2,joint_regret_b2,normalized_regret_b2,actionability_gap,efficiency_error
42,0,20,shapley_mc,Monte Carlo Shapley,0.6481203007518795,0.6481203007518795,0.0016462090768016857,0.0,0.0,0.0,1.734723475976807e-18
42,0,20,loo_oracle,LOO oracle,1.0,1.0,0.0016462090768016857,0.0,0.0,0.0,1.734723475976807e-18
42,0,20,lime,LIME,0.9533834586466164,0.9533834586466164,0.0016462090768016857,0.0,0.0,0.0,1.734723475976807e-18
42,1,20,shapley_mc,Monte Carlo Shapley,0.8436090225563909,0.8436090225563909,0.0021618785828182996,0.0,0.0,0.0,3.469446951953614e-18
42,1,20,loo_oracle,LOO oracle,1.0,1.0,0.0021618785828182996,0.0,0.0,0.0,3.469446951953614e-18
42,1,20,lime,LIME,0.9804511278195487,0.9804511278195487,0.0021618785828182996,0.0,0.0,0.0,3.469446951953614e-18
42,2,20,shapley_mc,Monte Carlo Shapley,0.9097744360902256,0.9052631578947368,0.0012519068384878596,0.00015926908865171452,0.11286267394150293,0.004511278195488799,1.734723475976807e-18
42,2,20,loo_oracle,LOO oracle,0.9954887218045112,1.0,-1.462760301029764e-05,0.0014258035301498717,1.0103655410488628,-0.004511278195488799,1.734723475976807e-18
42,2,20,lime,LIME,0.956390977443609,0.9548872180451128,-1.462760301029764e-05,0.0014258035301498717,1.0103655410488628,0.0015037593984962294,1.734723475976807e-18
42,3,16,shapley_mc,Monte Carlo Shapley,0.823529411764706,0.8264705882352942,0.0013895401792312634,0.0,0.0,-0.002941176470588225,0.0
42,3,16,loo_oracle,LOO oracle,0.9970588235294118,1.0,0.0013895401792312634,0.0,0.0,-0.002941176470588225,0.0
42,3,16,lime,LIME,0.9176470588235294,0.9235294117647058,0.0013895401792312634,0.0,0.0,-0.00588235294117645,0.0
42,4,20,shapley_mc,Monte Carlo Shapley,0.7082706766917292,0.6330827067669172,0.0014273111995523613,0.0,0.0,0.07518796992481191,0.0
42,4,20,loo_oracle,LOO oracle,0.9774436090225563,1.0,0.0005102792503454134,0.0009170319492069479,0.642489142418319,-0.022556390977443663,0.0
42,4,20,lime,LIME,0.8676691729323308,0.9263157894736842,0.0005102792503454134,0.0009170319492069479,0.642489142418319,-0.05864661654135339,0.0
42,5,20,shapley_mc,Monte Carlo Shapley,0.9428571428571428,0.9428571428571428,0.0016049081902492213,0.0,0.0,0.0,1.734723475976807e-18
42,5,20,loo_oracle,LOO oracle,0.9924812030075187,1.0,0.0004577071401474231,0.0011472010501017982,0.714807897646061,-0.007518796992481258,1.734723475976807e-18
42,5,20,lime,LIME,0.9669172932330825,0.9593984962406013,0.0004577071401474231,0.0011472010501017982,0.714807897646061,0.007518796992481258,1.734723475976807e-18
42,6,20,shapley_mc,Monte Carlo Shapley,0.918796992481203,0.9097744360902256,0.0006395848264362236,6.48860820158248e-05,0.09210611984857471,0.009022556390977376,7.589415207398531e-19
42,6,20,loo_oracle,LOO oracle,0.9969924812030074,1.0,0.0007044709084520484,0.0,0.0,-0.00300751879699257,7.589415207398531e-19
42,6,20,lime,LIME,0.9578947368421054,0.9654135338345864,3.6843640497774555e-05,0.0006676272679542739,0.9477002655419338,-0.007518796992481036,7.589415207398531e-19
42,7,20,shapley_mc,Monte Carlo Shapley,0.5263157894736841,0.5639097744360902,-0.00019784369142189506,0.0008026681997050922,1.3271092480302558,-0.03759398496240618,8.673617379884035e-19
42,7,20,loo_oracle,LOO oracle,0.9759398496240601,1.0,-0.00017505956485652785,0.000779884073139725,1.2894386076781152,-0.024060150375939893,8.673617379884035e-19
42,7,20,lime,LIME,0.8586466165413533,0.882706766917293,-0.0007362172560273494,0.0013410417643105466,2.217241106680467,-0.02406015037593967,8.673617379884035e-19
42,8,20,shapley_mc,Monte Carlo Shapley,0.6375939849624059,0.6015037593984961,0.00203546609627836,0.0,0.0,0.03609022556390984,0.0
42,8,20,loo_oracle,LOO oracle,0.9894736842105262,1.0,0.0009572264130402464,0.0010782396832381136,0.5297261814774697,-0.010526315789473828,0.0
42,8,20,lime,LIME,0.9548872180451128,0.9669172932330825,0.0009572264130402464,0.0010782396832381136,0.5297261814774697,-0.012030075187969724,0.0
42,9,20,shapley_mc,Monte Carlo Shapley,0.6977443609022556,0.6977443609022556,0.001585300296243819,0.00010089773888960485,0.05983741928733993,0.0,1.734723475976807e-18
42,9,20,loo_oracle,LOO oracle,0.9954887218045112,1.0,0.0005632359389000641,0.0011229620962333597,0.6659728407752119,-0.004511278195488799,1.734723475976807e-18
42,9,20,lime,LIME,0.9593984962406013,0.9639097744360902,0.0005632359389000641,0.0011229620962333597,0.6659728407752119,-0.00451127819548891,1.734723475976807e-18
42,10,20,shapley_mc,Monte Carlo Shapley,0.7082706766917292,0.6526315789473683,0.000767676684359675,0.0,0.0,0.05563909774436082,0.0
42,10,20,loo_oracle,LOO oracle,0.9684210526315788,1.0,0.00016693432486908355,0.0006007423594905914,0.7825460521953056,-0.03157894736842115,0.0
42,10,20,lime,LIME,0.7548872180451127,0.813533834586466,0.00016693432486908355,0.0006007423594905914,0.7825460521953056,-0.05864661654135328,0.0
42,11,12,shapley_mc,Monte Carlo Shapley,0.30069930069930073,0.2517482517482518,0.0007986178177252778,0.0,0.0,0.04895104895104896,1.734723475976807e-18
42,11,12,loo_oracle,LOO oracle,0.9720279720279721,1.0,0.00017774161948647116,0.0006208761982388067,0.7774384488813745,-0.027972027972027913,1.734723475976807e-18
42,11,12,lime,LIME,0.9090909090909092,0.965034965034965,0.00017774161948647116,0.0006208761982388067,0.7774384488813745,-0.055944055944055826,1.734723475976807e-18
42,12,20,shapley_mc,Monte Carlo Shapley,0.8947368421052632,0.882706766917293,0.0013376923537292695,0.0,0.0,0.012030075187970168,3.469446951953614e-18
42,12,20,loo_oracle,LOO oracle,0.9969924812030074,1.0,0.0013376923537292695,0.0,0.0,-0.00300751879699257,3.469446951953614e-18
42,12,20,lime,LIME,0.9744360902255638,0.9729323308270676,9.101452812176891e-05,0.0012466778256075006,0.931961538989143,0.0015037593984961184,3.469446951953614e-18
42,13,11,shapley_mc,Monte Carlo Shapley,0.6454545454545455,0.6454545454545455,0.0021512816384944844,0.0,0.0,0.0,0.0
42,13,11,loo_oracle,LOO oracle,1.0,1.0,0.0021512816384944844,0.0,0.0,0.0,0.0
42,13,11,lime,LIME,0.990909090909091,0.990909090909091,0.0021512816384944844,0.0,0.0,0.0,0.0
42,14,20,shapley_mc,Monte Carlo Shapley,0.4120300751879699,0.27368421052631575,0.00045005397317338103,0.0,0.0,0.13834586466165416,8.673617379884035e-19
42,14,20,loo_oracle,LOO oracle,0.9293233082706768,1.0,-0.0005902714525964359,0.001040325425769817,2.3115570253114504,-0.07067669172932323,8.673617379884035e-19
42,14,20,lime,LIME,0.8451127819548873,0.9293233082706768,-0.0005902714525964359,0.001040325425769817,2.3115570253114504,-0.08421052631578951,8.673617379884035e-19
42,15,11,shapley_mc,Monte Carlo Shapley,0.6090909090909091,0.5818181818181819,0.0022013558907656994,0.00021034927106305945,0.08722014378255703,0.027272727272727226,3.469446951953614e-18
42,15,11,loo_oracle,LOO oracle,0.990909090909091,1.0,5.6720988939051864e-05,0.002354984172889707,0.9764809601052054,-0.009090909090909038,3.469446951953614e-18
42,15,11,lime,LIME,0.990909090909091,1.0,5.6720988939051864e-05,0.002354984172889707,0.9764809601052054,-0.009090909090909038,3.469446951953614e-18
42,16,20,shapley_mc,Monte Carlo Shapley,0.7383458646616541,0.7142857142857143,0.0008625142544559927,0.0,0.0,0.02406015037593978,0.0
42,16,20,loo_oracle,LOO oracle,0.9894736842105262,1.0,0.00016222709149410486,0.0007002871629618879,0.8119137261002847,-0.010526315789473828,0.0
42,16,20,lime,LIME,0.9097744360902256,0.9428571428571428,0.00016222709149410486,0.0007002871629618879,0.8119137261002847,-0.03308270676691727,0.0
42,17,20,shapley_mc,Monte Carlo Shapley,0.5969924812030075,0.6195488721804511,0.0007757195162990671,0.00010836801831126675,0.12257611825332929,-0.022556390977443552,0.0
42,17,20,loo_oracle,LOO oracle,0.9789473684210527,1.0,0.0002470854587177107,0.0006370020758926231,0.7205192362008201,-0.021052631578947323,0.0
42,17,20,lime,LIME,0.8962406015037594,0.9218045112781955,0.0002470854587177107,0.0006370020758926231,0.7205192362008201,-0.025563909774436122,0.0
42,18,20,shapley_mc,Monte Carlo Shapley,0.831578947368421,0.831578947368421,0.0027232346661094087,0.0,0.0,0.0,5.204170427930421e-18
42,18,20,loo_oracle,LOO oracle,1.0,1.0,0.0027232346661094087,0.0,0.0,0.0,5.204170427930421e-18
42,18,20,lime,LIME,0.9834586466165413,0.9834586466165413,0.0027232346661094087,0.0,0.0,0.0,5.204170427930421e-18
42,19,17,shapley_mc,Monte Carlo Shapley,0.698529411764706,0.698529411764706,0.004257840861688178,0.0,0.0,0.0,3.469446951953614e-18
42,19,17,loo_oracle,LOO oracle,1.0,1.0,0.004257840861688178,0.0,0.0,0.0,3.469446951953614e-18
42,19,17,lime,LIME,0.985294117647059,0.985294117647059,0.004257840861688178,0.0,0.0,0.0,3.469446951953614e-18
42,20,4,shapley_mc,Monte Carlo Shapley,1.0,1.0,0.0013466981963510816,,,0.0,1.3877787807814457e-17
42,20,4,loo_oracle,LOO oracle,1.0,1.0,0.0013466981963510816,,,0.0,1.3877787807814457e-17
42,20,4,lime,LIME,1.0,1.0,0.0013466981963510816,,,0.0,1.3877787807814457e-17
42,21,20,shapley_mc,Monte Carlo Shapley,0.8541353383458646,0.831578947368421,0.00036752968470787906,,,0.022556390977443663,0.0
42,21,20,loo_oracle,LOO oracle,0.9954887218045112,1.0,0.00036752968470787906,,,-0.004511278195488799,0.0
42,21,20,lime,LIME,0.9819548872180449,0.9759398496240601,0.00036752968470787906,,,0.006015037593984807,0.0
42,22,20,shapley_mc,Monte Carlo Shapley,0.8721804511278194,0.8706766917293233,0.0018472589445845955,,,0.0015037593984961184,5.204170427930421e-18
42,22,20,loo_oracle,LOO oracle,0.9969924812030074,1.0,0.0018472589445845955,,,-0.00300751879699257,5.204170427930421e-18
42,22,20,lime,LIME,0.9804511278195487,0.9774436090225563,0.0018472589445845955,,,0.003007518796992348,5.204170427930421e-18
42,23,20,shapley_mc,Monte Carlo Shapley,0.8661654135338346,0.8541353383458646,0.0013807639407035777,,,0.012030075187969946,1.734723475976807e-18
42,23,20,loo_oracle,LOO oracle,0.9954887218045112,1.0,0.0015066729805373602,,,-0.004511278195488799,1.734723475976807e-18
42,23,20,lime,LIME,0.9924812030075187,0.9909774436090225,0.0015066729805373602,,,0.0015037593984962294,1.734723475976807e-18
42,24,20,shapley_mc,Monte Carlo Shapley,0.8030075187969924,0.7609022556390977,0.0006018479473417493,,,0.042105263157894646,0.0
42,24,20,loo_oracle,LOO oracle,0.9864661654135337,1.0,-0.0006345709337136629,,,-0.013533834586466287,0.0
42,24,20,lime,LIME,0.8812030075187969,0.9203007518796992,-0.0006345709337136629,,,-0.0390977443609023,0.0
42,25,20,shapley_mc,Monte Carlo Shapley,0.593984962406015,0.5819548872180451,0.0003544780925693325,,,0.012030075187969835,0.0
42,25,20,loo_oracle,LOO oracle,0.9488721804511278,1.0,-0.00042629470328497954,,,-0.051127819548872244,0.0
42,25,20,lime,LIME,0.7097744360902255,0.8556390977443609,-0.00042629470328497954,,,-0.14586466165413536,0.0
42,26,20,shapley_mc,Monte Carlo Shapley,0.7488721804511278,0.7458646616541353,0.0007409859601483215,,,0.003007518796992459,1.734723475976807e-18
42,26,20,loo_oracle,LOO oracle,0.9969924812030074,1.0,-0.0010566519651007411,,,-0.00300751879699257,1.734723475976807e-18
42,26,20,lime,LIME,0.9759398496240601,0.9774436090225563,-0.0010566519651007411,,,-0.0015037593984962294,1.734723475976807e-18
42,27,20,shapley_mc,Monte Carlo Shapley,0.8105263157894737,0.8105263157894737,0.005711112605096769,,,0.0,0.0
42,27,20,loo_oracle,LOO oracle,1.0,1.0,0.005711112605096769,,,0.0,0.0
42,27,20,lime,LIME,0.825563909774436,0.825563909774436,0.005711112605096769,,,0.0,0.0
42,28,20,shapley_mc,Monte Carlo Shapley,0.7639097744360903,0.7578947368421052,0.0014098180718883913,,,0.00601503759398514,1.734723475976807e-18
