ablation,variant,family,intervention,NDCG@20,HitRate@20,Coverage@20,eval_seconds
k_sweep,k=8,loo-marginal,native,0.03186842426657677,0.06983955949544907,0.23864959254947612,4.3
k_sweep,k=8,shapley-mc,native,0.03133191168308258,0.06903060525655746,0.2381839348079162,5.0
k_sweep,k=16,loo-marginal,native,0.0320684053003788,0.07064851373434067,0.2397361272797827,4.2
k_sweep,k=16,shapley-mc,native,0.03141850233078003,0.06903060525655746,0.2381839348079162,4.4
k_sweep,k=24,loo-marginal,native,0.03208646923303604,0.07064851373434067,0.23989134652696933,4.1
k_sweep,k=24,shapley-mc,native,0.03147375211119652,0.0691654309630394,0.23779588668994955,4.2
k_sweep,k=32,loo-marginal,native,0.032113634049892426,0.070783331990242,0.2394256887854094,4.2
k_sweep,k=32,shapley-mc,native,0.03147168457508087,0.0691654309630394,0.2381839348079162,4.4
player_selection,stratified,shapley-mc,native,0.03147375211119652,0.0691654309630394,0.23779588668994955,4.6
player_selection,similarity,shapley-mc,native,0.03148534893989563,0.0691654309630394,0.23833915405510284,4.6
player_selection,random,shapley-mc,native,0.031463898718357086,0.06903060525655746,0.23802871556072952,4.3
utility,pairwise_logsigmoid,shapley-mc,native,0.03147375211119652,0.0691654309630394,0.23779588668994955,4.2
utility,pairwise_logsigmoid,loo-marginal,native,0.03208646923303604,0.07064851373434067,0.23989134652696933,4.1
utility,ndcg_ild,shapley-mc,native,0.03143253177404404,0.06983955949544907,0.23888242142025612,3.6
utility,ndcg_ild,loo-marginal,native,0.03063325025141239,0.0683564767241478,0.23996895615056266,3.2
intervention,native,loo-marginal,native,0.03208646923303604,0.07064851373434067,0.23989134652696933,4.4
intervention,kernel,loo-marginal,kernel,0.054391227662563324,0.10610759258270264,0.7655413271245635,5.5
intervention,native,shapley-mc,native,0.03147375211119652,0.0691654309630394,0.23779588668994955,4.2
intervention,kernel,shapley-mc,kernel,0.05516635254025459,0.10799514502286911,0.7469150174621653,5.7
