stratum,n_users,uniform,loo-marginal,shapley-mc,loo_minus_uniform,shapley_minus_loo
5-10,4709,0.03581,0.03823,0.0378,0.00242,-0.00043
11-24,1886,0.02303,0.02656,0.02593,0.00353,-0.00063
25-+,822,0.01071,0.01211,0.01158,0.0014,-0.00053
