family,NDCG@20_mean,HitRate@20_mean,Coverage@20_mean,ILD@20_mean,delta_NDCG_vs_uniform,delta_NDCG_vs_loo,attribution_seconds,delta_NDCG_vs_uniform_per_attribution_hour
additive-pref,0.029682088270783356,0.06654981970787041,0.2338688397361272,0.9209111928939819,-9.530000388624504e-05,-0.002684644237160687,0.0,-0.34308001399048216
attention,0.029535003378987255,0.06603748202323909,0.23453628249902986,0.9205392718315124,-0.000242384895682346,-0.002831729128956788,0.0,-0.8725856244564456
heuristic-pop,0.029951237514615002,0.06687339991331094,0.23379123011253392,0.9209817767143249,0.00017384923994540058,-0.0024154949933290412,0.0,0.6258572638034421
loo-marginal,0.03236673250794404,0.07089119553565976,0.2355141637563057,0.9203824043273926,0.002589344233274442,0.0,637.1795468330383,0.014629533050957395
shapley-mc,0.03187317438423628,0.07019010335206982,0.23424136592937522,0.9207120299339294,0.0020957861095666774,-0.0004935581237077644,8283.180880784988,0.0009108614314993714
uniform,0.0297773882746696,0.0667925044894218,0.2338688397361272,0.9210367441177368,0.0,-0.002589344233274442,0.0,0.0
