contrast,metric,treatment,control,seed,mean_diff,median_diff,prop_users_improved,prop_users_harmed,prop_users_unchanged,n_users
shapley-mc_vs_uniform_NDCG@20,NDCG@20,shapley-mc,uniform,42,0.0018952081933396251,0.0,0.022381016583524337,0.01253876230281785,0.9650802211136578,7417
shapley-mc_vs_uniform_NDCG@20,NDCG@20,shapley-mc,uniform,43,0.0019283576176351625,0.0,0.023864095995685588,0.013482540110556829,0.9626533638937576,7417
shapley-mc_vs_uniform_NDCG@20,NDCG@20,shapley-mc,uniform,44,0.002154102815154375,0.0,0.023729270594580017,0.014695968720506944,0.961574760684913,7417
shapley-mc_vs_uniform_NDCG@20,NDCG@20,shapley-mc,uniform,45,0.002401106948901173,0.0,0.024807873803424564,0.014426317918295807,0.9607658082782796,7417
shapley-mc_vs_uniform_NDCG@20,NDCG@20,shapley-mc,uniform,46,0.0021001584602939197,0.0,0.02184171497910206,0.01267358770392342,0.9654846973169745,7417
shapley-mc_vs_uniform_HitRate@20,HitRate@20,shapley-mc,uniform,42,0.002292031818794661,0.0,0.006201968450856141,0.0039099366320614806,0.9898880949170824,7417
shapley-mc_vs_uniform_HitRate@20,HitRate@20,shapley-mc,uniform,43,0.003370635027639207,0.0,0.006067143049750573,0.002696508022111366,0.9912363489281381,7417
shapley-mc_vs_uniform_HitRate@20,HitRate@20,shapley-mc,uniform,44,0.0040447620331670485,0.0,0.007280571659700688,0.003235809626533639,0.9894836187137657,7417
shapley-mc_vs_uniform_HitRate@20,HitRate@20,shapley-mc,uniform,45,0.0035054604287447755,0.0,0.006471619253067278,0.002966158824322502,0.9905622219226102,7417
shapley-mc_vs_uniform_HitRate@20,HitRate@20,shapley-mc,uniform,46,0.003775111230955912,0.0,0.00633679385196171,0.0025616826210057976,0.9911015235270325,7417
shapley-mc_vs_additive-pref_NDCG@20,NDCG@20,shapley-mc,additive-pref,42,0.0020794205716597003,0.0,0.022650667385735474,0.01253876230281785,0.9648105703114467,7417
shapley-mc_vs_additive-pref_NDCG@20,NDCG@20,shapley-mc,additive-pref,43,0.0020157083429958203,0.0,0.023864095995685588,0.012943238506134555,0.9631926654981798,7417
shapley-mc_vs_additive-pref_NDCG@20,NDCG@20,shapley-mc,additive-pref,44,0.0022853626951597683,0.0,0.023459619792368883,0.014021841714979102,0.962518538492652,7417
shapley-mc_vs_additive-pref_NDCG@20,NDCG@20,shapley-mc,additive-pref,45,0.0024918677376297694,0.0,0.024268572199002292,0.013752190912767966,0.9619792368882297,7417
shapley-mc_vs_additive-pref_NDCG@20,NDCG@20,shapley-mc,additive-pref,46,0.002083068903869489,0.0,0.021572064176890927,0.013078063907240124,0.965349871915869,7417
